Name,URL,Image,Amount,Price
StarTech HeatGrease,https://pcpartpicker.com/product/LPw323/startech-thermal-paste-heatgrease20,https://cdna.pcpartpicker.com/static/forever/images/product/1ab0be4f48df9c064983f55399c15062.256p.jpg,20 g,5.92
ID-COOLING Frost X45,https://pcpartpicker.com/product/HL9nTW/id-cooling-frost-x45-2-g-thermal-paste-frost-x45-2g,https://m.media-amazon.com/images/I/31wwoC9MsmL.jpg,2 g,6.99
Asus ROG RG-07 KIT,https://pcpartpicker.com/product/VqKscf/asus-rog-rg-07-kit-3-g-thermal-paste-rog-rg-07-kit,https://cdna.pcpartpicker.com/static/forever/images/product/70bd3cf9f5bd22965d9511f13aeedc38.256p.jpg,3 g,
ARCTIC MX-5,https://pcpartpicker.com/product/6skWGX/arctic-mx-5-4-g-thermal-paste-actcp00053a,https://m.media-amazon.com/images/I/310tLvYCxQL.jpg,4 g,
ARCTIC MX-4 (2019),https://pcpartpicker.com/product/YbfFf7/arctic-mx-4-2019-8-g-thermal-paste-actcp00008b,https://cdna.pcpartpicker.com/static/forever/images/product/5adf27cb0ad6b509dba662a8a8dff253.256p.jpg,8 g,6.59
Cooler Master CryoFuze,https://pcpartpicker.com/product/Kkstt6/cooler-master-cryofuze-2-g-thermal-paste-mgz-ndsg-n07m-r2,https://cdna.pcpartpicker.com/static/forever/images/product/a4137e68d3f55caa54903e170d4a2f96.256p.jpg,2 g,6.99
Thermal Hero ULTRA with paste gun,https://pcpartpicker.com/product/yfVfrH/thermal-hero-ultra-with-paste-gun-50-g-thermal-paste-th-301350g-us,/static/forever/img/no-image.png,50 g,84.99
ARCTIC MX-4 (2019),https://pcpartpicker.com/product/Jy4Ycf/arctic-mx-4-2019-45-g-thermal-paste-actcp00024a,https://cdna.pcpartpicker.com/static/forever/images/product/c2900fee4303a331dba69e253775d7cf.256p.jpg,45 g,19.98
Thermalright TF4,https://pcpartpicker.com/product/G3WJ7P/thermalright-tf4-15-g-thermal-paste-tf4-15g,https://cdna.pcpartpicker.com/static/forever/images/product/5733a2c34af6320e743e514909be14aa.256p.jpg,1.5 g,
Thermal Hero METALLIQ,https://pcpartpicker.com/product/gLpD4D/thermal-hero-metalliq-5-g-thermal-paste-th-108005-us,https://m.media-amazon.com/images/I/31Q2jN4IrgL.jpg,5 g,34.90
Thermal Hero ULTRA,https://pcpartpicker.com/product/d62j4D/thermal-hero-ultra-50-g-thermal-paste-th-301350-us,/static/forever/img/no-image.png,50 g,72.98
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/7BfxFT/thermal-grizzly-polartherm-x-10-40-g-thermal-paste-pt-x10-040,https://m.media-amazon.com/images/I/21eVpsrlSHL.jpg,40 g,24.99
Thermalright TF9,https://pcpartpicker.com/product/Py88TW/thermalright-tf9-29-g-thermal-paste-tf9-29g,https://m.media-amazon.com/images/I/31aiKvfFFdL.jpg,2.9 g,6.09
Thermal Hero NEO with paste gun,https://pcpartpicker.com/product/wVfV3C/thermal-hero-neo-with-paste-gun-50-g-thermal-paste-th-201250g-us,https://m.media-amazon.com/images/I/41n8k6AJFFL.jpg,50 g,33.04
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/3X9wrH/thermal-grizzly-polartherm-x-10-2-g-thermal-paste-pt-x10-002,https://m.media-amazon.com/images/I/11PGZ02NfeL.jpg,2 g,5.49
be quiet! DC2,https://pcpartpicker.com/product/vfzXsY/be-quiet-dc2-3-g-thermal-paste-bz004,https://cdna.pcpartpicker.com/static/forever/images/product/b95eacfc6fc1edbd0ba7426c57646a0d.256p.jpg,3 g,6.90
Deepcool Z5,https://pcpartpicker.com/product/tBQypg/deepcool-thermal-paste-z5,https://cdna.pcpartpicker.com/static/forever/images/product/2133b32205dfc4120a39d6148096d9c3.256p.jpg,3 g,
Thermaltake TG-30,https://pcpartpicker.com/product/ZjmFf7/thermaltake-tg-30-4-g-thermal-paste-cl-o023-grosgm-a,https://cdna.pcpartpicker.com/static/forever/images/product/c73b85b8c7f56a57536b2f28c8cf2b27.256p.jpg,4 g,8.99
Thermaltake CL-O004-GROSGM-A,https://pcpartpicker.com/product/8KX2FT/thermaltake-cl-o004-grosgm-a-4g-thermal-paste-cl-o004-grosgm-a,https://cdna.pcpartpicker.com/static/forever/images/product/b752cc19070815ec9475e9ab9528ba94.256p.jpg,4 g,7.99
