Name,URL,Image,Size,Color,RPM,Airflow,Noise Level,PWM,Price
ARCTIC P12 Pro A-RGB,https://pcpartpicker.com/product/DfVfrH/arctic-p12-pro-a-rgb-77-cfm-120-mm-fan-acfan00309a,https://cdna.pcpartpicker.com/static/forever/images/product/7b2932f98a20d2624278ea61ecf35d51.256p.jpg,120 mm,Black,600 - 3000 RPM,77 CFM,,Yes,12.49
Noctua NF-A12x25 G2 PWM,https://pcpartpicker.com/product/XLpD4D/noctua-nf-a12x25-g2-pwm-6315-cfm-120-mm-fan-nf-a12x25-g2-pwm,https://cdna.pcpartpicker.com/static/forever/images/product/99395a4b7b386f47fef34344d872819c.256p.jpg,120 mm,Brown,1500 - 1800 RPM,51.32 - 63.15 CFM,18.1 - 22.5 dB,Yes,34.90
Lian Li UNI FAN TL LCD Wireless 3-Pack,https://pcpartpicker.com/product/L7h2FT/lian-li-uni-fan-tl-lcd-wireless-543-cfm-120-mm-fans-3-pack-12rtllcd1w3w,https://cdna.pcpartpicker.com/static/forever/images/product/eaef77cb8e2e089a0c3ac81de38429e5.256p.jpg,120 mm,White,350 - 1900 RPM,54.3 CFM,31 dB,Yes,160.11
ARCTIC P12 Pro PST,https://pcpartpicker.com/product/NX3WGX/arctic-p12-pro-pst-77-cfm-120-mm-fan-acfan00306a,https://cdna.pcpartpicker.com/static/forever/images/product/36500a192773ea2f8d39967b91637ab0.256p.jpg,120 mm,Black,600 - 3000 RPM,77 CFM,,Yes,9.49
ARCTIC P14 Pro PST 5-Pack,https://pcpartpicker.com/product/Gsjv6h/arctic-p14-pro-pst-110-cfm-140-mm-fans-5-pack-acfan00319a,https://m.media-amazon.com/images/I/41Rqb0wQm4L.jpg,140 mm,Black,400 - 2500 RPM,110 CFM,,Yes,31.99
Corsair iCUE LINK LX120-R RGB 3-Pack,https://pcpartpicker.com/product/nJzXsY/corsair-icue-link-lx120-r-rgb-70-cfm-120-mm-fans-3-pack-co-9051050-ww,https://cdna.pcpartpicker.com/static/forever/images/product/6d939181e333f97343f9f931109ad462.256p.jpg,120 mm,Black,2400 RPM,70 CFM,35.1 dB,Yes,119.99
ARCTIC P12 Pro Reverse 3-Pack,https://pcpartpicker.com/product/Wgjv6h/arctic-p12-pro-reverse-73-cfm-120-mm-fans-3-pack-acfan00332a,https://cdna.pcpartpicker.com/static/forever/images/product/5913a7cb595111b9c89fc78d342d6a83.256p.jpg,120 mm,Black,500 - 3000 RPM,73 CFM,,Yes,18.48
Lian Li Uni Fan SL-Infinity 3-Pack,https://pcpartpicker.com/product/7vh2FT/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fans-3-pack-12rslin3b,https://cdna.pcpartpicker.com/static/forever/images/product/d754eaf01bfcd16a63ccc2620d52cf9d.256p.jpg,120 mm,Black,200 - 2100 RPM,63.6 CFM,32 dB,Yes,89.99
Noctua P12 redux-1700 PWM,https://pcpartpicker.com/product/VNBTwP/noctua-nf-p12-redux-1700-pwm-708-cfm-120mm-fan-nf-p12-redux-1700-pwm,https://m.media-amazon.com/images/I/41qsdzrIGoL.jpg,120 mm,Gray,450 - 1700 RPM,70.75 CFM,25.1 dB,Yes,15.95
Thermalright TL-M12QR X3 3-Pack,https://pcpartpicker.com/product/26Nscf/thermalright-tl-m12qr-x3-476-cfm-120-mm-fans-3-pack-tl-m12qr-x3,https://cdna.pcpartpicker.com/static/forever/images/product/9a69944dfdcfad225c766600dfd82b59.256p.jpg,120 mm,Black,1500 RPM,47.6 CFM,23.2 dB,Yes,29.90
