Name,URL,Image,Capacity (W),Capacity (VA),Price
Tripp Lite SMART1500PSGLCD,https://pcpartpicker.com/product/PFcG3C/tripp-lite-smart1500psglcd-ups-smart1500psglcd,https://cdna.pcpartpicker.com/static/forever/images/product/eb2c26503a472d4120ff8ef29dcadd8a.256p.jpg,900 W,1500 VA,314.93
Tripp Lite BC350,https://pcpartpicker.com/product/CjcMnQ/tripp-lite-ups-bc350,https://m.media-amazon.com/images/I/41GnsNNhLvL.jpg,180 W,350 VA,64.99
CyberPower PR2200LCD,https://pcpartpicker.com/product/4ccMnQ/cyberpower-ups-pr2200lcd,https://cdna.pcpartpicker.com/static/forever/images/product/ac08f8f11ce2ad99a55926499474760d.256p.jpg,1980 W,2200 VA,1569.95
APC SMT1500US,https://pcpartpicker.com/product/Z3FXsY/apc-ups-smt1500us,/static/forever/img/no-image.png,1000 W,1440 VA,
APC SMX1500RMI2UNC,https://pcpartpicker.com/product/Lm8H99/apc-ups-smx1500rmi2unc,https://cdna.pcpartpicker.com/static/forever/images/product/f2756b3b39e45b83c36910341b5f62ea.256p.jpg,1200 W,1500 VA,1329.99
CyberPower CP1350AVRLCD,https://pcpartpicker.com/product/WkTrxr/cyberpower-ups-cp1350avrlcd,https://cdna.pcpartpicker.com/static/forever/images/product/64f13ac3f1acc7a13d5401b04f20dcb3.256p.jpg,810 W,1350 VA,192.00
CyberPower CP1200AVR,https://pcpartpicker.com/product/s2RFf7/cyberpower-ups-cp1200avr,https://cdna.pcpartpicker.com/static/forever/images/product/67f6b611934020f55ee182c2d6601c11.256p.jpg,720 W,1200 VA,169.95
CyberPower OR2200LCDRTXL2U,https://pcpartpicker.com/product/HccMnQ/cyberpower-ups-or2200lcdrtxl2u,https://cdna.pcpartpicker.com/static/forever/images/product/3fe10ba0b5fa551995b4cca4b2f70acf.256p.jpg,1650 W,2190 VA,905.95
APC SMT2200US,https://pcpartpicker.com/product/2wVBD3/apc-ups-smt2200us,https://cdna.pcpartpicker.com/static/forever/images/product/d127de9609c216648869b739a06aa9f0.256p.jpg,1980 W,2200 VA,2125.51
CyberPower EC750G,https://pcpartpicker.com/product/rKZ2FT/cyberpower-ups-ec750g,https://cdna.pcpartpicker.com/static/forever/images/product/8274d17a3d00d6d0a4c548e7db0ee251.256p.jpg,450 W,750 VA,109.95
APC SMX2200RMLV2U,https://pcpartpicker.com/product/kM8H99/apc-ups-smx2200rmlv2u,https://cdna.pcpartpicker.com/static/forever/images/product/c53361f229637601b0d19c64b4321a75.256p.jpg,1980 W,2200 VA,1813.42
APC BK325I,https://pcpartpicker.com/product/2nnG3C/apc-ups-bk325i,https://cdna.pcpartpicker.com/static/forever/images/product/0e5bab43b88651862aa52fcf964c3528.256p.jpg,210 W,325 VA,
Tripp Lite SMART1500LCDT,https://pcpartpicker.com/product/gRGj4D/tripp-lite-ups-smart1500lcdt,https://cdna.pcpartpicker.com/static/forever/images/product/2fac3f384d912d1ec25571531550562c.256p.jpg,900 W,1500 VA,291.20
