Name,URL,Image,Type,Interface,Capacity,Price / GB,Color,Price
Crucial X10,https://pcpartpicker.com/product/N4ZWGX/crucial-x10-6-tb-external-ssd-ct6000x10ssd9,https://cdna.pcpartpicker.com/static/forever/images/product/25d6260e39a85f664e52781dbc7a3268.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,6000 GB,$0.091,Blue,543.99
Western Digital Elements Portable,https://pcpartpicker.com/product/fGnypg/western-digital-elements-portable-5-tb-external-hard-drive-wdbu6y0050bbk-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/6536017eba11759b60f279c18df6ddbf.256p.jpg,Portable,USB Type-A 3.2 Gen 1,5000 GB,$0.027,Black,134.99
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/Pf2WGX/sandisk-extreme-portable-v2-2-tb-external-ssd-sdssde61-2t00-g25,https://cdna.pcpartpicker.com/static/forever/images/product/47b0f29ce9983baefd3004486a38c942.256p.jpg,Portable,USB Type-C 3.2 Gen 1,2000 GB,$0.174,Black / Orange,348.09
Western Digital My Passport,https://pcpartpicker.com/product/rXgQzy/western-digital-2-tb-external-hard-drive-wdbyvg0020bbl-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/9c1d320d9b0a630092044d2ef7362d03.256p.jpg,Portable,USB Type-A 3.2 Gen 1,2000 GB,$0.047,Blue,94.99
Western Digital My Book Duo,https://pcpartpicker.com/product/3RK2FT/western-digital-my-book-duo-20-tb-external-hard-drive-wdbfbe0200jbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/1cc14d5c9561655e3e61b1b5824ff4a9.256p.jpg,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000 GB,$0.030,Black,599.99
Apricorn NVX,https://pcpartpicker.com/product/7gyH99/apricorn-nvx-2-tb-external-ssd-anvx-2tb,https://cdna.pcpartpicker.com/static/forever/images/product/a7679639c1a1de0cb7ca87a8b766fa2c.256p.jpg,Portable,USB Type-C 3.2 Gen 2,2000 GB,$0.310,Black,619.11
Lexar SL500,https://pcpartpicker.com/product/WPBzK8/lexar-sl500-4-tb-external-ssd-lsl500x004t-rnbng,https://cdna.pcpartpicker.com/static/forever/images/product/3ec26ace452550e5d51c4e5d10538078.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,4000 GB,,Black,
Western Digital My Book,https://pcpartpicker.com/product/GJyV3C/western-digital-my-book-8tb-external-hard-drive-wdbbgb0080hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/39dfd901c64d00e12e2a9ec873fc480a.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,8000 GB,$0.029,Black,229.50
Samsung T5 EVO Portable,https://pcpartpicker.com/product/6xNYcf/samsung-t5-evo-portable-2-tb-external-ssd-mu-ph2t0sam,https://m.media-amazon.com/images/I/31ItAZV6z5L.jpg,Portable,USB Type-C 3.2 Gen 1,2000 GB,,Black,
Lexar SL660 BLAZE,https://pcpartpicker.com/product/FxJp99/lexar-sl660-blaze-1-tb-external-ssd-lsl660x001t-rnnnu,https://cdna.pcpartpicker.com/static/forever/images/product/bc9e7858729748d0699c6799f8b881a1.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,1000 GB,,Black,
Western Digital My Passport,https://pcpartpicker.com/product/Y7kgXL/western-digital-5-tb-external-hard-drive-wdbpkj0050bwt-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/ed3ec77c9a1f78b68641546087afb906.256p.jpg,Portable,USB Type-A 3.2 Gen 1,5000 GB,,White,
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/dqwypg/sandisk-extreme-portable-v2-1-tb-external-ssd-sdssde61-1t00-g25,https://cdna.pcpartpicker.com/static/forever/images/product/47b0f29ce9983baefd3004486a38c942.256p.jpg,Portable,USB Type-C 3.2 Gen 1,1000 GB,$0.205,Black / Orange,204.99
Kingston XS2000,https://pcpartpicker.com/product/G6H7YJ/kingston-xs2000-4-tb-external-ssd-sxs20004000g,https://cdna.pcpartpicker.com/static/forever/images/product/0a6b3159a7fb1601e8cde5385b9fda2d.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,4000 GB,$0.125,Silver,499.99
Apricorn Aegis Fortress L3,https://pcpartpicker.com/product/Fyrqqs/apricorn-aegis-fortress-l3-16-tb-external-ssd-afl3-s16tb,https://cdna.pcpartpicker.com/static/forever/images/product/dda9cd6faf2254f663fada201ffdefb3.256p.jpg,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000 GB,$0.341,Black,5449.99
Seagate Backup Plus,https://pcpartpicker.com/product/bRjG3C/seagate-external-hard-drive-stdt5000100,https://m.media-amazon.com/images/I/31tKpCjHfnL.jpg,Desktop,USB Type-A 3.2 Gen 1,5000 GB,$0.039,,194.51
Apricorn Padlock SSD,https://pcpartpicker.com/product/ftyH99/apricorn-padlock-ssd-4-tb-external-ssd-assd-3pl256-4tbf,https://cdna.pcpartpicker.com/static/forever/images/product/459bab2b45e4a9a9a113a8a76752588b.256p.jpg,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.275,Black,1099.99
