Name,URL,Image,BD,DVD,CD,BD Write,DVD Write,CD Write,Price
LG GH24NSC0,https://pcpartpicker.com/product/CcCrxr/lg-optical-drive-gh24nsc0,https://cdna.pcpartpicker.com/static/forever/images/product/a94dc2fa2fa957dabb2201dee9911def.256p.jpg,,16,48,,24/8/8/24/6/8/5,48/24,
Lite-On IHBS112-04,https://pcpartpicker.com/product/DtDwrH/lite-on-optical-drive-ihbs11204,https://images-na.ssl-images-amazon.com/images/I/41yWMpzshUL.jpg,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/48,
Asus BC-12B1ST/BLK/B/AS,https://pcpartpicker.com/product/hCR48d/asus-optical-drive-bc12b1stblkbas,https://cdna.pcpartpicker.com/static/forever/images/product/03a876662b3c8953dc45962b027c466b.256p.jpg,12,16,48,,16/8/8/16/6/8/12,48/24,
Samsung SH-224DB/RSBS,https://pcpartpicker.com/product/Znbp99/samsung-optical-drive-sh224dbrsbs,https://m.media-amazon.com/images/I/41L5gxRi3DL.jpg,,16,48,,24/8/8/24/6/8/5,48/24,
Asus DVDE818A7T/BLK/B/GEN,https://pcpartpicker.com/product/p7Np99/asus-optical-drive-dvde818a7tblkbgen,/static/forever/img/no-image.png,,18,48,,16/10/8/16/10/8/5,,
Lite-On iHOS104-06,https://pcpartpicker.com/product/yGZQzy/lite-on-optical-drive-ihos10406,https://m.media-amazon.com/images/I/41oQrq7ArvL.jpg,4,8,32,,,,
Sony BD-5300S,https://pcpartpicker.com/product/GKrG3C/sony-optical-drive-bd5300s,https://images-na.ssl-images-amazon.com/images/I/11imFrwetgL.jpg,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24,
MSI DH-24AS U88,https://pcpartpicker.com/product/V7Qypg/msi-optical-drive-dh24asu88,https://cdna.pcpartpicker.com/static/forever/images/product/a41ed98c4262b9e687c028df081398e0.med.256p.jpg,,16,48,,24/8/-/24/8/-/-,48/32,
Pioneer BDR-212EBK,https://pcpartpicker.com/product/QVNgXL/pioneer-bdr-212ebk-blu-ray-reader-dvdcd-writer-bdr-212ebk,https://cdna.pcpartpicker.com/static/forever/images/product/bd4fa53c97d6193fa1dbf3ed9649d656.256p.jpg,16,,,,16/-/-/16/-/-/-,40/-,
HP 447328-B21,https://pcpartpicker.com/product/TGZQzy/hp-optical-drive-447328b21,https://m.media-amazon.com/images/I/31hA+FfAsxL.jpg,,16,50,,16/8/-/16/8/-/-,40/32,
LG BH10LS30,https://pcpartpicker.com/product/JgJkcf/lg-optical-drive-bh10ls30,/static/forever/img/no-image.png,6,16,48,10/8/8/6,16/8/8/16/8/8/12,48/24,
Pioneer BDR-206MBK,https://pcpartpicker.com/product/rdh9TW/pioneer-optical-drive-bdr206mbk,https://m.media-amazon.com/images/I/31JyfLVga2L.jpg,6,8,24,6/6/2/2,8/8/8/8/6/8/-,24/24,
Lite-On iHDS118-04,https://pcpartpicker.com/product/JVphP6/lite-on-optical-drive-ihds11804,https://m.media-amazon.com/images/I/31i7bZor6OL.jpg,,18,48,,,,
Plextor PX-LB950SA,https://pcpartpicker.com/product/CWh9TW/plextor-optical-drive-pxlb950sa,https://images-na.ssl-images-amazon.com/images/I/512T9RqhPOL.jpg,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24,
LG BH14NS40,https://pcpartpicker.com/product/J9MFf7/lg-optical-drive-bh14ns40,https://m.media-amazon.com/images/I/41t+oO7RHjL.jpg,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24,
LG GH22NS50 Bulk,https://pcpartpicker.com/product/QpPfrH/lg-optical-drive-gh22ns50bulk,/static/forever/img/no-image.png,,16,48,,22/8/-/22/8/-/12,48/32,
Memorex 98240,https://pcpartpicker.com/product/J3TmP6/memorex-optical-drive-98240,https://cdna.pcpartpicker.com/static/forever/images/product/9263e8f215c730ccb96b64130f44c4dd.256p.jpg,,16,48,,24/6/8/24/6/8/-,48/32,
Samsung TS-H353C,https://pcpartpicker.com/product/8BV48d/samsung-optical-drive-tsh353c,/static/forever/img/no-image.png,,16,40,,,,
LG GH24NS90,https://pcpartpicker.com/product/Xth9TW/lg-optical-drive-gh24ns90,/static/forever/img/no-image.png,,16,48,,24/8/8/24/6/8/12,48/32,
Samsung SH-222BB/BEBE,https://pcpartpicker.com/product/gBK7YJ/samsung-optical-drive-sh222bbbebe,https://m.media-amazon.com/images/I/31pU32qCJlL.jpg,,16,48,,22/8/8/22/6/8/12,48/24,
LG CH12LS28,https://pcpartpicker.com/product/vwW9TW/lg-optical-drive-ch12ls28,/static/forever/img/no-image.png,10,16,48,,16/8/8/16/6/8/12,48/24,
LG CH10LS20 OEM,https://pcpartpicker.com/product/RYxfrH/lg-optical-drive-ch10ls20oem,/static/forever/img/no-image.png,10,16,48,,16/8/-/16/6/-/-,48/24,
LG GH24NSC0B,https://pcpartpicker.com/product/9nQRsY/lg-optical-drive-gh24nsc0b,https://cdna.pcpartpicker.com/static/forever/images/product/384a5a884fccc960588f552d2a71d4cd.256p.jpg,,16,48,,24/8/8/24/6/8/5,48/24,
HP 652238-B21,https://pcpartpicker.com/product/d2h9TW/hp-optical-drive-652238b21,https://cdna.pcpartpicker.com/static/forever/images/product/4fcf0bbed8b22ed949864787dc6d8074.256p.jpg,,8,24,,,,
I/O Magic IDVD22DL,https://pcpartpicker.com/product/CmsKHx/io-magic-optical-drive-idvd22dl,https://m.media-amazon.com/images/I/21T-Lg5haXL.jpg,,16,48,,22/8/16/22/6/16/12,48/32,
LG GUD0N,https://pcpartpicker.com/product/6dn9TW/lg-gud0n-dvdcd-writer-gud0n,https://m.media-amazon.com/images/I/41XF+sto9-L.jpg,,,,,8/6/6/8/6/6/5,24/24,39.00
Lite-On Ihap322-98,https://pcpartpicker.com/product/DPphP6/lite-on-optical-drive-ihap32298,https://m.media-amazon.com/images/I/3102kRN5+vL.jpg,,16,48,,22/8/-/22/6/-/12,48/32,
MSI DH-18D5S,https://pcpartpicker.com/product/3FV48d/msi-optical-drive-dh18d5s,https://cdna.pcpartpicker.com/static/forever/images/product/c578cae4c696aee0e2a6037a40ed6f88.256p.jpg,,18,48,,,,
HP 447326-B21,https://pcpartpicker.com/product/F8Np99/hp-optical-drive-447326b21,/static/forever/img/no-image.png,,16,40,,,,
Sony AD-7280S-02,https://pcpartpicker.com/product/MyMFf7/sony-optical-drive-ad7280s02,/static/forever/img/no-image.png,,16,48,,24/8/12/24/6/12/12,48/32,
LG BH12LS35,https://pcpartpicker.com/product/tv38TW/lg-optical-drive-bh12ls35,/static/forever/img/no-image.png,,,,12/12/2/2,16/12/12/16/12/12/12,48/24,
LG GH22LS50,https://pcpartpicker.com/product/XjG2FT/lg-gh22ls50-dvdcd-writer-gh22ls50,/static/forever/img/no-image.png,,12,48,,22/8/16/22/6/12/12,48/32,
Samsung SN-208DB/BEBE,https://pcpartpicker.com/product/NBkD4D/samsung-sn-208dbbebe-dvdcd-writer-sn-208dbbebe,/static/forever/img/no-image.png,,8,24,,8/8/6/8/6/6/5,24/24,
Sony DDU1681S-0B,https://pcpartpicker.com/product/mbPfrH/sony-optical-drive-ddu1681s0b,https://m.media-amazon.com/images/I/41xh4LIjpjL.jpg,,18,48,,,,
Lite-On iHAS224-06,https://pcpartpicker.com/product/MzV48d/lite-on-optical-drive-ihas22406,https://m.media-amazon.com/images/I/21ne+StsHXL.jpg,,16,48,,24/8/12/24/6/12/12,48/32,
Teac DV516E/S,https://pcpartpicker.com/product/xcphP6/teac-optical-drive-dv516es,https://images-na.ssl-images-amazon.com/images/I/31KNHJNAAJL.jpg,,16,48,,,,
Lite-On IHAS324-07,https://pcpartpicker.com/product/gtMFf7/lite-on-optical-drive-ihas32407,https://m.media-amazon.com/images/I/31YRxNdhlUL.jpg,,16,48,,24/8/12/24/6/-/-,48/32,
LG UH12NS30,https://pcpartpicker.com/product/NJh9TW/lg-optical-drive-uh12ns30,https://cdna.pcpartpicker.com/static/forever/images/product/4e1184c3762ba4641e0da2ac60778062.256p.jpg,12,16,,,16/8/8/16/6/8/5,48/24,
Lite-On DL-8A4SH-01,https://pcpartpicker.com/product/2qK7YJ/lite-on-optical-drive-dl8a4sh01,https://images-na.ssl-images-amazon.com/images/I/4184d3kKxJL.jpg,,8,24,,8/8/6/8/6/6/5,24/24,
Silverstone SST-SOB02,https://pcpartpicker.com/product/mr9KHx/silverstone-optical-drive-sstsob02,https://images-na.ssl-images-amazon.com/images/I/41syly7ywbL.jpg,,,24,6/6/6/6,8/8/8/8/8/8/4,24/24,
LG UH12NS40,https://pcpartpicker.com/product/QC648d/lg-uh12ns40-blu-ray-reader-dvdcd-writer-uh12ns40,https://cdna.pcpartpicker.com/static/forever/images/product/4e1184c3762ba4641e0da2ac60778062.256p.jpg,12,16,48,,16/8/8/16/6/8/5,48/24,
Asus DRW-24F1MT,https://pcpartpicker.com/product/BZvbt6/asus-drw-24f1mt-dvdcd-writer-drw-24f1mt,/static/forever/img/no-image.png,,,,,24/8/8/24/6/8/5,48/24,
Samsung SH-S223C,https://pcpartpicker.com/product/7dQypg/samsung-optical-drive-shs223c,/static/forever/img/no-image.png,,16,48,,22/8/16/22/6/12/12,48/32,
Sony BC-5500H-01,https://pcpartpicker.com/product/PPphP6/sony-optical-drive-bc5500h01,https://images-na.ssl-images-amazon.com/images/I/41482thKiUL.jpg,4,8,24,,8/4/4/8/4/4/5,16/10,
Lite-On iHAS-324-98B,https://pcpartpicker.com/product/Yv9KHx/lite-on-optical-drive-ihas32498b,https://cdna.pcpartpicker.com/static/forever/images/product/b85a8d9198c0549c60fdbb7617ac8778.256p.jpg,,16,48,,24/8/8/24/6/8/12,48/32,
Sony BD-5750H,https://pcpartpicker.com/product/gRW9TW/sony-optical-drive-bd5750h,/static/forever/img/no-image.png,6,8,24,6/6/2/2,8/8/6/8/6/6/5,24/16,
Sony BC5640H-03,https://pcpartpicker.com/product/zZYXsY/sony-optical-drive-bc5640h03,https://m.media-amazon.com/images/I/31KldmHbkOL.jpg,6,8,24,,8/8/6/8/6/6/5,24/16,
MSI DH-22AP,https://pcpartpicker.com/product/zsGkcf/msi-optical-drive-dh22ap,/static/forever/img/no-image.png,,16,48,,22/8/-/22/6/-/12,48/32,
LG WH12LS30,https://pcpartpicker.com/product/x4Lypg/lg-optical-drive-wh12ls30,/static/forever/img/no-image.png,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24,
Samsung SH-222AL/BSBS,https://pcpartpicker.com/product/tth9TW/samsung-optical-drive-sh222albsbs,/static/forever/img/no-image.png,,22,48,,22/8/16/22/6/12/12,48/24,
Samsung SN-208BB,https://pcpartpicker.com/product/NQJwrH/samsung-optical-drive-sn208bb,/static/forever/img/no-image.png,,8,24,,8/8/8/8/6/8/5,24/4,
Samsung TS-HB43L/HPBHF,https://pcpartpicker.com/product/XzDwrH/samsung-optical-drive-tshb43lhpbhf,/static/forever/img/no-image.png,,16,40,,16/8/8/16/8/8/12,40/-,
Lite-On IHBS312-98,https://pcpartpicker.com/product/gnzv6h/lite-on-optical-drive-ihbs31298,/static/forever/img/no-image.png,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24,
LG UH12NS29,https://pcpartpicker.com/product/zhbp99/lg-optical-drive-uh12ns29,https://images-na.ssl-images-amazon.com/images/I/41T14X%2B4bhL.jpg,10,16,48,,16/8/8/16/6/8/12,48/24,
Asus DVD-E818AAT/BLK/B/GEN,https://pcpartpicker.com/product/RwxfrH/asus-optical-drive-dvde818aatblkbgen,https://cdna.pcpartpicker.com/static/forever/images/product/1fcfd375cec05a9f7cb78ef8a9178017.256p.jpg,,18,48,,,,
HP 624192-B21,https://pcpartpicker.com/product/sQXfrH/hp-optical-drive-624192b21,https://m.media-amazon.com/images/I/41ZRGlRM-yL.jpg,,,,,16/8/8/16/6/8/5,40/24,
Archgon CB-5021-GD,https://pcpartpicker.com/product/D6YXsY/archgon-optical-drive-cb5021gd,https://cdna.pcpartpicker.com/static/forever/images/product/3d57b5552e0e55830942fe4460ac28d6.med.256p.jpg,,8,24,,8/8/6/8/6/6/5,24/24,
Pioneer BDR-S08XLT,https://pcpartpicker.com/product/CsqdnQ/pioneer-optical-drive-bdrs08xlt,https://images-na.ssl-images-amazon.com/images/I/31ljrRygDHL.jpg,,,,,,,
HP DVD1265I,https://pcpartpicker.com/product/fpfp99/hp-optical-drive-dvd1265i,https://cdna.pcpartpicker.com/static/forever/images/product/988de1867e91e868e3dfa6fa3fbd94c4.256p.jpg,,16,48,,24/8/12/24/6/12/-,48/32,
Silverstone SOD02B,https://pcpartpicker.com/product/Rzbp99/silverstone-optical-drive-sod02b,https://images-na.ssl-images-amazon.com/images/I/41jHfb69r2L.jpg,,8,24,,8/8/6/8/6/6/5,24/4,
Lenovo 41N5618,https://pcpartpicker.com/product/L9Trxr/lenovo-optical-drive-41n5618,https://m.media-amazon.com/images/I/31v7sYVEIOL.jpg,,16,40,,,,
Samsung SH-224FB/RSMS,https://pcpartpicker.com/product/dBZ2FT/samsung-optical-drive-sh224fbrsms,https://m.media-amazon.com/images/I/41AT14RD18L.jpg,,,,,24/8/8/24/8/8/5,48/24,
Samsung SH-224FB,https://pcpartpicker.com/product/6D8H99/samsung-sh-224fb-dvdcd-writer-sh-224fb,https://cdna.pcpartpicker.com/static/forever/images/product/f7379a11d26af8e97c965c680f5a3e2e.256p.jpg,,16,48,,24/8/8/24/6/8/5,48/24,
Asus BC-12B1ST,https://pcpartpicker.com/product/JjGxFT/asus-bc-12b1st-dvdcd-writer-bc-12b1st,https://cdna.pcpartpicker.com/static/forever/images/product/13135030c3b0c34a4d97f16c5b11fe48.256p.jpg,,,,,16/8/8/16/6/8/12,48/24,
Samsung SN-208FB/BEBE,https://pcpartpicker.com/product/Lkh9TW/samsung-optical-drive-sn208fbbebe,https://cdna.pcpartpicker.com/static/forever/images/product/ae8982968dc8cceb2aaeeda6532a2b27.256p.jpg,,8,24,,8/8/6/8/6/6/5,24/-,
Lite-On DS-8A8SH,https://pcpartpicker.com/product/qHyFf7/lite-on-optical-drive-ds8a8sh,https://m.media-amazon.com/images/I/4146elboREL.jpg,,8,24,,8/8/6/8/6/6/5,24/24,
LG GH22LP21,https://pcpartpicker.com/product/FQH323/lg-optical-drive-gh22lp21,/static/forever/img/no-image.png,,16,48,,22/8/16/22/6/12/12,48/32,
LG GH22NS70 OEM,https://pcpartpicker.com/product/3hzv6h/lg-optical-drive-gh22ns70oem,/static/forever/img/no-image.png,,16,48,,22/8/8/22/6/8/12,48/32,
Pioneer DVR-118LBK,https://pcpartpicker.com/product/m6W9TW/pioneer-optical-drive-dvr118lbk,https://m.media-amazon.com/images/I/31h2wo4Q18L.jpg,,22,40,,22/8/12/22/6/12/12,40/32,
Sony AD-7710H-01,https://pcpartpicker.com/product/VjrG3C/sony-optical-drive-ad7710h01,/static/forever/img/no-image.png,,8,24,,8/8/6/8/6/6/5,24/24,
Sony BD-5300S-0B,https://pcpartpicker.com/product/wxBv6h/sony-optical-drive-bd5300s0b,https://m.media-amazon.com/images/I/41A7gtoHo8L.jpg,8,16,48,12/8/2/2,8/8/6/8/6/6/5,24/16,
Sony BD-5740H-01,https://pcpartpicker.com/product/CNbp99/sony-optical-drive-bd5740h01,https://images-na.ssl-images-amazon.com/images/I/31HP3MF-5ML.jpg,6,8,24,6/6/2/2,8/8/6/8/6/6/5,24/16,
