Name,URL,Image,Channels,Channel Wattage,PWM (4-Pin),Form Factor,Color,Price
Phanteks Nexlinq,https://pcpartpicker.com/product/mbcBD3/phanteks-nexlinq-fan-controller-ph-nlhub_01,https://cdna.pcpartpicker.com/static/forever/images/product/78185a1b8845add099314285e1a3268f.256p.jpg,3,,Yes,Internal,Black,
Deepcool FH-10,https://pcpartpicker.com/product/RmsV3C/deepcool-fh-10-fan-controller-dp-f10pwm-hub,https://cdna.pcpartpicker.com/static/forever/images/product/7ea84f7f19f2842191362180668b985a.256p.jpg,10,,Yes,Internal,Black,
Deepcool SC790,https://pcpartpicker.com/product/kWpQzy/deepcool-sc790-fan-controller-r-sc790-bknsnn-g,https://cdna.pcpartpicker.com/static/forever/images/product/11a72bf70b5ddcea72a329776fe9a71e.256p.jpg,6,,No,Internal,Black,
Thermalright TL-FAN HUB X4,https://pcpartpicker.com/product/Gzrqqs/thermalright-tl-fan-hub-x4-fan-controller-tl-fan-hub-x4,https://m.media-amazon.com/images/I/31LE4YZbbdL.jpg,4,,Yes,Internal,Black,
EZDIY-FAB US-PWM fan hub,https://pcpartpicker.com/product/Wf8Pxr/ezdiy-fab-us-pwm-fan-hub-fan-controller-us-pwm-fan-hub,/static/forever/img/no-image.png,10,,Yes,Internal,Black,
Vetroo VT-HUB-10A10P-WT,https://pcpartpicker.com/product/KPDnTW/vetroo-vt-hub-10a10p-wt-fan-controller-vt-hub-10a10p-wt,/static/forever/img/no-image.png,10,,Yes,Internal,White,
Thermaltake Commander F6 RGB,https://pcpartpicker.com/product/9w3H99/thermaltake-commander-f6-rgb-fan-controller-ac-024-bn1nan-a1,https://cdna.pcpartpicker.com/static/forever/images/product/fd8b4df1e1965922aaee7862a53213f4.256p.jpg,6,0.03 W,Yes,"5.25""",Black,
NZXT Sentry Mix 2,https://pcpartpicker.com/product/tWW9TW/nzxt-fan-controller-senmix2,https://m.media-amazon.com/images/I/41Lc8cxUIuL.jpg,6,30 W,Yes,"5.25""",,
Kingwin FPX-001,https://pcpartpicker.com/product/xDphP6/kingwin-fan-controller-fpx001,https://m.media-amazon.com/images/I/41fhnRn9+HL.jpg,4,8 W,No,"3.5""",,15.99
NZXT SENTRY 3,https://pcpartpicker.com/product/dQ8Zxr/nzxt-fan-controller-acsen3b1,https://m.media-amazon.com/images/I/41fFWQ9fSkL.jpg,5,15 W,Yes,"5.25""",,
Aerocool Touch 2100,https://pcpartpicker.com/product/DscMnQ/aerocool-fan-controller-en51965,https://m.media-amazon.com/images/I/51DEQrQ-ImL.jpg,5,25 W,No,"2 x 5.25""",,
Lamptron FC-FANATIC-B,https://pcpartpicker.com/product/2YphP6/lamptron-fan-controller-fcfanaticb,https://cdna.pcpartpicker.com/static/forever/images/product/221b83885e3e1a8f2076bf2fe87ae215.256p.jpg,5,60 W,Yes,"5.25""",,
Silverstone FP59B,https://pcpartpicker.com/product/FXqBD3/silverstone-fp59b-fan-controller-sst-fp59b,https://cdna.pcpartpicker.com/static/forever/images/product/b07394b07acac69dd1e4fdb162b17ba3.256p.jpg,1,,No,"5.25""",Black,
Lamptron FC Touch,https://pcpartpicker.com/product/fJsKHx/lamptron-fan-controller-fcfctb,https://cdna.pcpartpicker.com/static/forever/images/product/9fe9a114181a666bd6b65ae1ba7ebe89.256p.jpg,6,30 W,Yes,"5.25""",,
Aerocool CoolTouch E,https://pcpartpicker.com/product/JTvD4D/aerocool-cooltouch-e-fan-controller-en51547,https://m.media-amazon.com/images/I/317lTlex8IL.jpg,4,20 W,Yes,"5.25""",Black,
