Name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Fan Support,Included Fans,Radiator Support,Dimensions,Volume,Model
SeaSonic ARCH Q5,SeaSonic ,ARCH Q503+ Connect 650 (SSR-650FA) ,ATX Mid Tower ,Black ,650 W ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 380 mm</li> 14.961""</li> "," 3 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 448 mm x 215 mm x 482 mm</li> 17.638"" x 8.465"" x 18.976""</li> ", 46.426 L</li> 1.64 ft³</li> ,
Aerocool D520A,Aerocool ,ACL-D520A-BK-FRPB ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 2 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height , Front: 3 x 120 mm</li> Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Motherboard Tray: 3 x 120 mm</li> PSU Shroud: 2 x 120 mm</li> , Front: 3 x 120 mm (ARGB PWM)</li> Rear: 1 x 120 mm (ARGB PWM)</li> ,Top: 360 / 280 / 240 / 140 / 120 mm ," 460 mm x 235 mm x 480 mm</li> 18.11"" x 9.252"" x 18.898""</li> ", 51.888 L</li> 1.832 ft³</li> ,
In Win EFS712,In Win ,EFS712.CQ450TB3 ,MicroATX Mini Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 304 mm</li> 11.969""</li> "," 1 x External 5.25""</li> 1 x External 3.5""</li> 3 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",4 x Full-Height ,,,," 404 mm x 176 mm x 358 mm</li> 15.906"" x 6.929"" x 14.094""</li> ", 25.455 L</li> 0.899 ft³</li> ,
Silverstone CS380,Silverstone , SST-CS380B | CS380B | ,ATX Mid Tower ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 241 mm</li> 9.488""</li> "," 2 x External 5.25""</li> 8 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 488 mm x 216 mm x 427 mm</li> 19.213"" x 8.504"" x 16.811""</li> ", 45.009 L</li> 1.589 ft³</li> ,
In Win A5,In Win , A5 Black | IW-CS-A5BLK-1AM120S | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 340 mm</li> 13.386""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height ,120 mm ,, 120 mm</li> 240 mm</li> ," 399 mm x 215 mm x 407 mm</li> 15.709"" x 8.465"" x 16.024""</li> ", 34.914 L</li> 1.233 ft³</li> ,
Thermaltake CTE C700 TG ARGB,Thermaltake ,CA-1X7-00F6WN-01 ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> ","7 x Internal 3.5"" ",7 x Full-Height , 120 mm</li> 140 mm</li> 200 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 505.5 mm x 327.6 mm x 566.5 mm</li> 19.902"" x 12.898"" x 22.303""</li> ", 93.813 L</li> 3.313 ft³</li> ,
In Win BK623.BH300TB3,In Win ,BK623.BH300TB3 ,MicroATX Mini Tower ,Black / Silver ,300 W ,None ,No ,USB 2.0 Type-A ,Micro ATX ,," 1 x External 5.25""</li> 1 x External 3.5""</li> 1 x Internal 3.5""</li> ",4 x Full-Height ,,,," 322 mm x 139 mm x 274 mm</li> 12.677"" x 5.472"" x 10.787""</li> ", 12.264 L</li> 0.433 ft³</li> ,
Silverstone FARA 511Z,Silverstone ,SST-FA511Z-BG ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 360 mm</li> 14.173""</li> "," 2 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 422.3 mm x 210 mm x 483.2 mm</li> 16.626"" x 8.268"" x 19.024""</li> ", 42.852 L</li> 1.513 ft³</li> ,
In Win Chopin MAX,In Win ,IW-CS-CHOPINMAXSIL-PS200W ,Mini ITX Desktop ,Silver ,200 W ,Mesh ,No , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> ,Mini ITX ,,"2 x Internal 2.5"" ",,,,," 217 mm x 84 mm x 244 mm</li> 8.543"" x 3.307"" x 9.606""</li> ", 4.448 L</li> 0.157 ft³</li> ,
Thermaltake Ceres 330 ARGB,Thermaltake ,CA-1Y2-00M6WN-01 ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 370 mm</li> 14.567""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 463 mm x 245 mm x 475 mm</li> 18.228"" x 9.646"" x 18.701""</li> ", 53.882 L</li> 1.903 ft³</li> ,
Sliger CX4150e,Sliger ,CX4150e ,Rackmount 4U ,Black ,None ,None ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Flex ATX</li> Micro ATX</li> Mini DTX</li> Mini ITX</li> SSI CEB</li> ," 349 mm</li> 13.74""</li> "," 2 x External 5.25""</li> 2 x Internal 2.5""</li> ",8 x Full-Height ,Front: 2 x 120 mm ,,Front: 240 / 120 mm ," 382 mm x 432 mm x 176.75 mm</li> 15.039"" x 17.008"" x 6.959""</li> ", 29.168 L</li> 1.03 ft³</li> ,
Chieftec BE-10B-300,Chieftec , BE-10B-300 | 0753263077882 | ,MicroATX Mini Tower ,Black ,300 W ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 220 mm</li> 8.661""</li> "," 1 x External 5.25"" Slim Slot Load</li> 1 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",4 x Half-Height ,80 mm ,,," 283 mm x 95 mm x 327 mm</li> 11.142"" x 3.74"" x 12.874""</li> ", 8.791 L</li> 0.31 ft³</li> ,
Thermaltake Ceres 350 MX,Thermaltake ,CA-1Z3-00M1WN-00 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 370 mm</li> 14.567""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 463 mm x 245 mm x 463 mm</li> 18.228"" x 9.646"" x 18.228""</li> ", 52.52 L</li> 1.855 ft³</li> ,
Jonsbo D32 STD MESH,Jonsbo ,D32 STD MESH White ,MicroATX Desktop ,,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 365 mm</li> 14.37""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 240 mm</li> ," 395 mm x 207 mm x 314 mm</li> 15.551"" x 8.15"" x 12.362""</li> ", 25.674 L</li> 0.907 ft³</li> ,
Thermaltake Versa H22,Thermaltake ,CA-3B3-50M1NA-00 ,ATX Mid Tower ,Black ,500 W ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 315 mm</li> 12.402""</li> "," 3 x External 5.25""</li> 3 x Internal 2.5""</li> ",7 x Full-Height , Front: 1 x 120 mm</li> Rear: 1 x 120 mm</li> ,Rear: 1 x 120 mm ,Rear: 120 mm ," 429 mm x 208 mm x 480 mm</li> 16.89"" x 8.189"" x 18.898""</li> ", 42.831 L</li> 1.513 ft³</li> ,
Silverstone ML07B,Silverstone , ML07B | SST-ML07B | ,HTPC ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , Mini DTX</li> Mini ITX</li> ," 330 mm</li> 12.992""</li> "," 1 x External 5.25"" Slim Slot Load</li> 1 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",2 x Full-Height ,120 mm ,,," 104 mm x 382 mm x 350 mm</li> 4.094"" x 15.039"" x 13.78""</li> ", 13.905 L</li> 0.491 ft³</li> ,
Thermaltake Suppressor F31 TG,Thermaltake ,CA-1E3-00M1WN-03 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 420 mm</li> 16.535""</li> "," 2 x External 5.25""</li> 3 x Internal 3.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> 200 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 515 mm x 250 mm x 497 mm</li> 20.276"" x 9.843"" x 19.567""</li> ", 63.989 L</li> 2.26 ft³</li> ,
KOLINK OBSERVATORY RGB,KOLINK ,OBSERVATORY-RGB-WHITE ,ATX Mid Tower ,White / Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 380 mm</li> 14.961""</li> ","3 x Internal 3.5"" ",7 x Full-Height ,120 mm ,, 120 mm</li> 240 mm</li> ,,,
Cooler Master MasterBox NR200P,Cooler Master ,MCB-NR200P-PCNN-S00 ,Mini ITX Desktop ,Purple ,None ,Tempered Glass ,No ,USB 3.2 Gen 1 Type-A , Mini DTX</li> Mini ITX</li> ," 330 mm</li> 12.992""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ", 3 x Full-Height</li> 2 x Full-Height via Riser</li> , 92 mm</li> 120 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> ," 376 mm x 185 mm x 292 mm</li> 14.803"" x 7.283"" x 11.496""</li> ", 20.312 L</li> 0.717 ft³</li> ,
HYTE Y60 Ouro Kronii,HYTE ,CS-HYTE-Y60-KRONII ,ATX Mid Tower ,White / Gold ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 375 mm</li> 14.764""</li> ","2 x Internal 3.5"" ", 6 x Half-Height</li> 3 x Full-Height via Riser</li> , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 2 x 120 mm / 2 x 140 mm</li> Right: 2 x 120 mm / 2 x 140 mm</li> , Rear: 1 x 120 mm</li> Bottom: 2 x 120 mm</li> , Rear: 120 mm</li> Top: 360 / 240 / 120 mm</li> Right: 280 / 240 / 140 / 120 mm</li> ," 456 mm x 285 mm x 462 mm</li> 17.953"" x 11.22"" x 18.189""</li> ", 60.042 L</li> 2.12 ft³</li> ,
Fractal Design Define 7 Mini,Fractal Design ,FD-C-DEF7M-02 ,MicroATX Mini Tower ,Black ,None ,Tinted Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini DTX</li> Mini ITX</li> ," 331 mm</li> 13.031""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> ," 399 mm x 205 mm x 406 mm</li> 15.709"" x 8.071"" x 15.984""</li> ", 33.209 L</li> 1.173 ft³</li> ,
KOLINK Observatory Y Mesh,KOLINK , OBSERVATORY Y MESH | PGW-CH-KOL-092 | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 380 mm</li> 14.961""</li> "," 2 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 471 mm x 231 mm x 488 mm</li> 18.543"" x 9.094"" x 19.213""</li> ", 53.095 L</li> 1.875 ft³</li> ,
be quiet! Silent Base 802,be quiet! ,BG040 ,ATX Mid Tower ,White ,None ,None ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 432 mm</li> 17.008""</li> "," 3 x Internal 3.5""</li> 7 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 539 mm x 281 mm x 553 mm</li> 21.22"" x 11.063"" x 21.772""</li> ", 83.757 L</li> 2.958 ft³</li> ,
Cooler Master MasterBox 540,Cooler Master ,MB540-KGNN-S00 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ,,,
Antec NX500M,Antec , 0-761345-81056-2 | NX500M | ,MicroATX Mini Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 300 mm</li> 11.811""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",5 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 384 mm x 200 mm x 451 mm</li> 15.118"" x 7.874"" x 17.756""</li> ", 34.637 L</li> 1.223 ft³</li> ,
SHARKOON VS9 RGB,SHARKOON ,4044951039128 ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 350 mm</li> 13.78""</li> "," 2 x Internal 3.5""</li> 6 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 423 mm x 205 mm x 485 mm</li> 16.654"" x 8.071"" x 19.094""</li> ", 42.057 L</li> 1.485 ft³</li> ,
KOLINK Inspire K6,KOLINK ,INSPIRE K6 ,MicroATX Mini Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 350 mm</li> 13.78""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 240 mm</li> ," 410 mm x 202 mm x 395 mm</li> 16.142"" x 7.953"" x 15.551""</li> ", 32.714 L</li> 1.155 ft³</li> ,
Thermaltake View 270,Thermaltake ,CA-1Y7-00MEWN-00 ,ATX Mid Tower ,Green / Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 420 mm</li> 16.535""</li> "," 2 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 240 mm</li> 360 mm</li> ," 454 mm x 230 mm x 456 mm</li> 17.874"" x 9.055"" x 17.953""</li> ", 47.616 L</li> 1.682 ft³</li> ,
SHARKOON MK6 RGB,SHARKOON ,4044951041794 ,MicroATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 2 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",5 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 435 mm x 225 mm x 445 mm</li> 17.126"" x 8.858"" x 17.52""</li> ", 43.554 L</li> 1.538 ft³</li> ,
Thermaltake View 380 XL TG ARGB,Thermaltake ,CA-11E-00M4WN-00 ,ATX Mid Tower ,Yellow / Black ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 420 mm</li> 16.535""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",8 x Full-Height , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Motherboard Tray: 3 x 120 mm</li> , Rear: 1 x 120 mm (ARGB PWM)</li> Motherboard Tray: 3 x 120 mm (Reversed ARGB PWM)</li> , Rear: 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> Motherboard Tray: 360 / 240 / 120 mm</li> ," 471 mm x 288 mm x 469 mm</li> 18.543"" x 11.339"" x 18.465""</li> ", 63.619 L</li> 2.247 ft³</li> ,
Deepcool E-Shield,Deepcool ,DP-ATX-E-SHIELD ,ATX Mid Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 370 mm</li> 14.567""</li> "," 1 x External 5.25""</li> 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 438 mm x 210 mm x 477 mm</li> 17.244"" x 8.268"" x 18.78""</li> ", 43.874 L</li> 1.549 ft³</li> ,
Cooler Master Masterbox 520,Cooler Master ,MB520-KGNN-S01 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 2 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 502 mm x 210 mm x 498 mm</li> 19.764"" x 8.268"" x 19.606""</li> ", 52.499 L</li> 1.854 ft³</li> ,
Chieftec Hunter,Chieftec ,GS-01B-OP ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 320 mm</li> 12.598""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> ," 408 mm x 210 mm x 464 mm</li> 16.063"" x 8.268"" x 18.268""</li> ", 39.756 L</li> 1.404 ft³</li> ,
Xigmatek Overtake,Xigmatek ,EN43477 ,ATX Full Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 380 mm</li> 14.961""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ", 9 x Full-Height</li> 2 x Full-Height via Riser</li> , 120 mm</li> 140 mm</li> 200 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 480 mm</li> ," 485 mm x 247 mm x 566 mm</li> 19.094"" x 9.724"" x 22.283""</li> ", 67.804 L</li> 2.394 ft³</li> ,
Antec Sonata III,Antec ,Sonata III 500 ,ATX Mid Tower ,Black ,500 W ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> Thin Mini ITX</li> ," 267 mm</li> 10.512""</li> "," 3 x External 5.25""</li> 2 x External 3.5""</li> 4 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 462 mm x 205 mm x 424 mm</li> 18.189"" x 8.071"" x 16.693""</li> ", 40.157 L</li> 1.418 ft³</li> ,
Antec Fusion Remote,Antec ,Fusion Remote Black ,HTPC ,Black ,None ,None ,No ,USB 2.0 Type-A , Micro ATX</li> Mini ITX</li> Thin Mini ITX</li> ,," 1 x External 5.25""</li> 2 x Internal 3.5""</li> ",4 x Full-Height ,120 mm ,,120 mm ," 139 mm x 444 mm x 414 mm</li> 5.472"" x 17.48"" x 16.299""</li> ", 25.55 L</li> 0.902 ft³</li> ,
NZXT Source 210,NZXT , S210-002 | SOURCE210-WH | ,ATX Mid Tower ,White / Black ,None ,None ,No ,USB 2.0 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 330 mm</li> 12.992""</li> "," 3 x External 5.25""</li> 8 x Internal 3.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> ," 495 mm x 195 mm x 439 mm</li> 19.488"" x 7.677"" x 17.283""</li> ", 42.374 L</li> 1.496 ft³</li> ,
Silverstone SG05-LITE,Silverstone , SST-SG05BB-450-USB3.0 | SG05BB-450-USB3.0 | ,Mini ITX Desktop ,Black ,450 W ,None ,No ,USB 3.2 Gen 1 Type-A , Mini DTX</li> Mini ITX</li> Thin Mini ITX</li> ," 254 mm</li> 10""</li> "," 1 x External 5.25"" Slim</li> 1 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",2 x Full-Height ,120 mm ,,120 mm ," 221 mm x 176 mm x 276 mm</li> 8.701"" x 6.929"" x 10.866""</li> ", 10.735 L</li> 0.379 ft³</li> ,
Cooler Master Elite 342,Cooler Master ,RC-342-KKRJ-GP ,MicroATX Mini Tower ,Black ,400 W ,None ,No ,USB 2.0 Type-A , Micro ATX</li> Mini ITX</li> ," 363 mm</li> 14.291""</li> "," 2 x External 5.25""</li> 1 x External 3.5""</li> 5 x Internal 3.5""</li> ",4 x Full-Height , 80 mm</li> 120 mm</li> ,,120 mm ," 440 mm x 180 mm x 352 mm</li> 17.323"" x 7.087"" x 13.858""</li> ", 27.878 L</li> 0.985 ft³</li> ,
NZXT Phantom 820,NZXT ,CA-PH820-M1 ,ATX Full Tower ,Black ,None ,Acrylic ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> Thin Mini ITX</li> XL ATX</li> ," 333 mm</li> 13.11""</li> "," 4 x External 5.25""</li> 6 x Internal 3.5""</li> ",9 x Full-Height , 120 mm</li> 140 mm</li> 200 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 611 mm x 234 mm x 649 mm</li> 24.055"" x 9.213"" x 25.551""</li> ", 92.79 L</li> 3.277 ft³</li> ,
Rosewill Line-M,Rosewill ,LINE-M ,MicroATX Mini Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 317 mm</li> 12.48""</li> "," 2 x External 5.25""</li> 1 x External 3.5""</li> 2 x Internal 3.5""</li> ",5 x Full-Height ,120 mm ,,120 mm ," 399 mm x 185 mm x 364 mm</li> 15.709"" x 7.283"" x 14.331""</li> ", 26.869 L</li> 0.949 ft³</li> ,
Corsair Graphite Series 760T,Corsair , 760T White | CC-9011045-WW | ,ATX Full Tower ,Black / White ,None ,Acrylic ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> XL ATX</li> ," 450 mm</li> 17.717""</li> "," 3 x External 5.25""</li> 6 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",9 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 564 mm x 246 mm x 568 mm</li> 22.205"" x 9.685"" x 22.362""</li> ", 78.807 L</li> 2.783 ft³</li> ,
Zalman ZM-T3,Zalman , ZM-T3 | T3 | ,MicroATX Mini Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 300 mm</li> 11.811""</li> "," 1 x External 5.25""</li> 2 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",4 x Full-Height , 80 mm</li> 120 mm</li> ,,120 mm ,,,
Corsair Graphite Series 380T,Corsair ,CC-9011060-WW ,Mini ITX Tower ,Black / White ,None ,None ,No ,USB 3.2 Gen 1 Type-A ,Mini ITX ," 290 mm</li> 11.417""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",2 x Full-Height , 120 mm</li> 140 mm</li> 200 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> ," 355 mm x 292 mm x 396 mm</li> 13.976"" x 11.496"" x 15.591""</li> ", 41.049 L</li> 1.45 ft³</li> ,
NZXT S340,NZXT , CA-S340W-BB1 | S340_Blue | CA-S340MB-GB | ,ATX Mid Tower ,Black / Blue ,None ,Acrylic ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 364 mm</li> 14.331""</li> "," 3 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> ," 432 mm x 200 mm x 445 mm</li> 17.008"" x 7.874"" x 17.52""</li> ", 38.448 L</li> 1.358 ft³</li> ,
Cooler Master Silencio 352,Cooler Master ,SIL-352M-KKN1 ,MicroATX Mini Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 355 mm</li> 13.976""</li> "," 1 x External 5.25""</li> 1 x External 3.5""</li> 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",4 x Full-Height ,120 mm ,, 120 mm</li> 240 mm</li> ,,,
