Name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Fan Support,Included Fans,Radiator Support,Dimensions,Volume,Model
Asus ROG Strix Helios II,Asus , ROG Strix Helios II White Edition | 90DC00W3-B38000 | 90DC00W3-B39000 | ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 450 mm</li> 17.717""</li> "," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ", 8 x Full-Height</li> 2 x Full-Height via Riser</li> , Front: 3 x 120 mm / 3 x 140 mm</li> Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> , Front: 3 x 140 mm (PWM)</li> Rear: 1 x 140 mm</li> , Front: 420 / 360 / 280 / 240 / 140 / 120 mm</li> Rear: 140 / 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> ," 565 mm x 250 mm x 591 mm</li> 22.244"" x 9.843"" x 23.268""</li> ", 83.479 L</li> 2.948 ft³</li> ,
Zalman T3 PLUS,Zalman ,T3 PLUS ,MicroATX Mid Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 290 mm</li> 11.417""</li> "," 1 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",4 x Full-Height , 120 mm</li> 140 mm</li> ,,120 mm ," 355 mm x 206 mm x 422 mm</li> 13.976"" x 8.11"" x 16.614""</li> ", 30.861 L</li> 1.09 ft³</li> ,
Lian Li LANCOOL III,Lian Li , LANCOOL 3-W | Lancool III White | G99.LAN3W.00 | ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 435 mm</li> 17.126""</li> "," 4 x Internal 3.5""</li> 8 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 526 mm x 238 mm x 523 mm</li> 20.709"" x 9.37"" x 20.591""</li> ", 65.473 L</li> 2.312 ft³</li> ,
Aerocool Prism V3 ARGB,Aerocool , Prism-G-BK-v3 | ACCM-PB29143.11 | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 346 mm</li> 13.622""</li> "," 2 x Internal 3.5""</li> 1 x Internal 2.5""</li> ", 7 x Full-Height</li> 2 x Full-Height via Riser</li> , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 403 mm x 216.7 mm x 477 mm</li> 15.866"" x 8.531"" x 18.78""</li> ", 41.656 L</li> 1.471 ft³</li> ,
Okinos Air Cross,Okinos , OKICC-AIRCROSS-ATXB | CAO-AIRCROSS | ,ATX Mid Tower ,Black / Brown ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 468 mm x 238 mm x 462 mm</li> 18.425"" x 9.37"" x 18.189""</li> ", 51.459 L</li> 1.817 ft³</li> ,
Lian Li Lancool 207 Digital,Lian Li , LANCOOL 207 Digital | LAN207DX | G99.LAN207DX.00 | PC-LAN207DX | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 375 mm</li> 14.764""</li> ","2 x Internal 3.5"" ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 455.6 mm x 219 mm x 456 mm</li> 17.937"" x 8.622"" x 17.953""</li> ", 45.498 L</li> 1.607 ft³</li> ,
MSI MAG FORGE 320R AIRFLOW,MSI , MAG FORGE 320R AIRFLOW | MAG FORGE 320R | 306-7G23R21-809 | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 390 mm</li> 15.354""</li> "," 2 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 472.5 mm x 210 mm x 498 mm</li> 18.602"" x 8.268"" x 19.606""</li> ", 49.414 L</li> 1.745 ft³</li> ,
MSI MAG FORGE 100R,MSI , MAG FORGE 100R | MSI-FORGE-100R | 306-7G03R11-809 | 306-7G03R21-809 | 306-7G03M21-809 | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 330 mm</li> 12.992""</li> "," 2 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> ,,,
Thermaltake Core P7,Thermaltake ,CA-1I2-00F1WN-00 ,ATX Full Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 570 mm</li> 22.441""</li> "," 3 x External 3.5""</li> 3 x Internal 3.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> 480 mm</li> ," 1350 mm x 333 mm x 627 mm</li> 53.15"" x 13.11"" x 24.685""</li> ", 281.868 L</li> 9.954 ft³</li> ,
Lian Li LANCOOL 217 INF,Lian Li , LAN217INFW | G99.LAN217INFW.00 | ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI EEB</li> ," 380 mm</li> 14.961""</li> "," 4 x Internal 3.5""</li> 5 x Internal 2.5""</li> ",7 x Full-Height , Front: 2 x 170 mm</li> Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> PSU Shroud: 3 x 120 mm</li> , Front: 2 x 170 mm (ARGB PWM)</li> Rear: 1 x 140 mm (ARGB PWM)</li> ,Top: 360 / 280 / 240 / 140 / 120 mm ," 482 mm x 238 mm x 503 mm</li> 18.976"" x 9.37"" x 19.803""</li> ", 57.702 L</li> 2.038 ft³</li> ,
