Name,Manufacturer,Part #,Socket / CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,M.2 Slots,SATA 6.0 Gb/s Ports,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 3.2 Gen 1 Headers,USB 3.2 Gen 2x2 Headers,Supports ECC,Wireless Networking,RAID Support,Uses Back-Connect Connectors
Gigabyte Z790 AORUS ELITE X,Gigabyte ,Z790 AORUS ELITE X ,LGA1700 ,ATX ,Intel Z790 ,256 GB ,DDR5 ,4 , DDR5-4000 | DDR5-4800 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-7900 | DDR5-7950 | DDR5-8000 | DDR5-8200 | DDR5-8266 | ,Black ,3 , 2280/22110 M-key | 2280/22110 M-key | 2280/22110 M-key | 2280/22110 M-key | ,6 ,1 x 2.5 Gb/s Ports (Intel) ,Depends on CPU ,2 ,1 ,,No ,None ,Yes ,No 
Asus PRIME H610M-R-CSM,Asus ,PRIME H610M-R-CSM ,LGA1700 ,Micro ATX ,Intel H610 ,96 GB ,DDR5 ,2 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | ,Black ,1 ,2242/2260/2280 M-key ,4 ,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2 ,1 ,,No ,None ,No ,No 
Asus PRIME H610M-D-CSM,Asus ,PRIME H610M-D-CSM ,LGA1700 ,Micro ATX ,Intel H610 ,96 GB ,DDR5 ,2 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | ,Black / Silver ,1 ,2242/2260/2280 M-key ,4 ,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,1 ,1 ,,No ,None ,No ,No 
ASRock B660M-HDVP/D5 R2.0,ASRock ,B660M-HDVP/D5 R2.0 ,LGA1700 ,Micro ATX ,Intel B660 ,96 GB ,DDR5 ,2 , DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6800 | ,Black / Silver ,1 ,2242/2260/2280 M-key ,4 ,1 x 1 Gb/s Ports (Realtek RTL8111H) ,Depends on CPU ,2 ,1 ,,No ,None ,Yes ,No 
Asus PRIME B760M-R D4-CSM,Asus ,PRIME B760M-R D4-CSM ,LGA1700 ,Micro ATX ,Intel B760 ,64 GB ,DDR4 ,2 , DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2800 | DDR4-2933 | DDR4-3000 | DDR4-3200 | DDR4-3333 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-4000 | DDR4-4266 | DDR4-4400 | DDR4-4600 | DDR4-4800 | DDR4-5000 | DDR4-5066 | DDR4-5333 | ,Black / Silver ,1 , 2242/2260/2280 M-key | 2242/2260/2280 M-key | ,4 ,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2 ,1 ,,No ,None ,Yes ,No 
Asus PRIME B760M-PLUS-CSM,Asus ,PRIME B760M-PLUS-CSM ,LGA1700 ,Micro ATX ,Intel B760 ,192 GB ,DDR5 ,4 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | ,Silver / Black ,2 , 2242/2260/2280 M-key | 2242/2260/2280 M-key | ,4 ,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2 ,1 ,,No ,None ,Yes ,No 
Asus PRIME Z790-V AX-CSM,Asus ,PRIME Z790-V AX-CSM ,LGA1700 ,ATX ,Intel Z790 ,192 GB ,DDR5 ,4 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | ,Silver / Black ,4 , 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | 2242/2260/2280/22110 M-key | ,4 ,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2 ,2 ,,No ,Wi-Fi 6 ,Yes ,No 
Gigabyte H610M D3H DDR4 (rev. 1.0),Gigabyte ,H610M D3H DDR4 (rev. 1.0) ,LGA1700 ,Micro ATX ,Intel H610 ,64 GB ,DDR4 ,2 , DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3000 | DDR4-3200 | ,Black ,1 , 2260/2280 M-key | 2260/2280 M-key | ,4 ,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2 ,1 ,,No ,None ,No ,No 
Asus PRIME H410M-K R3.0,Asus ,PRIME H410M-K R3.0 ,LGA1200 ,Micro ATX ,Intel H410 ,64 GB ,DDR4 ,2 , DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2800 | ,Silver / Black ,1 ,2242/2260/2280 M-key ,4 ,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,1 ,1 ,,No ,None ,Yes ,No 
Asus Z790-AYW WIFI W-CSM,Asus ,Z790-AYW WIFI W-CSM ,LGA1700 ,ATX ,Intel Z790 ,192 GB ,DDR5 ,4 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,White ,3 , 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | 2242/2260/2280/22110 M-key | ,4 ,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2 ,2 ,,No ,Wi-Fi 6 ,Yes ,No 
Biostar H610MHP-E,Biostar ,H610MHP-E ,LGA1700 ,Micro ATX ,Intel H610 ,64 GB ,DDR4 ,2 , DDR4-1866 | DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-3200 | ,Black ,1 , 2242/2260/2280 M-key | 2230 E-key | ,4 ,1 x 1 Gb/s Ports (Intel I219-V) ,Depends on CPU ,2 ,1 ,,No ,None ,No ,No 
Biostar H510MHP-E 3.0,Biostar ,H510MHP-E 3.0 ,LGA1200 ,Micro ATX ,Intel H470 ,64 GB ,DDR4 ,2 , DDR4-1866 | DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | ,Black / Silver ,1 , 2242/2260/2280 M-key | 2230 E-key | ,4 ,1 x 1 Gb/s Ports (Realtek RTL8111H) ,Depends on CPU ,1 ,1 ,,No ,None ,Yes ,No 
Asus Z790-AYW OC WIFI-CSM,Asus ,Z790-AYW OC WIFI-CSM ,LGA1700 ,ATX ,Intel Z790 ,96 GB ,DDR5 ,2 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-8000 | DDR5-8200 | ,Silver / Black ,3 , 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | 2242/2260/2280/22110 M-key | ,4 ,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2 ,2 ,,No ,Wi-Fi 6 ,Yes ,No 
Asus B760M-AYW PRO WIFI-CSM,Asus ,B760M-AYW PRO WIFI-CSM ,LGA1700 ,Micro ATX ,Intel B760 ,96 GB ,DDR5 ,2 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,Black / Silver ,1 , 2280 M-key | 2280 M-key | ,2 ,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,1 ,1 ,,No ,Wi-Fi 6 ,Yes ,No 
