Name,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader
Kingston FURY Beast RGB 64 GB,Kingston ,KF560C36BBEAK2-64 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 32GB ,$13.828 ,Black ,12 ns ,36 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Patriot Signature Line 16 GB,Patriot ,PSD416G32002 ,DDR4-3200 ,288-pin DIMM (DDR4) ,1 x 16GB ,$9.374 ,,13.75 ns ,22 ,1.2 V ,,Non-ECC / Unbuffered ,No 
TEAMGROUP T-Force Vulcan 16 GB,TEAMGROUP ,FLRD516G5200HC40CDC01 ,DDR5-5200 ,288-pin DIMM (DDR5) ,2 x 8GB ,,Red ,15.385 ns ,40 ,1.25 V ,40-40-40-76 ,Non-ECC / Unbuffered ,Yes 
Patriot Viper 3 16 GB,Patriot ,PV316G160C9K ,DDR3-1600 ,240-pin DIMM (DDR3) ,2 x 8GB ,$3.562 ,Black / Silver ,11.25 ns ,9 ,1.5 V ,,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance 64 GB,Corsair ,CMK64GX5M2B6000C30 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 32GB ,$16.719 ,Black / Gray ,10 ns ,30 ,1.4 V ,30-36-36-76 ,Non-ECC / Unbuffered ,Yes 
TEAMGROUP T-Create Expert 16 GB,TEAMGROUP ,TTCED416G3200HC16FDC01 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$8.187 ,Gray ,10 ns ,16 ,1.35 V ,16-20-20-40 ,Non-ECC / Unbuffered ,Yes 
G.Skill Flare X5 256 GB,G.Skill ,F5-6000J3644D64GX4-FX5 ,DDR5-6000 ,288-pin DIMM (DDR5) ,4 x 64GB ,$14.414 ,Black ,12 ns ,36 ,1.25 V ,36-44-44-96 ,Non-ECC / Unbuffered ,Yes 
Corsair Dominator Platinum RGB 64 GB,Corsair ,CMT64GX5M2B6800C40 ,DDR5-6800 ,288-pin DIMM (DDR5) ,2 x 32GB ,$18.594 ,Black ,11.765 ns ,40 ,1.4 V ,40-50-50-110 ,Non-ECC / Unbuffered ,Yes 
TEAMGROUP Elite 8 GB,TEAMGROUP ,TED48G3200C2201 ,DDR4-3200 ,288-pin DIMM (DDR4) ,1 x 8GB ,$8.723 ,Black ,13.75 ns ,22 ,1.2 V ,22-22-22-52 ,Non-ECC / Unbuffered ,No 
Kingston HyperX Fury 16 GB,Kingston ,HX424C15FBK2/16 ,DDR4-2400 ,288-pin DIMM (DDR4) ,2 x 8GB ,,Black / White ,12.5 ns ,15 ,1.2 V ,,Non-ECC / Unbuffered ,Yes 
KingBank SharpBlade RGB 32 GB,KingBank ,BRSBDDR516G6400X2 ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 16GB ,,White ,10 ns ,32 ,1.4 V ,,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 64 GB,Corsair ,CMH64GX5M2Y6400C32 ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 32GB ,$17.765 ,Black ,10 ns ,32 ,1.4 V ,32-40-40-84 ,Non-ECC / Unbuffered ,Yes 
Corsair Dominator Platinum RGB 32 GB,Corsair ,CMT32GX4M2C3200C16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 16GB ,,Black ,10 ns ,16 ,1.35 V ,16-18-18-36 ,Non-ECC / Unbuffered ,Yes 
OLOy MD4U082616BJDA 16 GB,OLOy ,MD4U082616BJDA ,DDR4-2666 ,288-pin DIMM (DDR4) ,2 x 8GB ,,Black ,12.003 ns ,16 ,1.2 V ,16-18-18-35 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 64 GB,Corsair ,CMH64GX5M2B5200Z40K ,DDR5-5200 ,288-pin DIMM (DDR5) ,2 x 32GB ,$12.906 ,Gray ,15.385 ns ,40 ,1.25 V ,40-40-40-77 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB Pro 256 GB,Corsair ,CMW256GX4M8E3200C16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,8 x 32GB ,,Black ,10 ns ,16 ,1.35 V ,16-20-20-38 ,Non-ECC / Unbuffered ,Yes 
Crucial CT2K64G56C46S5 128 GB,Crucial ,CT2K64G56C46S5 ,DDR5-5600 ,262-pin SODIMM (DDR5) ,2 x 64GB ,$9.336 ,Black ,16.429 ns ,46 ,1.1 V ,,Non-ECC / Unbuffered ,No 
G.Skill Ripjaws S5 32 GB,G.Skill ,F5-6000J3040F16GA2-RS5K ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$15.000 ,Black ,10 ns ,30 ,1.35 V ,30-40-40-96 ,Non-ECC / Unbuffered ,Yes 
TEAMGROUP T-Create Expert 96 GB,TEAMGROUP ,CTCWD596G6800HC36DDC01 ,DDR5-6800 ,288-pin DIMM (DDR5) ,2 x 48GB ,$15.625 ,White ,10.588 ns ,36 ,1.4 V ,36-46-46-84 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 64 GB,Corsair ,CMH64GX5M4B6600C32 ,DDR5-6600 ,288-pin DIMM (DDR5) ,4 x 16GB ,$17.906 ,Black / Gray ,9.697 ns ,32 ,1.4 V ,32-39-39-76 ,Non-ECC / Unbuffered ,Yes 
Crucial Ballistix 16 GB,Crucial ,BL2K8G32C16U4W ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,,White ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Patriot Viper Venom 16 GB,Patriot ,PVV516G520C36K ,DDR5-5200 ,288-pin DIMM (DDR5) ,2 x 8GB ,,Black / White ,13.846 ns ,36 ,1.2 V ,36-36-36-68 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY 64 GB,Kingston ,KF556C40BWAK2-64 ,DDR5-5600 ,288-pin DIMM (DDR5) ,2 x 32GB ,,White ,14.286 ns ,40 ,1.25 V ,,Non-ECC / Unbuffered ,Yes 
