Name,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
Ocypus Sigma L240 PRO,Ocypus ,Sigma L240 PRO , Sigma L24 PRO WH | Sigma-L24-WH2ANWL00P-GL | ,500 - 2400 RPM ,36 dB ,White ,97 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
Alpenföhn Glacier Water High Speed 360,Alpenföhn ,Glacier Water High Speed 360 ,84000000195 ,500 - 2200 RPM ,36.8 dB ,White ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | sTR4 | sTRX4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Dynatron R8,Dynatron ,,R8 ,,,,64 mm , LGA2011 | LGA2011-3 | LGA2066 | ,No ,Yes 
Fractal Design Celsius+ S28 Prisma PWM ARGB,Fractal Design ,Celsius+ S28 Prisma PWM ARGB ,FD-W-2-S2802 ,500 - 1700 RPM ,34.1 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | sTR4 | sTRX4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 280 mm ,No 
Thermalright Royal Pretor 130,Thermalright ,Royal Pretor 130 ,Royal Pretor 130 WHITE ,1750 RPM ,28.3 dB ,White ,158 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Silverstone NovaPeak 240,Silverstone ,NovaPeak 240 ,SST-NP240B ,600 - 2200 RPM ,35.1 dB ,Black ,54 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Dynatron R13,Dynatron ,,R13 ,1100 - 6000 RPM ,19.1 - 53.8 dB ,,28 mm ,LGA2011-3 Narrow ,No ,No 
Asus ROG Strix LC 360,Asus ,, ROG Strix LC 360 | 90RC0071-M0AAY0 | 90RC0070-M0UAY0 | ,800 - 2500 RPM ,37.6 dB ,Black ,, AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
ADATA XPG LEVANTE II 360,ADATA ,XPG LEVANTE II 360 , LEVANTEII360-WHCWW | 75261588 | ,800 - 2000 RPM ,19.78 - 29.33 dB ,White ,50 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
ARCTIC Liquid Freezer II 420 RGB,ARCTIC ,Liquid Freezer II 420 RGB ,ACFRE00111A ,200 - 1900 RPM ,22.5 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 420 mm ,No 
Thermaltake TH240 ARGB Sync,Thermaltake ,TH240 ARGB Sync , CL-W301-PL12SW-A | CL-W301-PL12SW-B | ,1500 RPM ,28.2 dB ,White ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Corsair H60,Corsair ,H60 ,CWCH60 ,,30.2 dB ,,, AM2 | AM2+ | AM3 | AM3+ | AM4 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 120 mm ,No 
Dynatron R16,Dynatron ,,R16 ,1000 - 6000 RPM ,21.5 - 55.8 dB ,,28 mm , LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Cooler Master Hyper 212X Dual Fan,Cooler Master ,Hyper 212X Dual Fan ,RR-212X-20PM-A1 ,2000 RPM ,9 - 36 dB ,,158 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
NZXT Kraken X52 Rev 2,NZXT ,Kraken X52 Rev 2 ,RL-KRX52-02 ,500 - 2000 RPM ,21 - 36 dB ,,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | sTR4 | sTRX4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Deepcool GAMMAXX GTE V2,Deepcool ,GAMMAXX GTE V2 ,DP-MCH4-GMX-GTE-V2BK ,500 - 1650 RPM ,27.8 dB ,Black ,158 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | ,No ,No 
ID-COOLING SE-224-XT,ID-COOLING ,SE-224-XT ,SE-224-XT BLACK ,700 - 1800 RPM ,15.2 - 32.5 dB ,Black ,154 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
SilentiumPC Fera 5,SilentiumPC ,Fera 5 ,SPC303 ,300 - 1800 RPM ,,Black / Silver ,155 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Iceberg Thermal IceFLOE OASIS 360,Iceberg Thermal ,IceFLOE OASIS 360 ,IFOA36-BAN ,200 - 2200 RPM ,28.9 dB ,Black ,60 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Amazon Basics,Amazon ,,RR-H410-20PC-AS ,600 - 2000 RPM ,6 - 29 dB ,,136 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
