Name,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
Corsair iCUE H170i ELITE LCD,Corsair ,iCUE H170i ELITE LCD ,CW-9060063-WW ,400 - 1600 RPM ,10 - 31.8 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | sTR4 | sTRX4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 420 mm ,No 
upHere UE2T6,upHere ,, UE2T6 | UE2T6 US | ,600 - 1650 RPM ,25 dB ,White ,155 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | ,No ,No 
Thermaltake TH360 V2 Ultra ARGB Sync,Thermaltake ,TH360 V2 Ultra ARGB Sync ,CL-W405-PL12SW-A ,500 - 1800 RPM ,25.8 dB ,White ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Deepcool LE520,Deepcool ,LE520 ,R-LE520-WHAMMN-G-1 ,500 - 2250 RPM ,32.9 dB ,White ,52 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
GAMDIAS CHIONE P5,GAMDIAS ,,CHIONE P5-360 ,400 - 2200 RPM ,11 - 34.91 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Thermaltake TOUGHLIQUID Ultra RGB,Thermaltake ,,CL-W370-PL14SW-A ,500 - 2000 RPM ,30.7 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 420 mm ,No 
Thermaltake CLP0556,Thermaltake ,,CLP0556 ,1900 - 2300 RPM ,22 dB ,,61 mm , LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | ,No ,No 
MSI MAG CORELIQUID C240,MSI ,, MAG CORELIQUID C240 | 306-7ZW2R11-813 | CLC240 | ,500 - 2000 RPM ,14.3 - 34.3 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Enermax LIQMAXFLO 360,Enermax ,LIQMAXFLO 360 ,ELC-LMF360T-ARGB ,500 - 1800 RPM ,23.46 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Thermaltake MAGFloe 360 Ultra ARGB Sync,Thermaltake ,MAGFloe 360 Ultra ARGB Sync ,CL-W433-PL12SW-A ,500 - 2000 RPM ,30.6 dB ,White ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
ENDORFY Fortis 5 Dual Fan,ENDORFY ,Fortis 5 Dual Fan ,EY3A009 ,250 - 1400 RPM ,,Black / Silver ,159 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Cooler Master MasterLiquid 240,Cooler Master ,MasterLiquid 240 ,MLX-D24M-A20PW-R1 ,650 - 2000 RPM ,6 - 30 dB ,,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Deepcool CASTLE 360EX A-RGB,Deepcool ,CASTLE 360EX A-RGB ,DP-GS-H12W-CSL360EX-AR ,500 - 1800 RPM ,30 dB ,Black ,, AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
LC-Power LC-CC-120-RGB,LC-Power ,,LC-CC-120-RGB ,800 - 1800 RPM ,,Black ,152 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
ENDORFY Fera 5 Black ARGB,ENDORFY ,Fera 5 Black ARGB ,EY3A012 ,250 - 1800 RPM ,,Black ,155 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
EK AIO 280 D-RGB,EK ,AIO 280 D-RGB , EK-AIO 280 D-RGB | EK-AIO-280 | 3831109829844 | ,500 - 2000 RPM ,36.4 dB ,Black / Translucent White ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 280 mm ,No 
Cooler Master Masterliquid 240 Atmos,Cooler Master ,Masterliquid 240 Atmos ,MLX-D24M-A25PZ-RW ,690 - 2500 RPM ,27.2 dB ,White ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
Asus ROG RYUO 240 RGB,Asus ,ROG RYUO 240 RGB , ROG RYUO 240 | 90RC0040-M0UAY0 | ,800 - 2500 RPM ,37 dB ,Black ,, AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
ENDORFY Fera 5 ARGB,ENDORFY ,Fera 5 ARGB ,EY3A007 ,250 - 1800 RPM ,,Black / Silver ,155 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
be quiet! Silent Loop 2 360,be quiet! ,Silent Loop 2 360 ,BW012 ,2200 RPM ,17.7 - 39.8 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Jonsbo HX6200D,Jonsbo ,,HX6200D White ,700 - 1800 RPM ,18.6 - 29.7 dB ,White ,63 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
ID-COOLING FROZN A410 GDL,ID-COOLING ,,FROZN A410 GDL ,500 - 2000 RPM ,29.9 dB ,Black / Gold ,152 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Thermaltake TOUGHLIQUID Ultra,Thermaltake ,, CL-W323-PL12GM-B | CL-W323-PL12GM-A | ,500 - 2500 RPM ,28.1 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
ID-COOLING IS-55 ARGB,ID-COOLING ,,IS-55 ARGB ,500 - 2000 RPM ,31.2 dB ,Black ,55 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
GAMDIAS BOREAS P1-720,GAMDIAS ,,BOREAS P1-720 ,800 - 2000 RPM ,10 - 31 dB ,Black ,158 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Lian Li Galahad II Trinity SL-INF,Lian Li ,, GA2T24INB | G89.GA2T24INB.00 | ,2100 RPM ,29 dB ,Black ,69 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
Cooler Master MasterLiquid ML240R RGB,Cooler Master ,MasterLiquid ML240R RGB ,MLX-D24M-A20PC-R1 ,650 - 2000 RPM ,6 - 30 dB ,,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Corsair H115i,Corsair ,H115i , CW-9060027-WW | H115i | ,2000 RPM ,40 dB ,,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | sTR4 | sTRX4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 280 mm ,No 
Thermaltake Water 3.0 360 ARGB Sync Edition,Thermaltake ,Water 3.0 360 ARGB Sync Edition ,CL-W234-PL12SW-A ,500 - 1500 RPM ,25.8 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | sTR4 | sTRX4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Thermalright Frost Tower 120,Thermalright ,Frost Tower 120 ,FT120 ,1850 RPM ,29.6 dB ,,154 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
PC Cooler DS360,PC Cooler ,DS360 , DS360 WH | CPS DS360 WH | ,500 - 2200 RPM ,32 dB ,White ,66 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Cooler Master MasterLiquid ML240L V2 RGB,Cooler Master ,MasterLiquid ML240L V2 RGB ,MLW-D24M-A18PC-RW ,650 - 1800 RPM ,8 - 27 dB ,White / Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Deepcool AK500 DIGITAL,Deepcool ,,R-AK500-BKADMN-G ,500 - 1850 RPM ,28 dB ,Black ,160 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Alpenföhn BEN NEVIS,Alpenföhn ,BEN NEVIS ,84000000119 ,400 - 1600 RPM ,8 - 20.2 dB ,,140 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
be quiet! Dark Rock Pro TR4,be quiet! ,Dark Rock Pro TR4 ,BK023 ,1200 - 1500 RPM ,12.8 - 24.3 dB ,Black ,163 mm , sTR4 | sTRX4 | ,No ,No 
ARCTIC Freezer 4U-M,ARCTIC ,,ACFRE00133A ,400 - 2300 RPM ,40 dB ,Black / Silver ,141 mm , sTR4 | sTRX4 | ,No ,No 
Deepcool Castle 240 RGB V2,Deepcool ,Castle 240 RGB V2 ,DP-GS-H12AR-CSL240V2 ,500 - 1800 RPM ,30 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | sTR4 | sTRX4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Phanteks GLACIER ONE 420D30,Phanteks ,GLACIER ONE 420D30 ,PH-GO420D30_DBK01 ,250 - 1800 RPM ,29.5 dB ,Black ,51 mm , AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 420 mm ,No 
Cooler Master MasterLiquid Atmos II LCD,Cooler Master ,,MLX-D24M-A25SZ-L1 ,690 - 2500 RPM ,36 dB ,Black ,38 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
Deepcool LT520 WH,Deepcool ,LT520 WH , R-LT520-WHAMNF-G-1 | LT520 WH | ,500 - 2250 RPM ,32.9 dB ,White ,68 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Lian Li HydroShift LCD 360R RGB,Lian Li ,HydroShift LCD 360R RGB , HSLCD36RW | GHSLCD36RW | ,300 - 2400 RPM ,30 dB ,White ,59 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
ID-COOLING DX240 MAX,ID-COOLING ,,DX240 MAX ,,32.5 dB ,Black ,58 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
Deepcool LT360 ARGB,Deepcool ,LT360 ARGB ,R-LT360-BKAMNC-G-1 ,600 - 2400 RPM ,38.71 dB ,Black ,68 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Asus ROG STRIX LC II ARGB,Asus ,, ROG STRIX LC II 360 ARGB WHITE EDITION | ROG STRIX LC II 360 ARGB WE | 90RC00F2-M0UAY4 | 90RC00F2-M0UAY0 | 90RC00F2-M0UAY2 | ,800 - 2500 RPM ,37.6 dB ,White / Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011-3 Narrow | ,Yes - 360 mm ,No 
Thermalright Elite Vision 360 ARGB,Thermalright ,Elite Vision 360 ARGB , Elite Vision 360 BLACK ARGB | EV360 ARGB BLACK D6-Y | ,2150 RPM ,27 dB ,Black ,63 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Thermalright Frozen Warframe PRO ARGB,Thermalright ,, Frozen Warframe PRO 360 WHITE ARGB | 814256017879 | ,2000 RPM ,29.8 dB ,White / Blue ,60 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
ID-COOLING DASHFLOW 240 BASIC,ID-COOLING ,DASHFLOW 240 BASIC ,DASHFLOW 240 BASIC WHITE ,700 - 1800 RPM ,15.2 - 35.2 dB ,White ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Deepcool AG400 DIGITAL PLUS,Deepcool ,AG400 DIGITAL PLUS ,R-AG400-BKADMP-G-1 ,500 - 2100 RPM ,31.6 dB ,Black ,153 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Cooler Master Hyper 212 LED,Cooler Master ,Hyper 212 LED ,RR-212L-16PR-R1 ,600 - 1600 RPM ,9 - 31 dB ,,160 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Silverstone AR12-TUF,Silverstone ,AR12-TUF , SST-AR12-TUF | AR12-TUF | ,300 - 2200 RPM ,6.2 - 34.4 dB ,Black / Orange ,154 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Silverstone NovaPeak 360 ARGB,Silverstone ,NovaPeak 360 ARGB ,SST-NP360-ARGB ,500 - 2200 RPM ,12.1 - 33.1 dB ,Black ,63 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Corsair iCUE H115i ELITE CAPELLIX XT,Corsair ,iCUE H115i ELITE CAPELLIX XT ,CW-9060069-WW ,500 - 1700 RPM ,5 - 33.8 dB ,Black ,, AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 280 mm ,No 
MSI MAG CORELIQUID I240,MSI ,MAG CORELIQUID I240 , MAG CORELIQUID I240 WHITE | CLI240 WT | 306-7ZW7A21-C24 | ,,,White ,62 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
MSI MPG CORELIQUID K240,MSI ,MPG CORELIQUID K240 , MPG CoreLiquid K240 | 9S6-6A0311-011 | CLK240 | ,,0 - 39.9 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Thermaltake Water 3.0 120 ARGB Sync,Thermaltake ,Water 3.0 120 ARGB Sync ,CL-W232-PL12SW-A ,500 - 1500 RPM ,25.8 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 120 mm ,No 
Phanteks GLACIER ONE 360D30,Phanteks ,GLACIER ONE 360D30 ,PH-GO360D30_DBK01 ,250 - 2000 RPM ,30.2 dB ,Black ,51 mm , AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Intel BXXTS100H,Intel ,,BXXTS100H ,800 - 1800 RPM ,20 - 35 dB ,,130 mm , LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | ,No ,No 
ARCTIC Liquid Freezer II 120,ARCTIC ,Liquid Freezer II 120 ,ACFRE00067A ,200 - 1800 RPM ,,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 120 mm ,No 
EK AIO 360 D-RGB,EK ,AIO 360 D-RGB , EK-AIO 360 D-RGB | 3831109815847 | ,450 - 2600 RPM ,36.4 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
be quiet! Pure Loop 360,be quiet! ,Pure Loop 360 ,BW008 ,,19.8 - 40.5 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Thermalright Assassin King 120,Thermalright ,Assassin King 120 ,AK120 WHITE ,1500 RPM ,25.6 dB ,White / Silver ,154 mm , AM4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Antec VORTEX 240,Antec ,VORTEX 240 , 0-761345-74046-3 | VORTEX 240 ARGB | ,600 - 2000 RPM ,31.24 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
ID-COOLING SE-207-XT SLIM,ID-COOLING ,,SE-207-XT SLIM ,700 - 1800 RPM ,15.2 - 35.2 dB ,,135 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Enermax LIQMAXFLO 420,Enermax ,LIQMAXFLO 420 ,ELC-LMF420T-ARGB ,500 - 1700 RPM ,25.47 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 420 mm ,No 
Thermalright Frozen Warframe ARGB,Thermalright ,,Frozen Warframe 420 BLACK ARGB ,1750 RPM ,29.8 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 420 mm ,No 
Silverstone VIDA 240 SLIM,Silverstone ,VIDA 240 SLIM ,SST-VD240-SLIM ,300 - 1800 RPM ,15.9 - 33.9 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Thermaltake TOUGHAIR 110,Thermaltake ,TOUGHAIR 110 ,CL-P073-AL12BL-A ,500 - 2000 RPM ,23.6 dB ,Black / Silver ,114 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Deepcool AK400 G2,Deepcool ,,R-AK400G2-BKNNMN-GJD ,2200 RPM ,31.45 dB ,Black / Brown ,156 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
ARCTIC Liquid Freezer II 360 A-RGB,ARCTIC ,Liquid Freezer II 360 A-RGB ,ACFRE00101A ,200 - 1800 RPM ,22.5 dB ,Black / Gray ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Cooler Master Masterliquid 360 Atmos,Cooler Master ,Masterliquid 360 Atmos ,MLX-D36M-A25PZ-RW ,690 - 2500 RPM ,27.2 dB ,White ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Deepcool LE720,Deepcool ,LE720 ,R-LE720-WHAMMN-G-1 ,500 - 2250 RPM ,32.9 dB ,White ,52 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Scythe Fuma 2 Rev.B,Scythe ,Fuma 2 Rev.B ,SCFM-2100 ,300 - 1500 RPM ,2.58 - 23.8 dB ,Black / Silver ,154 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
ID-COOLING SE-225-XT,ID-COOLING ,SE-225-XT ,SE-225-XT Black ,700 - 1800 RPM ,15.2 - 35.2 dB ,Black ,154 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Thermaltake TH420 V2 ARGB Sync,Thermaltake ,TH420 V2 ARGB Sync ,CL-W376-PL14SW-A ,500 - 1800 RPM ,34.7 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 420 mm ,No 
ID-COOLING SL240,ID-COOLING ,,SL240 ,500 - 2000 RPM ,29.9 dB ,Black ,58 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
GAMDIAS CHIONE M4-240,GAMDIAS ,CHIONE M4-240 ,GD-CHIONE M4-240 ,800 - 2000 RPM ,11 - 29 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
