Name,URL,Image,Core Count,Performance Core Clock,Performance Core Boost Clock,Microarchitecture,TDP,Integrated Graphics,Price
Intel Core i5-14600KF,https://pcpartpicker.com/product/zyyH99/intel-core-i5-14600kf-35-ghz-14-core-processor-bx8071514600kf,https://cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.256p.jpg,14,3.5 GHz,5.3 GHz,Raptor Lake Refresh,125 W,None,228.94
Intel Core Ultra 7 265KF,https://pcpartpicker.com/product/8myH99/intel-core-ultra-7-265kf-39-ghz-20-core-processor-bx80768265kf,https://cdna.pcpartpicker.com/static/forever/images/product/fcf1376b4011b81307f2eb83fb68d582.256p.jpg,20,3.9 GHz,5.5 GHz,Arrow Lake,125 W,None,248.99
AMD Ryzen 7 5700X3D,https://pcpartpicker.com/product/3ZKscf/amd-ryzen-7-5700x3d-3-ghz-8-core-processor-100-100001503wof,https://cdna.pcpartpicker.com/static/forever/images/product/7945bbda871bfbf95a9138fd184f4a6e.256p.jpg,8,3 GHz,4.1 GHz,Zen 3,105 W,None,
Intel Core i3-12100F,https://pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f,https://cdna.pcpartpicker.com/static/forever/images/product/c67d8f42c0e57b268f068172e9a3f571.256p.jpg,4,3.3 GHz,4.3 GHz,Alder Lake,58 W,None,90.06
AMD Ryzen 9 9900X3D,https://pcpartpicker.com/product/d7TFf7/amd-ryzen-9-9900x3d-44-ghz-12-core-processor-100-1000001368wof,https://cdna.pcpartpicker.com/static/forever/images/product/990c9be284c611b84c6a33e9706b1efa.256p.jpg,12,4.4 GHz,5.5 GHz,Zen 5,120 W,Radeon,529.99
Intel Core i7-12700K,https://pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k,https://cdna.pcpartpicker.com/static/forever/images/product/3f7037db801def4db8418df8e7498e6a.256p.jpg,12,3.6 GHz,5 GHz,Alder Lake,125 W,Intel UHD Graphics 770,279.68
Intel Core i5-14600K,https://pcpartpicker.com/product/jXFmP6/intel-core-i5-14600k-35-ghz-14-core-processor-bx8071514600k,https://cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.256p.jpg,14,3.5 GHz,5.3 GHz,Raptor Lake Refresh,125 W,Intel UHD Graphics 770,239.99
AMD Ryzen 7 5700,https://pcpartpicker.com/product/9NFmP6/amd-ryzen-7-5700-37-ghz-8-core-processor-100-000000743box,https://cdna.pcpartpicker.com/static/forever/images/product/5c2e33214954959b8fe3759699e29ad2.256p.jpg,8,3.7 GHz,4.6 GHz,Zen 3,65 W,None,180.00
Intel Core i9-12900K,https://pcpartpicker.com/product/gGH7YJ/intel-core-i9-12900k-32-ghz-8-core-processor-bx8071512900k,https://cdna.pcpartpicker.com/static/forever/images/product/b9d3c68bbf713cdd1211f3792040ce95.256p.jpg,16,3.2 GHz,5.2 GHz,Alder Lake,125 W,Intel UHD Graphics 770,339.95
AMD Ryzen 5 5600GT,https://pcpartpicker.com/product/7XGhP6/amd-ryzen-5-5600gt-36-ghz-6-core-processor-100-100001488box,https://cdna.pcpartpicker.com/static/forever/images/product/7a6babfed0885332f51c70772687fcd1.256p.jpg,6,3.6 GHz,4.6 GHz,Zen 3,65 W,Radeon Vega 7,158.99
Intel Core Ultra 5 225F,https://pcpartpicker.com/product/pkdMnQ/intel-core-ultra-5-225f-33-ghz-10-core-processor-bx80768225f,https://cdna.pcpartpicker.com/static/forever/images/product/4ac0c32ed331c672ee51af4d468f3d72.256p.jpg,10,3.3 GHz,4.9 GHz,Arrow Lake,65 W,None,144.99
AMD Ryzen 5 8400F,https://pcpartpicker.com/product/DpcgXL/amd-ryzen-5-8400f-42-ghz-6-core-processor-100-100001591box,https://cdna.pcpartpicker.com/static/forever/images/product/2c2a93ae222699dace151a0f718e21c0.256p.jpg,6,4.2 GHz,4.7 GHz,Zen 4,65 W,None,155.00
Intel Core Ultra 5 245K,https://pcpartpicker.com/product/xNXV3C/intel-core-ultra-5-245k-42-ghz-14-core-processor-bx80768245k,https://cdna.pcpartpicker.com/static/forever/images/product/1e9e70d03e7edd0274691d5f49a34a50.256p.jpg,14,4.2 GHz,5.2 GHz,Arrow Lake,125 W,Intel Xe,199.95
AMD Ryzen 7 7800X3D,https://pcpartpicker.com/product/CzZWGX/amd-ryzen-7-7800x3d-42-ghz-8-core-oemtray-processor-100-000000910,https://cdna.pcpartpicker.com/static/forever/images/product/e8e7d9593f6e2f60baf789cbfb94eb55.256p.jpg,8,4.2 GHz,5 GHz,Zen 4,120 W,Radeon,366.95
Intel Core i7-14700KF,https://pcpartpicker.com/product/TWP8TW/intel-core-i7-14700kf-34-ghz-20-core-processor-bx8071514700kf,https://cdna.pcpartpicker.com/static/forever/images/product/92061d6108d4c4bf0deb77943506df11.256p.jpg,20,3.4 GHz,5.6 GHz,Raptor Lake Refresh,125 W,None,349.97
AMD Ryzen 7 8700F,https://pcpartpicker.com/product/CsGhP6/amd-ryzen-7-8700f-41-ghz-8-core-processor-100-100001590box,https://cdna.pcpartpicker.com/static/forever/images/product/b6ab2ee57b91c56a92a3da6346e47627.256p.jpg,8,4.1 GHz,5 GHz,Zen 4,65 W,None,238.95
AMD Ryzen 9 5900XT,https://pcpartpicker.com/product/nYvD4D/amd-ryzen-9-5900xt-33-ghz-16-core-processor-100-100001581wof,https://cdna.pcpartpicker.com/static/forever/images/product/36739b3a1511a7c493b2f987b43cd144.256p.jpg,16,3.3 GHz,4.8 GHz,Zen 3,105 W,None,309.79
AMD Ryzen 7 7700,https://pcpartpicker.com/product/dXmmP6/amd-ryzen-7-7700-36-ghz-8-core-processor-100-100000592box,https://cdna.pcpartpicker.com/static/forever/images/product/6e6bcad6744a6a7302394f2edf5a6e34.256p.jpg,8,3.6 GHz,5.3 GHz,Zen 4,65 W,Radeon,299.99
