Name,URL,Image,Type,Efficiency Rating,Wattage,Modular,Color,Price
Chieftec SILICON,https://pcpartpicker.com/product/x9Pv6h/chieftec-silicon-650-w-80-bronze-certified-fully-modular-atx-power-supply-slc-650c,/static/forever/img/no-image.png,ATX,80+ Bronze,650 W,Full,Black / Red,
FSP Group MEGA TI,https://pcpartpicker.com/product/K4WmP6/fsp-group-mega-ti-1650-w-80-titanium-certified-fully-modular-atx-power-supply-mega-1650ti,/static/forever/img/no-image.png,ATX,80+ Titanium,1650 W,Full,Black,
be quiet! TFX Power 3 300,https://pcpartpicker.com/product/Wq7G3C/be-quiet-tfx-power-3-300-w-80-gold-certified-tfx-power-supply-bn323,https://cdna.pcpartpicker.com/static/forever/images/product/26f4e1e59c28ce6c0a4dd6e61845d41a.256p.jpg,TFX,80+ Gold,300 W,No,Black,
SeaSonic SS-600ES,https://pcpartpicker.com/product/z6448d/seasonic-600-w-80-bronze-certified-atx-power-supply-ss-600es,https://cdna.pcpartpicker.com/static/forever/images/product/6ec3f9d0b0d7ae18e60ae9ccd0985872.256p.jpg,ATX,80+ Bronze,600 W,No,Gray,142.02
Antec Earthwatts,https://pcpartpicker.com/product/bDH323/antec-power-supply-ea500dgreen,https://m.media-amazon.com/images/I/51EMODQvP9L.jpg,ATX,80+ Bronze,500 W,No,,118.11
Thermaltake Toughpower SFX,https://pcpartpicker.com/product/TkjRsY/thermaltake-toughpower-sfx-550-w-80-gold-certified-fully-modular-sfx-power-supply-ps-stp-0550fnfage-1,https://cdna.pcpartpicker.com/static/forever/images/product/8d88c7ab3a932ca263e9e58a0d131600.256p.jpg,SFX,80+ Gold,550 W,Full,Black,
KOLINK Core,https://pcpartpicker.com/product/y8BzK8/kolink-core-850-w-80-certified-atx-power-supply-kl-c850,https://cdna.pcpartpicker.com/static/forever/images/product/5320b3bc23caca4deaaa4ef396af5479.256p.jpg,ATX,80+,850 W,No,Black,
In Win Compact,https://pcpartpicker.com/product/xpn8TW/in-win-compact-700-w-80-gold-certified-fully-modular-sfx-power-supply-cs-700w,/static/forever/img/no-image.png,SFX,80+ Gold,700 W,Full,Black,
Cooler Master XG750 Plus,https://pcpartpicker.com/product/yv92FT/cooler-master-xg750-plus-750-w-80-platinum-certified-fully-modular-atx-power-supply-mpg-7501-afbap-xus,https://m.media-amazon.com/images/I/51HR6hLHoVL.jpg,ATX,80+ Platinum,750 W,Full,Black,
Fractal Design Ion+ 2 Platinum,https://pcpartpicker.com/product/4y3gXL/fractal-design-ion-2-platinum-760-w-80-platinum-certified-fully-modular-atx-power-supply-fd-p-ia2p-760,https://m.media-amazon.com/images/I/41SEWCyI8oL.jpg,ATX,80+ Platinum,760 W,Full,Black,
RAIJINTEK CRATOS,https://pcpartpicker.com/product/CKbRsY/raijintek-cratos-1000-w-80-gold-certified-fully-modular-atx-power-supply-0r30b00006,https://cdna.pcpartpicker.com/static/forever/images/product/11ebbe12445bc950324a6dbdb8f60d8a.256p.jpg,ATX,80+ Gold,1000 W,Full,White,
BitFenix BFG GOLD ATX3.0,https://pcpartpicker.com/product/9XNYcf/bitfenix-bfg-gold-atx30-850-w-80-gold-certified-fully-modular-atx-power-supply-bp-bga850umag,https://cdna.pcpartpicker.com/static/forever/images/product/f6b93aa58354d6175be749718fa3141a.256p.jpg,ATX,80+ Gold,850 W,Full,Black,
YEYIAN Raiden,https://pcpartpicker.com/product/ZGgrxr/yeyian-raiden-750-w-80-bronze-certified-atx-power-supply-yfb-75000-01,https://m.media-amazon.com/images/I/51LgR5G2D1L.jpg,ATX,80+ Bronze,750 W,No,Black,
Cooler Master MWE Gold V2 ATX3.0 SF6 BLANKA,https://pcpartpicker.com/product/y9dG3C/cooler-master-mwe-gold-v2-atx30-sf6-blanka-1050-w-80-gold-certified-fully-modular-atx-power-supply-mpe-a501-afcag-3v,https://m.media-amazon.com/images/I/41KJ2cy+rdL.jpg,ATX,80+ Gold,1050 W,Full,Green / Yellow,
Chieftec PowerPlay GPU-FC,https://pcpartpicker.com/product/vTDnTW/chieftec-powerplay-gpu-fc-1050-w-80-platinum-certified-fully-modular-atx-power-supply-gpu-1050fc,https://m.media-amazon.com/images/I/41K5dtT34KL.jpg,ATX,80+ Platinum,1050 W,Full,Black / Red,
EVGA SuperNOVA 650 P5,https://pcpartpicker.com/product/gY7G3C/evga-supernova-650-p5-650-w-80-platinum-certified-fully-modular-atx-power-supply-220-p5-0650-x1,https://m.media-amazon.com/images/I/41ic6O04+IL.jpg,ATX,80+ Platinum,650 W,Full,Black / Teal,399.99
LC-Power LC V2.31,https://pcpartpicker.com/product/nTMMnQ/lc-power-lc-v231-400-w-tfx-power-supply-lc400tfx-v231,https://m.media-amazon.com/images/I/41kekD-iH-L.jpg,TFX,,400 W,No,Black,
Super Flower Zillion FG,https://pcpartpicker.com/product/zPbRsY/super-flower-zillion-fg-750-w-80-gold-certified-fully-modular-atx-power-supply-sf-750z12fg,/static/forever/img/no-image.png,ATX,80+ Gold,750 W,Full,Black,
Cooler Master Elite,https://pcpartpicker.com/product/nJ9KHx/cooler-master-power-supply-rs400psarj3,https://m.media-amazon.com/images/I/51CMW497GsL.jpg,ATX,,400 W,No,,
Silverstone SFX,https://pcpartpicker.com/product/rB3RsY/silverstone-sfx-450-w-80-bronze-certified-sfx-power-supply-st45sf,https://m.media-amazon.com/images/I/41mruTDjFoL.jpg,SFX,80+ Bronze,450 W,No,Black,
Corsair AX650,https://pcpartpicker.com/product/gmsKHx/corsair-ax650-650-w-80-gold-certified-fully-modular-atx-power-supply-ax650,https://cdna.pcpartpicker.com/static/forever/images/product/74cc85b795b9ef0272cf17e9faa921d3.256p.jpg,ATX,80+ Gold,650 W,Full,,
Rosewill Capstone,https://pcpartpicker.com/product/Rs2kcf/rosewill-power-supply-capstone650,https://images-na.ssl-images-amazon.com/images/I/41GSyBAd4XL.jpg,ATX,80+ Gold,650 W,No,,
Rosewill Capstone,https://pcpartpicker.com/product/JYxfrH/rosewill-power-supply-capstone750m,https://cdna.pcpartpicker.com/static/forever/images/product/7c2df90e25a3d148eca1c65570bc0fe4.256p.jpg,ATX,80+ Gold,750 W,Semi,,
Cooler Master GX,https://pcpartpicker.com/product/XGQypg/cooler-master-power-supply-rs650acaad3us,https://m.media-amazon.com/images/I/51i3r1kYvFL.jpg,ATX,80+,650 W,No,,
Fractal Design Integra R2,https://pcpartpicker.com/product/qJckcf/fractal-design-power-supply-fdpsuin2b650w,https://images-eu.ssl-images-amazon.com/images/I/41cn4k2Y8sL.jpg,ATX,80+ Bronze,650 W,No,,
SeaSonic Platinum,https://pcpartpicker.com/product/CfXfrH/seasonic-power-supply-ss660xp2,https://cdna.pcpartpicker.com/static/forever/images/product/015cf2052196e156d8ca6f7ceafcf67d.256p.jpg,ATX,80+ Platinum,660 W,Full,,
Gigabyte GreenMax Plus,https://pcpartpicker.com/product/3GyFf7/gigabyte-power-supply-gzems55ac1,https://m.media-amazon.com/images/I/51mREAFdfQL.jpg,ATX,80+ Bronze,550 W,No,,
be quiet! STRAIGHT POWER E9 680W / CM,https://pcpartpicker.com/product/ZVMFf7/be-quiet-power-supply-bn199,https://m.media-amazon.com/images/I/51Fn56utXDL.jpg,ATX,80+ Gold,680 W,Semi,,
be quiet! Power Zone 650W,https://pcpartpicker.com/product/Gpfp99/be-quiet-power-supply-bn210,https://cdna.pcpartpicker.com/static/forever/images/product/fbf4c4c02330f710f58f74d076f16d74.256p.jpg,ATX,80+ Bronze,650 W,Full,,
be quiet! Power Zone 1000W,https://pcpartpicker.com/product/DPR48d/be-quiet-power-supply-bn213,https://cdna.pcpartpicker.com/static/forever/images/product/70e08d3ae50f62682b3c1720ea52bc38.256p.jpg,ATX,80+ Bronze,1000 W,Full,,
Cougar CMX700V3,https://pcpartpicker.com/product/b9h9TW/cougar-power-supply-cmx700v3,https://cdna.pcpartpicker.com/static/forever/images/product/7b22ceb724447bc8cc13c5d5d5b9e76e.256p.jpg,ATX,80+ Bronze,700 W,Semi,,
EVGA SuperNOVA 1600 G2,https://pcpartpicker.com/product/q72kcf/evga-supernova-1600-g2-1600-w-80-gold-certified-fully-modular-atx-power-supply-120-g2-1600-x1,https://cdna.pcpartpicker.com/static/forever/images/product/dc8f2b32533ea4411c8a31c83ce33e77.256p.jpg,ATX,80+ Gold,1600 W,Full,,
EVGA SuperNOVA 850 GS,https://pcpartpicker.com/product/qhPzK8/evga-supernova-850-gs-850-w-80-gold-certified-fully-modular-atx-power-supply-220-gs-0850-v1,https://cdna.pcpartpicker.com/static/forever/images/product/531add075f4fe40543ac314fbca70d04.256p.jpg,ATX,80+ Gold,850 W,Full,,
Silverstone Strider,https://pcpartpicker.com/product/wnQRsY/silverstone-power-supply-st50fesb,https://m.media-amazon.com/images/I/41iYY-6OODL.jpg,ATX,80+ Bronze,500 W,No,,
NOX URANO TX,https://pcpartpicker.com/product/r9Nypg/nox-power-supply-nxurtx850,https://m.media-amazon.com/images/I/51-6ZFqYx5L.jpg,ATX,,850 W,No,,
Zalman TX,https://pcpartpicker.com/product/RQ648d/zalman-tx-700-w-atx-power-supply-zm700-tx,https://m.media-amazon.com/images/I/41cv8TzMHDL.jpg,ATX,,700 W,No,,
Corsair HX620,https://pcpartpicker.com/product/Y4s8TW/corsair-hx620-620-w-80-certified-fully-modular-atx-power-supply-cmpsu-620hx,/static/forever/img/no-image.png,ATX,80+,620 W,Full,,
Lian Li PE,https://pcpartpicker.com/product/fJM323/lian-li-pe-750-w-80-platinum-certified-fully-modular-sfx-power-supply-pe-750,https://cdna.pcpartpicker.com/static/forever/images/product/1a2c968707a136a2089549a8420819f9.256p.jpg,SFX,80+ Platinum,750 W,Full,Black,
be quiet! Pure Power 10,https://pcpartpicker.com/product/T7Jkcf/be-quiet-pure-power-10-300w-80-bronze-certified-atx-power-supply-bn270,https://cdna.pcpartpicker.com/static/forever/images/product/367ba9c38e8e0c7d462926970cde316a.256p.jpg,ATX,80+ Bronze,300 W,No,,
SeaSonic PRIME Titanium,https://pcpartpicker.com/product/PxBrxr/seasonic-prime-titanium-1000w-80-titanium-certified-fully-modular-atx-power-supply-ssr-1000td,https://cdna.pcpartpicker.com/static/forever/images/product/2b234e43e0b06f368bb1f6956420b413.256p.jpg,ATX,80+ Titanium,1000 W,Full,,
Thermaltake Smart DPS G,https://pcpartpicker.com/product/4x648d/thermaltake-smart-dps-g-750-w-80-gold-certified-semi-modular-atx-power-supply-ps-spg-0750dpcgus-g,https://m.media-amazon.com/images/I/51pUEyL8DWL.jpg,ATX,80+ Gold,750 W,Semi,,
SeaSonic PRIME Ultra Platinum 1000,https://pcpartpicker.com/product/2pzkcf/seasonic-prime-ultra-platinum-1000w-80-platinum-certified-fully-modular-atx-power-supply-ssr-1000pd-u,https://m.media-amazon.com/images/I/51dccv2N9cS.jpg,ATX,80+ Platinum,1000 W,Full,Black,
Thermaltake Toughpower Grand RGB 750 SE,https://pcpartpicker.com/product/GC97YJ/thermaltake-toughpower-grand-rgb-sync-edition-750w-80-gold-certified-fully-modular-fanless-atx-power-supply-ps-tpg-0750fpcgus-s,https://cdna.pcpartpicker.com/static/forever/images/product/860fd0d02902e67a11d2701647eacebe.256p.jpg,ATX,80+ Gold,750 W,Full,Black,
EVGA 550 GD,https://pcpartpicker.com/product/qDXnTW/evga-550-gd-550-w-80-gold-certified-atx-power-supply-100-gd-0550-v2,/static/forever/img/no-image.png,ATX,80+ Gold,550 W,No,Black,
RIOTORO BUILDER,https://pcpartpicker.com/product/BbJtt6/riotoro-builder-1200-w-80-gold-certified-fully-modular-atx-power-supply-pr-gp1200fm-uk,https://cdna.pcpartpicker.com/static/forever/images/product/ffc77bf8194cead54d81a9d8555f0f46.256p.jpg,ATX,80+ Gold,1200 W,Full,Black / Red,
Fractal Design Ion+ 760P,https://pcpartpicker.com/product/fdXYcf/fractal-design-ion-760-w-80-platinum-certified-fully-modular-at-power-supply-fd-psu-ionp-760p-bk,https://cdna.pcpartpicker.com/static/forever/images/product/c38cf451d121d331d5ab373a127403aa.256p.jpg,ATX,80+ Platinum,760 W,Full,Black,
Super Flower Leadex III Gold,https://pcpartpicker.com/product/7y4BD3/super-flower-leadex-iii-gold-550-w-80-gold-certified-fully-modular-atx-power-supply-sf-550f14hg,https://cdna.pcpartpicker.com/static/forever/images/product/dc5a142b939486f0278ddb6a92ebb532.256p.jpg,ATX,80+ Gold,550 W,Full,Black,
Thermaltake Toughpower iRGB PLUS 850,https://pcpartpicker.com/product/Lj4BD3/thermaltake-toughpower-irgb-plus-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpi-0850f3fdgu-1,https://m.media-amazon.com/images/I/51E+CDQz-iL.jpg,ATX,80+ Gold,850 W,Full,Black,
Enermax Revolution D.F.,https://pcpartpicker.com/product/DvCFf7/enermax-revolution-df-750-w-80-gold-certified-fully-modular-atx-power-supply-erf750ewt,https://cdna.pcpartpicker.com/static/forever/images/product/d488c324d0235a2ae30b4396d55850ce.256p.jpg,ATX,80+ Gold,750 W,Full,Black / Silver,
KOLINK Classic Power,https://pcpartpicker.com/product/VCVG3C/kolink-classic-power-700-w-80-bronze-certified-atx-power-supply-kl-700v2,https://cdna.pcpartpicker.com/static/forever/images/product/d423cfe1772313013c2bc9b831398f68.256p.jpg,ATX,80+ Bronze,700 W,No,Black / Red,
Apex AG-M,https://pcpartpicker.com/product/qpn8TW/apex-ag-m-750-w-80-gold-certified-fully-modular-atx-power-supply-ag-750m,https://cdna.pcpartpicker.com/static/forever/images/product/ab7ef1fe170e1c4f366e3178de251278.256p.jpg,ATX,80+ Gold,750 W,Full,Black,
Fractal Design Ion+ 2 Platinum,https://pcpartpicker.com/product/s3YmP6/fractal-design-ion-2-platinum-560-w-80-platinum-certified-fully-modular-atx-power-supply-fd-p-ia2p-560,https://m.media-amazon.com/images/I/41EZifd2IfL.jpg,ATX,80+ Platinum,560 W,Full,Black,
Segotep GM,https://pcpartpicker.com/product/B7TZxr/segotep-gm-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-psu-st-gm850-wt,/static/forever/img/no-image.png,ATX,80+ Gold,850 W,Full,White,
Thermalright TP,https://pcpartpicker.com/product/3Kn9TW/thermalright-tp-1000-w-80-platinum-certified-fully-modular-atx-power-supply-tp-1000-w,https://cdna.pcpartpicker.com/static/forever/images/product/2d81d1d8fa4f478c4102a6e6833bdd84.256p.jpg,ATX,80+ Platinum,1000 W,Full,White,
Thermalright TG,https://pcpartpicker.com/product/2tkH99/thermalright-tg-1200-w-80-gold-certified-fully-modular-atx-power-supply-tg-1200,https://cdna.pcpartpicker.com/static/forever/images/product/7e86b65c5ac0e3b2406d38637454cd07.256p.jpg,ATX,80+ Gold,1200 W,Full,Black,
Thermalright AG-850,https://pcpartpicker.com/product/4GYRsY/thermalright-ag-850-850-w-80-gold-certified-fully-modular-atx-power-supply-ag-850,https://cdna.pcpartpicker.com/static/forever/images/product/38224fec8ea5c00973980aa38458392e.256p.jpg,ATX,80+ Gold,850 W,Full,Black,
Enermax MarbleBron,https://pcpartpicker.com/product/sWH8TW/enermax-marblebron-650-w-80-bronze-certified-semi-modular-atx-power-supply-emb650awt,https://m.media-amazon.com/images/I/41oazFjCy+S.jpg,ATX,80+ Bronze,650 W,Semi,Black,
Zalman TeraMax II,https://pcpartpicker.com/product/kwfxFT/zalman-teramax-ii-750-w-80-gold-certified-fully-modular-atx-power-supply-zm750-tmx2-bk,/static/forever/img/no-image.png,ATX,80+ Gold,750 W,Full,Black,
Zalman TeraMax II,https://pcpartpicker.com/product/WrBzK8/zalman-teramax-ii-1000-w-80-gold-certified-fully-modular-atx-power-supply-zm1000-tmx2-bk,/static/forever/img/no-image.png,ATX,80+ Gold,1000 W,Full,Black,
YEYIAN Raiden,https://pcpartpicker.com/product/6ydG3C/yeyian-raiden-500-w-80-certified-atx-power-supply-yfw-50020-01,https://m.media-amazon.com/images/I/513rsW+0dIL.jpg,ATX,80+,500 W,No,Black,
Cooler Master GXII,https://pcpartpicker.com/product/LYKscf/cooler-master-gxii-750-w-80-gold-certified-fully-modular-atx-power-supply-mpx-7503-afag-2bus,https://cdna.pcpartpicker.com/static/forever/images/product/3c31f16f06425c0ab09612936614fdef.256p.jpg,ATX,80+ Gold,750 W,Full,Black,
Deepcool DQ850M-V3L,https://pcpartpicker.com/product/bYKscf/deepcool-dq850m-v3l-850-w-80-gold-certified-fully-modular-atx-power-supply-r-dq850m-fb0b-us,/static/forever/img/no-image.png,ATX,80+ Gold,850 W,Full,Black,
Enermax Revolution D.F. 12,https://pcpartpicker.com/product/yGgrxr/enermax-revolution-df-12-850-w-80-gold-certified-fully-modular-atx-power-supply-etv850g,/static/forever/img/no-image.png,ATX,80+ Gold,850 W,Full,Black,
FSP Group Hydro M Pro ATX3.0(PCIe5.0),https://pcpartpicker.com/product/WFkH99/fsp-group-hydro-m-pro-atx30pcie50-800-w-80-bronze-certified-semi-modular-atx-power-supply-hp2-800m,/static/forever/img/no-image.png,ATX,80+ Bronze,800 W,Semi,Black,
Thermalright TGFX650,https://pcpartpicker.com/product/2Q4Zxr/thermalright-tgfx650-650-w-80-gold-certified-fully-modular-sfx-power-supply-tgfx650,/static/forever/img/no-image.png,SFX,80+ Gold,650 W,Full,Black,
Cooler Master G Gold 650 V2,https://pcpartpicker.com/product/yX4Zxr/cooler-master-g-gold-650-v2-650-w-80-gold-certified-atx-power-supply-mpe-6502-acaag-us,https://cdna.pcpartpicker.com/static/forever/images/product/a7b28983fa99ad4fbf5dc235dcae5960.256p.jpg,ATX,80+ Gold,650 W,No,Black,
Chieftec PowerPlay Gold,https://pcpartpicker.com/product/D9TFf7/chieftec-powerplay-gold-650-w-80-gold-certified-fully-modular-atx-power-supply-gpu-650fc,https://cdna.pcpartpicker.com/static/forever/images/product/f70fbf3880ecb15547701cc277380e06.256p.jpg,ATX,80+ Gold,650 W,Full,Black / Red,
Inter-Tech Argus RGB II,https://pcpartpicker.com/product/vwgZxr/inter-tech-argus-rgb-ii-700-w-80-bronze-certified-atx-power-supply-88882173,https://m.media-amazon.com/images/I/41e4M64IRTS.jpg,ATX,80+ Bronze,700 W,No,Black,
PC Cooler YN1000,https://pcpartpicker.com/product/sjbypg/pc-cooler-yn1000-1000-w-80-gold-certified-fully-modular-atx-power-supply-p5-yn1000-g1ffbk1-us,/static/forever/img/no-image.png,ATX,80+ Gold,1000 W,Full,Black,
RAIJINTEK CRATOS,https://pcpartpicker.com/product/wpJp99/raijintek-cratos-1200-w-80-gold-certified-fully-modular-atx-power-supply-0r30b00004,https://cdna.pcpartpicker.com/static/forever/images/product/34ebb229f60c43f47d7435ac52bc54e7.256p.jpg,ATX,80+ Gold,1200 W,Full,White,
Athena Power AP-MFATX50P8,https://pcpartpicker.com/product/hGX2FT/athena-power-ap-mfatx50p8-500-w-80-silver-certified-flex-atx-power-supply-ap-mfatx50p8,https://cdna.pcpartpicker.com/static/forever/images/product/6e32ea57dbfc49c3ef14ab47a76765f7.256p.jpg,Flex ATX,80+ Silver,500 W,No,Silver,171.00
Super Flower Leadex Platinum,https://pcpartpicker.com/product/mW4Ycf/super-flower-leadex-platinum-850-w-80-platinum-certified-fully-modular-atx-power-supply-sf-850f14mp,https://cdna.pcpartpicker.com/static/forever/images/product/b9ba733ed4f2f7498e57563c1fa7de1f.256p.jpg,ATX,80+ Platinum,850 W,Full,Black,
GameMax GX Pro Rampage,https://pcpartpicker.com/product/XrmNnQ/gamemax-gx-pro-rampage-1250-w-80-platinum-certified-fully-modular-atx-power-supply-gx-1250-pro-wt,/static/forever/img/no-image.png,ATX,80+ Platinum,1250 W,Full,White,
Zalman TXIIv2,https://pcpartpicker.com/product/fyDQzy/zalman-txiiv2-700-w-80-certified-atx-power-supply-zm700-txiiv2,https://m.media-amazon.com/images/I/51Y-z2DmjcL.jpg,ATX,80+,700 W,No,Black,
SeaSonic PRIME PX,https://pcpartpicker.com/product/ZrTzK8/seasonic-prime-px-750-w-80-platinum-certified-fully-modular-atx-power-supply-prime-px-750,https://cdna.pcpartpicker.com/static/forever/images/product/58e6050c5e5d04efcef185e17763df4c.256p.jpg,ATX,80+ Platinum,750 W,Full,Black / Silver,
Cooler Master GX III GOLD,https://pcpartpicker.com/product/GTFmP6/cooler-master-gx-iii-gold-650-w-80-gold-certified-fully-modular-atx-power-supply-mpx-6503-afag,https://m.media-amazon.com/images/I/41HYwATn-VL.jpg,ATX,80+ Gold,650 W,Full,Black / Purple,
Chieftec ATMOS,https://pcpartpicker.com/product/zR6NnQ/chieftec-atmos-750-w-80-gold-certified-fully-modular-atx-power-supply-cpx-750fc,https://cdna.pcpartpicker.com/static/forever/images/product/25b431e9126603cfc7f85735002703a6.256p.jpg,ATX,80+ Gold,750 W,Full,Black,232.95
SHARKOON Rebel P30 Gold,https://pcpartpicker.com/product/nD9wrH/sharkoon-rebel-p30-gold-1000-w-80-gold-certified-fully-modular-atx-power-supply-rebel-p30-gold-white-1000-w,https://m.media-amazon.com/images/I/51D6N+NOMvL.jpg,ATX,80+ Gold,1000 W,Full,White,
Silverstone Strider,https://pcpartpicker.com/product/BpsKHx/silverstone-power-supply-st75fp,https://m.media-amazon.com/images/I/41HAv4B7ULL.jpg,ATX,80+ Silver,750 W,Full,,
Zalman ZM600-ST,https://pcpartpicker.com/product/jDH323/zalman-zm600-st-600-w-80-certified-atx-power-supply-zm600-st,https://images-na.ssl-images-amazon.com/images/I/51CHAKPM68L.jpg,ATX,80+,600 W,No,,
SeaSonic X,https://pcpartpicker.com/product/JQbp99/seasonic-power-supply-x850,https://images-fe.ssl-images-amazon.com/images/I/51HZe4AGxfL.jpg,ATX,80+ Gold,850 W,Full,,
Corsair G700,https://pcpartpicker.com/product/9KtCmG/corsair-g700-700-w-80-certified-atx-power-supply-cmpsu-700g,https://images-na.ssl-images-amazon.com/images/I/51v87hhhEML.jpg,ATX,80+,700 W,No,,
Rosewill HIVE,https://pcpartpicker.com/product/t3TmP6/rosewill-power-supply-hive650,https://m.media-amazon.com/images/I/41VtXPLB9SL.jpg,ATX,80+ Bronze,650 W,Semi,,
Thermaltake Smart,https://pcpartpicker.com/product/xDW9TW/thermaltake-smart-630-w-80-certified-atx-power-supply-sp-630p,https://m.media-amazon.com/images/I/51BWpOhECZL.jpg,ATX,80+,630 W,No,,
Silverstone Strider,https://pcpartpicker.com/product/NkYXsY/silverstone-power-supply-st55fg,https://m.media-amazon.com/images/I/51QrX9Q1C5L.jpg,ATX,80+ Gold,550 W,Full,,
Thermaltake Smart,https://pcpartpicker.com/product/694gXL/thermaltake-smart-550-w-80-bronze-certified-atx-power-supply-sp-550pcbus,https://m.media-amazon.com/images/I/514807EBEOL.jpg,ATX,80+ Bronze,550 W,No,,
Cooler Master B500,https://pcpartpicker.com/product/9QFPxr/cooler-master-power-supply-rs500acabm3,/static/forever/img/no-image.png,ATX,,500 W,No,,
be quiet! Pure Power L8,https://pcpartpicker.com/product/cRjG3C/be-quiet-pure-power-l8-600-w-80-bronze-certified-atx-power-supply-bn624,https://cdna.pcpartpicker.com/static/forever/images/product/febb3a04436b86b12ab18b8ef4ebfef5.256p.jpg,ATX,80+ Bronze,600 W,No,,
SeaSonic S12II,https://pcpartpicker.com/product/zTdqqs/seasonic-power-supply-ss750am2,https://m.media-amazon.com/images/I/51t9GKy+KcL.jpg,ATX,80+ Bronze,750 W,Full,,
Silverstone Strider,https://pcpartpicker.com/product/NH98TW/silverstone-power-supply-st1500gs,https://m.media-amazon.com/images/I/41MCW76Rg0L.jpg,ATX,80+ Gold,1500 W,Full,,
Antec EDGE,https://pcpartpicker.com/product/wLkwrH/antec-power-supply-edge650,https://cdna.pcpartpicker.com/static/forever/images/product/d77de027bac8fa00477927531c993332.256p.jpg,ATX,80+ Gold,650 W,Full,,
be quiet! Straight Power 10,https://pcpartpicker.com/product/KdmxFT/be-quiet-power-supply-bn231,https://cdna.pcpartpicker.com/static/forever/images/product/2488a530ab10a5faabf9346042c6e5dc.256p.jpg,ATX,80+ Gold,500 W,No,,
be quiet! Straight Power 10 CM,https://pcpartpicker.com/product/RhgPxr/be-quiet-power-supply-bn235,https://cdna.pcpartpicker.com/static/forever/images/product/2399e419ce40483a41406c7582d40574.256p.jpg,ATX,80+ Gold,600 W,Semi,,
Cooler Master V550,https://pcpartpicker.com/product/9Gqbt6/cooler-master-power-supply-rs550afbag1us,https://m.media-amazon.com/images/I/519SNUCUZVL.jpg,ATX,80+ Gold,550 W,Full,,
EVGA 700 B1,https://pcpartpicker.com/product/9htWGX/evga-700-b1-700-w-80-bronze-certified-atx-power-supply-100-b1-0700-k1,https://cdna.pcpartpicker.com/static/forever/images/product/ee1d04cfb2958783357ccceb23c554d1.256p.jpg,ATX,80+ Bronze,700 W,No,,
XFX XT,https://pcpartpicker.com/product/fntWGX/xfx-xt-600-w-80-bronze-certified-atx-power-supply-p1-600b-xtfr,https://cdna.pcpartpicker.com/static/forever/images/product/117eefbf7ffbc8d700debcd44da36227.256p.jpg,ATX,80+ Bronze,600 W,No,,
EVGA 450 B1,https://pcpartpicker.com/product/MfvZxr/evga-450-b1-450-w-80-bronze-certified-atx-power-supply-100-b1-0450-k1,https://m.media-amazon.com/images/I/51OYPRzd8RL.jpg,ATX,80+ Bronze,450 W,No,,
SeaSonic PRIME Titanium,https://pcpartpicker.com/product/74M323/seasonic-prime-850w-80-titanium-certified-fully-modular-atx-power-supply-ssr-850td,https://cdna.pcpartpicker.com/static/forever/images/product/e5465a1746375a67b3573cef50c3ab07.256p.jpg,ATX,80+ Titanium,850 W,Full,,
BitFenix Whisper M,https://pcpartpicker.com/product/DQx9TW/bitfenix-whisper-m-650w-80-gold-certified-fully-modular-atx-power-supply-bp-wg650umag-7fm,https://cdna.pcpartpicker.com/static/forever/images/product/1cab6f69972391a130fe7fe00228e347.256p.jpg,ATX,80+ Gold,650 W,Full,,
Cooler Master 500W MasterWatt Lite 230V,https://pcpartpicker.com/product/K7QRsY/cooler-master-masterwatt-lite-230v-500w-80-certified-atx-power-supply-mpx-5001-acabw,https://cdna.pcpartpicker.com/static/forever/images/product/367c46831c3a551d52a9096a3e1e6436.256p.jpg,ATX,80+,500 W,No,,
SeaSonic FOCUS Plus Platinum,https://pcpartpicker.com/product/sYyxFT/seasonic-focus-plus-platinum-550w-80-platinum-certified-fully-modular-atx-power-supply-ssr-550px,https://cdna.pcpartpicker.com/static/forever/images/product/fef7512dace78a5d11d0fea87eb8a7d6.256p.jpg,ATX,80+ Platinum,550 W,Full,,
SeaSonic PRIME SNOWSILENT,https://pcpartpicker.com/product/yJgzK8/seasonic-prime-snowsilent-650w-80-platinum-certified-fully-modular-atx-power-supply-ssr-650pd2-snowsilent,https://cdna.pcpartpicker.com/static/forever/images/product/9de36571ecdd6311d59fdc348be169f6.256p.jpg,ATX,80+ Platinum,650 W,Full,White,
Xilence XP700R6,https://pcpartpicker.com/product/LQL48d/xilence-xp700r6-700-w-atx-power-supply-xn046,https://m.media-amazon.com/images/I/41-Zj1nqRqL.jpg,ATX,,700 W,No,Black / Red,
Raidmax Thunder RGB,https://pcpartpicker.com/product/6FZFf7/raidmax-thunder-rgb-735w-80-bronze-certified-semi-modular-atx-power-supply-rx-735ap-r,https://cdna.pcpartpicker.com/static/forever/images/product/1101a9fc3c60b42da521c915dc8b0269.256p.jpg,ATX,80+ Bronze,735 W,Semi,Black,
Insignia NS-PCW5508,https://pcpartpicker.com/product/YF3H99/insignia-550-w-80-bronze-certified-atx-power-supply-ns-pcw5508,https://cdna.pcpartpicker.com/static/forever/images/product/105cd842b242f5d54b860055f9c02871.256p.jpg,ATX,80+ Bronze,550 W,No,Black,
