Name,URL,Image,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Price
Crucial P510,https://pcpartpicker.com/product/jhjv6h/crucial-p510-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct1000p510ssd8,https://cdna.pcpartpicker.com/static/forever/images/product/d54a12ece6338a1a71ecaa145f58f616.256p.jpg,1 TB,$0.213,SSD,,M.2-2280,M.2 PCIe 5.0 X4,212.90
Samsung 980 Pro,https://pcpartpicker.com/product/f3cRsY/samsung-980-pro-2-tb-m2-2280-nvme-solid-state-drive-mz-v8p2t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/3b2a91588d1a28bfa1b0184fb7f1c0a1.256p.jpg,2 TB,,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,
Patriot P400 Lite,https://pcpartpicker.com/product/Xy3NnQ/patriot-p400-lite-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-p400lp1kgm28h,https://m.media-amazon.com/images/I/31xsZ-NMDBL.jpg,1 TB,$0.132,SSD,,M.2-2280,M.2 PCIe 4.0 X4,131.99
Crucial BX500,https://pcpartpicker.com/product/LFZzK8/crucial-bx500-1-tb-25-solid-state-drive-ct1000bx500ssd1,https://cdna.pcpartpicker.com/static/forever/images/product/fff84afccbfab3054a5a88963c4bb271.256p.jpg,1 TB,$0.150,SSD,,"2.5""",SATA 6.0 Gb/s,149.99
Kingston NV3,https://pcpartpicker.com/product/gdBzK8/kingston-nv3-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv3s2000g,https://cdna.pcpartpicker.com/static/forever/images/product/4ad646899fef008aa00b6b74bf72e646.256p.jpg,2 TB,$0.167,SSD,,M.2-2280,M.2 PCIe 4.0 X4,334.45
Kingston FURY Renegade G5,https://pcpartpicker.com/product/3sgZxr/kingston-fury-renegade-g5-8-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sfyr2d8t1,https://cdna.pcpartpicker.com/static/forever/images/product/c8443eac545855ab2ef3b11814140054.256p.jpg,8 TB,$0.366,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2924.20
Intel D3-S4520,https://pcpartpicker.com/product/76xRsY/intel-d3-s4520-768-tb-25-solid-state-drive-ssdsc2kb076tz01,https://cdna.pcpartpicker.com/static/forever/images/product/f048f162c116c66e36ddefd9792cc6df.256p.jpg,7.68 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,
Western Digital AV-GP,https://pcpartpicker.com/product/NLZQzy/western-digital-internal-hard-drive-wd2500avcs,https://m.media-amazon.com/images/I/51yl2DEVzkL.jpg,250 GB,$0.076,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,18.98
Western Digital WD_Black SN850X,https://pcpartpicker.com/product/yBC48d/western-digital-wd_black-sn850x-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds400t2x0e,https://cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg,4 TB,$0.150,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,599.99
Patriot P400 Lite,https://pcpartpicker.com/product/v3vD4D/patriot-p400-lite-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-p400lp500gm28h,https://m.media-amazon.com/images/I/31xsZ-NMDBL.jpg,500 GB,$0.196,SSD,,M.2-2280,M.2 PCIe 4.0 X4,97.99
