Name,URL,Image,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Price
Crucial CT2CP6464AA667 1 GB,https://pcpartpicker.com/product/d8ckcf/crucial-memory-ct2cp6464aa667,https://m.media-amazon.com/images/I/41bhoORHCNL.jpg,DDR2-667,2 x 512MB,,Green,14.993 ns,5,
Samsung M378B5273EB0-CK0 4 GB,https://pcpartpicker.com/product/cWg323/samsung-memory-m378b5273eb0ck0,https://cdna.pcpartpicker.com/static/forever/images/product/dff9dcdcc856d2d372117600e0ed4cb8.med.256p.jpg,DDR3-1600,1 x 4GB,,Green,13.75 ns,11,
Kingston HyperX Fury 8 GB,https://pcpartpicker.com/product/ssR48d/kingston-memory-hx316c10frk28,https://cdna.pcpartpicker.com/static/forever/images/product/8145980461eceeb36aa2a5823b26e11d.256p.jpg,DDR3-1600,2 x 4GB,,Red / Silver,12.5 ns,10,
Corsair Vengeance Pro 32 GB,https://pcpartpicker.com/product/vs6BD3/corsair-memory-cmy32gx3m4a2800c12r,https://m.media-amazon.com/images/I/41-pzyTozaL.jpg,DDR3-2800,4 x 8GB,,Black / Red,8.571 ns,12,
Corsair Vengeance LPX 32 GB,https://pcpartpicker.com/product/kbvZxr/corsair-memory-cmk32gx4m4a2133c13,https://cdna.pcpartpicker.com/static/forever/images/product/3ec83440ca7d449726585b4d8a696969.256p.jpg,DDR4-2133,4 x 8GB,,Black,14.065 ns,15,
TEAMGROUP T-Force Delta RGB 8 GB,https://pcpartpicker.com/product/dVYLrH/team-t-force-delta-rgb-8gb-2-x-4gb-ddr4-3000-memory-tf3d48g3000hc16cdc01,https://cdna.pcpartpicker.com/static/forever/images/product/9531bc8a9791fa338f78c722395d571d.256p.jpg,DDR4-3000,2 x 4GB,,Black,10.667 ns,16,
G.Skill Ripjaws V 32 GB,https://pcpartpicker.com/product/TvDJ7P/gskill-ripjaws-v-32gb-4-x-8gb-ddr4-3600-memory-f4-3600c19q-32gvrb,https://cdna.pcpartpicker.com/static/forever/images/product/3edf3e6639ef8fd29f2429932d77851d.256p.jpg,DDR4-3600,4 x 8GB,,Red / Black,10.556 ns,19,
Corsair Vengeance RGB 128 GB,https://pcpartpicker.com/product/9HbwrH/corsair-vengeance-rgb-128gb-8-x-16gb-ddr4-3800-memory-cmr128gx4m8x3800c19,https://cdna.pcpartpicker.com/static/forever/images/product/78b25b1a014e729fde99d0b188bed3bc.256p.jpg,DDR4-3800,8 x 16GB,,Black,10 ns,19,
G.Skill Flare X 16 GB,https://pcpartpicker.com/product/CsF48d/gskill-flare-x-16-gb-2-x-8-gb-ddr4-3200-memory-f4-3200c16d-16gfx,https://cdna.pcpartpicker.com/static/forever/images/product/7ce80ece7d6d14e6113e569324cc87fa.256p.jpg,DDR4-3200,2 x 8GB,,Black,10 ns,16,
Corsair Vengeance RGB Pro 16 GB,https://pcpartpicker.com/product/VG97YJ/corsair-vengeance-rgb-pro-16-gb-2-x-8-gb-ddr4-3600-memory-cmw16gx4m2k3600c16,https://cdna.pcpartpicker.com/static/forever/images/product/789eaba745830067a2d590da06efb2c8.256p.jpg,DDR4-3600,2 x 8GB,,Black,8.889 ns,16,
Gigabyte GP-GR26C16S8K2HU416 16 GB,https://pcpartpicker.com/product/9GF48d/gigabyte-16-gb-2-x-8-gb-ddr4-2666-memory-gp-gr26c16s8k2hu416,https://cdna.pcpartpicker.com/static/forever/images/product/0c9c8d669fa4e4b1dcc0fc47a32821f9.256p.jpg,DDR4-2666,2 x 8GB,,Black / White,12.003 ns,16,
TEAMGROUP T-Force Vulcan Z 16 GB,https://pcpartpicker.com/product/PgDJ7P/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3000-memory-tlzrd416g3000hc16cdc01,https://cdna.pcpartpicker.com/static/forever/images/product/1ae3e6b20edd1010cea93710147c4885.256p.jpg,DDR4-3000,2 x 8GB,,Red / Black,10.667 ns,16,
Mushkin Redline 64 GB,https://pcpartpicker.com/product/wWFbt6/mushkin-redline-64-gb-2-x-32-gb-ddr4-3600-cl14-memory-mrd4u360ekkt32gx2,https://cdna.pcpartpicker.com/static/forever/images/product/210544cebfb5748fdcf0ffc076973c46.256p.jpg,DDR4-3600,2 x 32GB,,White,7.778 ns,14,
Acer Predator Hermes RGB 64 GB,https://pcpartpicker.com/product/7dQKHx/acer-predator-hermes-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-bl9bwwr423,https://cdna.pcpartpicker.com/static/forever/images/product/c8442dba16c40ff62c5b2cc32aae31f0.256p.jpg,DDR5-6400,2 x 32GB,,White,10 ns,32,
ADATA XPG LANCER RGB ROG CERTIFIED 32 GB,https://pcpartpicker.com/product/88NYcf/adata-xpg-lancer-rgb-rog-certified-32-gb-2-x-16-gb-ddr5-6600-cl32-memory-ax5u6600c3216g-dclarrog,https://m.media-amazon.com/images/I/41RKFHyVuyL.jpg,DDR5-6600,2 x 16GB,,Black,9.697 ns,32,
PNY XLR8 Gaming RGB 32 GB,https://pcpartpicker.com/product/hb4Zxr/pny-xlr8-gaming-rgb-32-gb-2-x-16-gb-ddr5-6400-cl36-memory-md32gk2d5640036xrgb,https://cdna.pcpartpicker.com/static/forever/images/product/b751bf6e39d337844fd363b895f21be8.256p.jpg,DDR5-6400,2 x 16GB,$12.850,Black,11.25 ns,36,411.20
Klevv CRAS V RGB 64 GB,https://pcpartpicker.com/product/G9qrxr/klevv-cras-v-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-kd5bgua80-64a320g,https://cdna.pcpartpicker.com/static/forever/images/product/dbae3f388d603781a10b5e4c7ff017b5.256p.jpg,DDR5-6400,2 x 32GB,,Black,10 ns,32,
G.Skill Trident Z5 Neo RGB 64 GB,https://pcpartpicker.com/product/zgtkcf/gskill-trident-z5-neo-rgb-64-gb-2-x-32-gb-ddr5-6000-cl26-memory-f5-6000j2636g32gx2-tz5nrw,https://cdna.pcpartpicker.com/static/forever/images/product/e41f94ffbd64a6d105c6d8a933ede56e.256p.jpg,DDR5-6000,2 x 32GB,,Black / Silver,8.667 ns,26,
