Name,URL,Image,Type,Color,Power Supply,Side Panel,External Volume,"Internal 3.5"" Bays",Price
NZXT H6 Flow,https://pcpartpicker.com/product/8QMMnQ/nzxt-h6-flow-atx-mid-tower-case-cc-h61fw-01,https://cdna.pcpartpicker.com/static/forever/images/product/f0363dfe4d946330b9b5f65a3b38722f.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,51.8 L,1,99.97
Montech AIR 100 ARGB,https://pcpartpicker.com/product/M7Z9TW/montech-air-100-argb-microatx-mid-tower-case-air-100-argb-black,https://cdna.pcpartpicker.com/static/forever/images/product/24adca630b5c708e106099fc958825a1.256p.jpg,MicroATX Mid Tower,Black,None,Tempered Glass,36.1 L,2,69.90
Montech XR,https://pcpartpicker.com/product/nhbRsY/montech-xr-atx-mid-tower-case-xr-w,https://m.media-amazon.com/images/I/41p+1HCX2BL.jpg,ATX Mid Tower,White,None,Tempered Glass,45.0 L,2,71.98
Jonsbo D32 PRO,https://pcpartpicker.com/product/VL2j4D/jonsbo-d32-pro-microatx-desktop-case-d32-pro-black,https://cdna.pcpartpicker.com/static/forever/images/product/e63f1c68694e1f9fbf7d71f48052a1fe.256p.jpg,MicroATX Desktop,Black,None,Tempered Glass,25.7 L,2,69.34
Fractal Design Meshify C,https://pcpartpicker.com/product/Y6Crxr/fractal-design-meshify-c-atx-mid-tower-case-fd-ca-mesh-c-bko-tg,https://cdna.pcpartpicker.com/static/forever/images/product/5e077c6b1272ca2c11e4f7df6326370a.256p.jpg,ATX Mid Tower,Black,None,Tinted Tempered Glass,40.6 L,2,109.99
Lian Li LANCOOL 216 RGB,https://pcpartpicker.com/product/KKytt6/lian-li-lancool-216-rgb-atx-mid-tower-case-lancool-216rx,https://cdna.pcpartpicker.com/static/forever/images/product/372a584cebeca5f57266bf0f07e6831c.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,55.6 L,2,102.99
Cooler Master MasterBox NR200,https://pcpartpicker.com/product/kd2bt6/cooler-master-masterbox-nr200-mini-itx-desktop-case-mcb-nr200-knnn-s00,https://cdna.pcpartpicker.com/static/forever/images/product/d31150b26d756cc5e2221e63f264e8d6.256p.jpg,Mini ITX Desktop,Black,None,None,20.3 L,2,83.99
Lian Li Vector V100,https://pcpartpicker.com/product/bBG2FT/lian-li-v100-atx-mid-tower-case-v100x,https://m.media-amazon.com/images/I/41TWDuyRjcL.jpg,ATX Mid Tower,Black,None,Tempered Glass,53.2 L,1,59.99
Lian Li O11D EVO RGB,https://pcpartpicker.com/product/Ksgrxr/lian-li-o11d-evo-rgb-atx-mid-tower-case-o11dergbw,https://cdna.pcpartpicker.com/static/forever/images/product/91cbef8ecb9206268c9c7e78461e4262.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,65.3 L,4,168.99
Lian Li O11 Dynamic EVO XL,https://pcpartpicker.com/product/zqNYcf/lian-li-o11-dynamic-evo-xl-atx-full-tower-case-o11dexl-w,https://cdna.pcpartpicker.com/static/forever/images/product/dfc47937e6bd43628ec6ed2034d2e0ab.256p.jpg,ATX Full Tower,White,None,Tempered Glass,84.4 L,4,249.99
