Name,URL,Image,Style,Switch Type,Backlit,Tenkeyless,Connection Type,Color,Price
be quiet! Light Mount,https://pcpartpicker.com/product/y98Pxr/be-quiet-light-mount-rgb-wired-gaming-keyboard-bt003us,https://cdna.pcpartpicker.com/static/forever/images/product/8dba829d1d7698525ee64b768bda8301.256p.jpg,Gaming,be quiet! Silent Orange Linear,RGB,No,Wired,Black,137.90
Logitech K845,https://pcpartpicker.com/product/KccG3C/logitech-k845-wired-standard-keyboard-920009862,https://cdna.pcpartpicker.com/static/forever/images/product/1614e4890dc337c95b480fcd82c4bc7d.256p.jpg,Standard,TTC Brown,White,No,Wired,Black,65.98
Rii RK105,https://pcpartpicker.com/product/jC2WGX/rii-rk105-rgb-wired-gaming-keyboard-with-optical-mouse-rk105,/static/forever/img/no-image.png,Gaming,,RGB,No,Wired,Black,
Logitech G413 SE,https://pcpartpicker.com/product/xdZ9TW/logitech-g413-se-wired-gaming-keyboard-920-010443,https://cdna.pcpartpicker.com/static/forever/images/product/5f220386aac7c038abea5bb04623fa6c.256p.jpg,Gaming,Kailh LT Brown,White,Yes,Wired,Black,
HYTE KEEB TKL,https://pcpartpicker.com/product/cVNYcf/hyte-keeb-tkl-rgb-wired-gaming-keyboard-keeb-tkl,https://cdna.pcpartpicker.com/static/forever/images/product/3c05c3999ed503592bfb1b88875f3073.256p.jpg,Gaming,HYTE Fluffy Lavender Linear,RGB,Yes,Wired,Black / Clear,199.99
Razer BlackWidow V3 Mini HyperSpeed,https://pcpartpicker.com/product/M2kWGX/razer-blackwidow-v3-mini-hyperspeed-rgb-wireless-gaming-keyboard-rz03-03890200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/862e8b36165056886768475f661de972.256p.jpg,Gaming,Razer Yellow,RGB,Yes,Wireless,Black,107.99
SteelSeries Apex 3,https://pcpartpicker.com/product/LMQKHx/steelseries-apex-3-rgb-wired-gaming-keyboard-64832,https://cdna.pcpartpicker.com/static/forever/images/product/35a6565a01251334f8cecca1f8bb016c.256p.jpg,Gaming,,RGB,Yes,Wired,Black,
NZXT KB-101NB-US,https://pcpartpicker.com/product/Bwzp99/nzxt-kb-101nb-us-rgb-wired-gaming-keyboard-kb-101nb-us,https://cdna.pcpartpicker.com/static/forever/images/product/356defe6495c333d0376426b377b9cfa.256p.jpg,Gaming,,RGB,Yes,Wired,Black,75.98
Logitech K780,https://pcpartpicker.com/product/WtcMnQ/logitech-k780-wireless-slim-keyboard-920-008149,https://cdna.pcpartpicker.com/static/forever/images/product/9f04960792757a156d0e0713d9494132.256p.jpg,Slim,,None,No,Wireless,Black,61.99
Corsair K63 (MX Red w/Blue LED),https://pcpartpicker.com/product/HFZFf7/corsair-k63-wireless-gaming-keyboard-ch-9145030-na,https://m.media-amazon.com/images/I/41BgHky+IJL.jpg,Gaming,Cherry MX Red,Blue,Yes,Wireless,,
