Name,URL,Image,Tracking Method,Connection Type,Maximum DPI,Hand Orientation,Color,Price
Logitech M317c Dark Fleur,https://pcpartpicker.com/product/ZxFKHx/logitech-m317c-dark-fleur-wireless-optical-mouse-910-005436,https://cdna.pcpartpicker.com/static/forever/images/product/6461ed584ecd36778b428c08364f70e1.256p.jpg,Optical,Wireless,1000,Both,White / Black,
Patriot Viper 550,https://pcpartpicker.com/product/b29tt6/patriot-viper-550-wired-optical-mouse-pv550ouxk,https://cdna.pcpartpicker.com/static/forever/images/product/70ee21f1b8dfa93e08bc6a0eac2b0865.256p.jpg,Optical,Wired,10000,Both,Black,
Patriot Viper 551,https://pcpartpicker.com/product/WcYQzy/patriot-viper-551-wired-optical-mouse-pv551ouxk,https://cdna.pcpartpicker.com/static/forever/images/product/19ea485d3583c55cae5e40d2a0642917.256p.jpg,Optical,Wired,10000,Both,Black,39.99
Logitech M325c Forest Floral,https://pcpartpicker.com/product/cRkgXL/logitech-m325c-forest-floral-wireless-optical-mouse-910-005657,https://cdna.pcpartpicker.com/static/forever/images/product/2f71ea640eeea12c78b06f3789f6811b.256p.jpg,Optical,Wireless,1000,Both,Blue / Black,
Logitech M325c Himalayan Fern,https://pcpartpicker.com/product/sn7p99/logitech-m325c-himalayan-fern-wireless-optical-mouse-910-005658,https://cdna.pcpartpicker.com/static/forever/images/product/50477d82a57ae3d1814e11399cabe282.256p.jpg,Optical,Wireless,1000,Both,Silver / Black,14.99
Logitech M325c Urban Grey,https://pcpartpicker.com/product/yq3mP6/logitech-m325c-urban-grey-wireless-optical-mouse-910-005661,https://cdna.pcpartpicker.com/static/forever/images/product/b42123d80a464e4dfa0a688d00158f8a.256p.jpg,Optical,Wireless,1000,Both,Gray / White,
Logitech M325c Blue Camo,https://pcpartpicker.com/product/drVG3C/logitech-m325c-blue-camo-wireless-optical-mouse-910-005662,https://cdna.pcpartpicker.com/static/forever/images/product/eb26c04606102537d01ee34629c44c10.256p.jpg,Optical,Wireless,1000,Both,Blue / Black,
Logitech M325c Summer Bouquet,https://pcpartpicker.com/product/nx6qqs/logitech-m325c-summer-bouquet-wireless-optical-mouse-910-005656,https://cdna.pcpartpicker.com/static/forever/images/product/dc7c80d31b46f5526e581a5fe89d4fc1.256p.jpg,Optical,Wireless,1000,Both,White / Pink,
Logitech M325c Urban Sunset,https://pcpartpicker.com/product/NdmFf7/logitech-m325c-urban-sunset-wireless-optical-mouse-910-005659,https://cdna.pcpartpicker.com/static/forever/images/product/c7ab40c1d7680e2d7ffc1f876944e1d6.256p.jpg,Optical,Wireless,1000,Both,Orange / Red,
Acer  AMR513,https://pcpartpicker.com/product/yDYLrH/acer-amr513-wireless-optical-mouse-npmce1a00a,https://cdna.pcpartpicker.com/static/forever/images/product/5b951feda55fc42779437aa0a1cb6d1c.256p.jpg,Optical,Wireless,1000,Both,Red / Black,
