Name,URL,Image,Configuration,Total Wattage,Frequency Response,Color,Price
Razer Nommo V2 X,https://pcpartpicker.com/product/Pyqrxr/razer-nommo-v2-x-speakers-rz05-04760100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/b8f35adc5a2ea8af454273be360d3471.256p.jpg,2.0,,75 Hz - 20 kHz,Black,149.99
Audioengine A5+ White,https://pcpartpicker.com/product/wHXfrH/audioengine-a5-white-150-w-speakers-a5plus-white,https://cdna.pcpartpicker.com/static/forever/images/product/cd6dffc1ab782add61c19545addfe06d.256p.jpg,2.0,150 W,50 Hz - 22 kHz,White,399.00
Bose Companion 2 Series III,https://pcpartpicker.com/product/267wrH/bose-speakers-3544951100,https://cdna.pcpartpicker.com/static/forever/images/product/70df7ebc95e71812189987cff42ab4e6.256p.jpg,2.0,,,,
NZXT Relay,https://pcpartpicker.com/product/gzZXsY/nzxt-relay-80-w-speakers-ap-spkb2-us,https://m.media-amazon.com/images/I/31qOwQyE0-L.jpg,2.0,80 W,70 Hz - 20 kHz,Black,213.49
Edifier R980T,https://pcpartpicker.com/product/v4NxFT/edifier-r980t-24-w-20-channel-speakers-r980t,https://cdna.pcpartpicker.com/static/forever/images/product/e78aa7b2daf00a2257f164fcf916d598.256p.jpg,2.0,24 W,70 Hz - 20 kHz,Black,99.99
AmazonBasics V620,https://pcpartpicker.com/product/gcjRsY/amazonbasics-v620-24-w-speakers-v620black,https://m.media-amazon.com/images/I/410rFQDJ67L.jpg,2.0,2.4 W,80 Hz - 20 kHz,Black,
Yamaha HS5 W,https://pcpartpicker.com/product/v7PKHx/yamaha-hs5-w-70w-1ch-speakers-hs5-w,https://cdna.pcpartpicker.com/static/forever/images/product/bb30b09a829490cc46ee55a5df662c45.256p.jpg,1.0,70 W,54 Hz - 30 kHz,,154.19
SteelSeries Arena 7 US,https://pcpartpicker.com/product/cCBG3C/steelseries-arena-7-us-21-channel-speakers-61541,https://cdna.pcpartpicker.com/static/forever/images/product/64559af8a7e8f6b7860b2343adf45bcc.256p.jpg,2.1,,35 Hz - 20 kHz,Black,299.00
Creative Labs Sound Blaster GS5 RGB Soundbar,https://pcpartpicker.com/product/vDwD4D/creative-labs-sound-blaster-gs5-rgb-soundbar-60-w-speakers-mf8470,https://m.media-amazon.com/images/I/21n75KNBDHL.jpg,2.0,60 W,65 Hz - 20 kHz,Black,89.98
Creative Labs Sound Blaster Katana V2X,https://pcpartpicker.com/product/TRsV3C/creative-labs-sound-blaster-katana-v2x-90-w-21-channel-speakers-51mf8400aa000,https://m.media-amazon.com/images/I/21PlZaOsOeL.jpg,2.1,90 W,50 Hz - 20 kHz,Black,244.99
