Name,URL,Image,Type,Frequency Response,Microphone,Wireless,Enclosure Type,Color,Price
Sony MDRAS200O,https://pcpartpicker.com/product/dmbp99/sony-headphones-mdras200o,/static/forever/img/no-image.png,Earbud,17 Hz - 22 kHz,No,No,Closed,Black / Orange,
Sony MDRAS200PK,https://pcpartpicker.com/product/cqGkcf/sony-headphones-mdras200pk,/static/forever/img/no-image.png,Earbud,17 Hz - 22 kHz,No,No,Closed,Pink / Black,
Sony MDRAS200W,https://pcpartpicker.com/product/CLMFf7/sony-headphones-mdras200w,/static/forever/img/no-image.png,Earbud,17 Hz - 22 kHz,No,No,Closed,White,
Sony MDRAS20J/WHI,https://pcpartpicker.com/product/xTGkcf/sony-headphones-mdras20jwhi,https://images-na.ssl-images-amazon.com/images/I/31VOS962ifL.jpg,Earbud,,No,No,Closed,White,
Sony MDR-XB500,https://pcpartpicker.com/product/h2h9TW/sony-headphones-mdrxb500,https://m.media-amazon.com/images/I/41cOkND+T+L.jpg,Supra-aural,4 Hz - 24 kHz,No,No,Closed,Black / Silver,
Sony MDRAS30G,https://pcpartpicker.com/product/4wLypg/sony-headphones-mdras30g,https://m.media-amazon.com/images/I/41qhOCIIkLL.jpg,Supra-aural,14 Hz - 23 kHz,No,No,Closed,Black / Silver,
Sony MDRAS35W,https://pcpartpicker.com/product/tDPfrH/sony-headphones-mdras35w,https://m.media-amazon.com/images/I/31bLikw2iML.jpg,In Ear,18 Hz - 22 kHz,No,No,Closed,Black / Silver,
Sony MDRDS6500,https://pcpartpicker.com/product/XPPfrH/sony-headphones-mdrds6500,https://m.media-amazon.com/images/I/31--WpzvziL.jpg,Circumaural,12 Hz - 22 kHz,No,Yes,Closed,Black / Silver,
Sony MDR-ED12LP/RED,https://pcpartpicker.com/product/Wy6BD3/sony-headphones-mdred12lpred,https://m.media-amazon.com/images/I/41ZaE6vZMNL.jpg,In Ear,8 Hz - 22 kHz,No,No,Closed,Black / Red,
Sony MDREX37B/BLU,https://pcpartpicker.com/product/zWg323/sony-headphones-mdrex37bblu,/static/forever/img/no-image.png,Earbud,6 Hz - 23 kHz,No,No,Closed,Black / Blue,
Sony MDREX37B/RED,https://pcpartpicker.com/product/B4H323/sony-headphones-mdrex37bred,/static/forever/img/no-image.png,Earbud,6 Hz - 23 kHz,No,No,Closed,Black / Blue,
Sony MDR-G45LP,https://pcpartpicker.com/product/t4H323/sony-headphones-mdrg45lp,https://cdna.pcpartpicker.com/static/forever/images/product/bed03ec980ae79c8cac0358ecc20f2ab.256p.jpg,Supra-aural,16 Hz - 20 kHz,No,No,Closed,Black,
Sony MDRJ10/WHITE,https://pcpartpicker.com/product/pzJwrH/sony-headphones-mdrj10white,https://m.media-amazon.com/images/I/41WKi1Vwk5L.jpg,Earbud,20 Hz - 20 kHz,No,No,Closed,White,
Sony MDR-J10/BLACK,https://pcpartpicker.com/product/wy6BD3/sony-headphones-mdrj10black,/static/forever/img/no-image.png,Earbud,20 Hz - 20 kHz,No,No,Closed,Black,
Sony MDRMA100,https://pcpartpicker.com/product/smXfrH/sony-headphones-mdrma100,https://m.media-amazon.com/images/I/41PD+m4rWzL.jpg,Supra-aural,12 Hz - 22 kHz,No,No,Closed,Black,
Sony MDRMA900,https://pcpartpicker.com/product/RwLypg/sony-headphones-mdrma900,https://m.media-amazon.com/images/I/31a7XW--fbL.jpg,Circumaural,5 Hz - 40 kHz,No,No,Open,Black,
Sony MDRNC200D,https://pcpartpicker.com/product/wqCwrH/sony-headphones-mdrnc200d,https://m.media-amazon.com/images/I/31WEg4QLu0L.jpg,Supra-aural,8 Hz - 23 kHz,No,No,Closed,Black,
Sony MDRNC40,https://pcpartpicker.com/product/qPw323/sony-headphones-mdrnc40,https://m.media-amazon.com/images/I/41NKs9yMrJL.jpg,Supra-aural,14 Hz - 22 kHz,No,No,Closed,Black,
Sony MDRNC8/BLK,https://pcpartpicker.com/product/TWNp99/sony-headphones-mdrnc8blk,/static/forever/img/no-image.png,Supra-aural,30 Hz - 20 kHz,No,No,Closed,Black,
Sony MDRV55BR,https://pcpartpicker.com/product/jRrG3C/sony-headphones-mdrv55br,/static/forever/img/no-image.png,Circumaural,5 Hz - 25 kHz,No,No,Closed,Black / Red,
Sony MDRX05BS,https://pcpartpicker.com/product/nWH323/sony-headphones-mdrx05bs,https://m.media-amazon.com/images/I/41QiQLxrsvL.jpg,Supra-aural,4 Hz - 24 kHz,No,No,Closed,Black / Silver,
Sony MDRX05RS,https://pcpartpicker.com/product/fJh9TW/sony-headphones-mdrx05rs,https://m.media-amazon.com/images/I/41Kd4pMFG1L.jpg,Supra-aural,4 Hz - 24 kHz,No,No,Closed,Red / Silver,
Sony MDRX10BLK,https://pcpartpicker.com/product/V8phP6/sony-headphones-mdrx10blk,https://m.media-amazon.com/images/I/41RQADxnNNL.jpg,Supra-aural,3 Hz - 29 kHz,No,No,Closed,Black / Silver,
Sony MDRXB400IP,https://pcpartpicker.com/product/BhV48d/sony-headphones-mdrxb400ip,/static/forever/img/no-image.png,Supra-aural,5 Hz - 22 kHz,No,No,Closed,Black / Blue,
Sony MDR-XB600,https://pcpartpicker.com/product/M3h9TW/sony-headphones-mdrxb600,https://m.media-amazon.com/images/I/416ar4mhZjL.jpg,Supra-aural,4 Hz - 24 kHz,No,No,Closed,Brown / Black,
Sony MDR-XB800,https://pcpartpicker.com/product/fXK7YJ/sony-headphones-mdrxb800,/static/forever/img/no-image.png,Supra-aural,3 Hz - 28 kHz,No,No,Closed,Black / Silver,
Sony MDRZX100/WHI,https://pcpartpicker.com/product/Zj6BD3/sony-headphones-mdrzx100whi,https://cdna.pcpartpicker.com/static/forever/images/product/321b8d7d0753783377f5b30a92659c14.256p.jpg,Supra-aural,12 Hz - 22 kHz,No,No,Closed,White,
Sony MDRZX100BLU,https://pcpartpicker.com/product/qgV48d/sony-headphones-mdrzx100blu,https://m.media-amazon.com/images/I/31d+qtPiimL.jpg,Supra-aural,12 Hz - 22 kHz,No,No,Closed,Black / Blue,
Sony MDRZX100RD,https://pcpartpicker.com/product/gB2kcf/sony-headphones-mdrzx100rd,https://m.media-amazon.com/images/I/3119UHlH5ZL.jpg,Supra-aural,12 Hz - 22 kHz,No,No,Closed,Black / Red,
Sony MDRZX100RED,https://pcpartpicker.com/product/KRDwrH/sony-headphones-mdrzx100red,https://m.media-amazon.com/images/I/3119UHlH5ZL.jpg,Supra-aural,12 Hz - 22 kHz,No,No,Closed,Black / Red,
Sony MDRZX300/RED,https://pcpartpicker.com/product/Nsdqqs/sony-headphones-mdrzx300red,https://m.media-amazon.com/images/I/41aVVMGGSDL.jpg,Supra-aural,10 Hz - 24 kHz,No,No,Closed,Black / Red,
Sony MDRZX300APB,https://pcpartpicker.com/product/dgV48d/sony-headphones-mdrzx300apb,https://m.media-amazon.com/images/I/4168BCmOagL.jpg,Supra-aural,10 Hz - 24 kHz,No,No,Closed,Black,
Sony MDRZX300APL,https://pcpartpicker.com/product/XF7wrH/sony-headphones-mdrzx300apl,https://m.media-amazon.com/images/I/41N5E2xDnvL.jpg,Supra-aural,10 Hz - 24 kHz,No,No,Closed,Black / Blue,
Sony MDRZX300IPB,https://pcpartpicker.com/product/vmbp99/sony-headphones-mdrzx300ipb,https://m.media-amazon.com/images/I/41TP4oWM+NL.jpg,Supra-aural,10 Hz - 24 kHz,No,No,Closed,Black,
Sony MDRZX300IPW,https://pcpartpicker.com/product/Tb7wrH/sony-headphones-mdrzx300ipw,/static/forever/img/no-image.png,Supra-aural,10 Hz - 24 kHz,No,No,Closed,White,
Sony MDRZX300IPW,https://pcpartpicker.com/product/j2h9TW/sony-headphones-mdrzx300iw,/static/forever/img/no-image.png,Supra-aural,10 Hz - 24 kHz,No,No,Closed,White,
Sony MDRZX600/BLK,https://pcpartpicker.com/product/P7tCmG/sony-headphones-mdrzx600blk,https://m.media-amazon.com/images/I/31quQtU5JqL.jpg,Supra-aural,6 Hz - 25 kHz,No,No,Closed,Black / Red,
Sony MDRZX600/GRAY,https://pcpartpicker.com/product/dJJwrH/sony-headphones-mdrzx600gray,https://m.media-amazon.com/images/I/31jPLUEOK6L.jpg,Supra-aural,6 Hz - 25 kHz,No,No,Closed,Red / Silver,
Sony XBA-2,https://pcpartpicker.com/product/t94gXL/sony-headphones-xba2,/static/forever/img/no-image.png,In Ear,4 Hz - 25 kHz,No,No,Closed,Black / Silver,
Sony XBA1VP,https://pcpartpicker.com/product/zFQypg/sony-headphones-xba1vp,https://m.media-amazon.com/images/I/41Hsk2rh7xL.jpg,In Ear,5 Hz - 25 kHz,Yes,No,Closed,Black / Silver,
Sony XBA2VP,https://pcpartpicker.com/product/jNK7YJ/sony-headphones-xba2vp,https://images-fe.ssl-images-amazon.com/images/I/31I-S8CpKSL.jpg,In Ear,4 Hz - 25 kHz,Yes,No,Closed,Black / Silver,
Sony XBA3,https://pcpartpicker.com/product/8Z6BD3/sony-headphones-xba3,/static/forever/img/no-image.png,In Ear,4 Hz - 28 kHz,Yes,No,Closed,Black / Silver,
Sony XBA4,https://pcpartpicker.com/product/xfNp99/sony-headphones-xba4,/static/forever/img/no-image.png,In Ear,3 Hz - 28 kHz,No,No,Closed,Black / Silver,
Turtle Beach TBS- 5200-01,https://pcpartpicker.com/product/dF7wrH/turtle-beach-headphones-tbs520001,https://m.media-amazon.com/images/I/417-zQ5h3fL.jpg,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black,
Turtle Beach M3,https://pcpartpicker.com/product/jN8Zxr/turtle-beach-headphones-tbs510001,https://m.media-amazon.com/images/I/41Kb5lvSS2L.jpg,Supra-aural,30 Hz - 20 kHz,No,No,Closed,Black,
Coby CV-320,https://pcpartpicker.com/product/yBXfrH/coby-headphones-cv320,https://cdna.pcpartpicker.com/static/forever/images/product/d7819d6da9c8e513a7705ccf85687bb9.med.256p.jpg,Circumaural,,No,No,Closed,Silver / Black,
KRK KNS-6400,https://pcpartpicker.com/product/b6CwrH/krk-headphones-kns6400,https://m.media-amazon.com/images/I/31WJw1uhSIL.jpg,Circumaural,10 Hz - 22 kHz,No,No,Closed,Black,
Fostex T50RP,https://pcpartpicker.com/product/vPPfrH/fostex-headphones-t50rp,https://m.media-amazon.com/images/I/419ugBtTV4L.jpg,Circumaural,15 Hz - 35 kHz,No,No,Semi-open,Black,
M-Audio Studiophile Q40,https://pcpartpicker.com/product/n8phP6/m-audio-headphones-99005230800,https://cdna.pcpartpicker.com/static/forever/images/product/33e1514298e9d18bfca099cd001d5df6.med.256p.jpg,Circumaural,10 Hz - 20 kHz,No,No,Closed,Black,
Creative Labs 51EF0480AA002,https://pcpartpicker.com/product/ckV48d/creative-labs-headphones-51ef0480aa002,https://cdna.pcpartpicker.com/static/forever/images/product/167e86c4902ae07762a09ff80d52ce47.med.256p.jpg,Earbud,20 Hz - 20 kHz,No,Yes,Closed,Black / Silver,
Creative Labs WP-250,https://pcpartpicker.com/product/Nx8Zxr/creative-labs-headphones-51ef0480aa003,https://cdna.pcpartpicker.com/static/forever/images/product/713c356fbef4c468d7e8f3dbc7359937.256p.jpg,Earbud,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,
Creative Labs HITZ MA200 Black ,https://pcpartpicker.com/product/v2h9TW/creative-labs-headphones-51ef0600aa010,https://m.media-amazon.com/images/I/41YIPxmGkHL.jpg,In Ear,8 Hz - 22 kHz,Yes,No,Closed,Black,
Creative Labs HITZ MA200 Green ,https://pcpartpicker.com/product/JNK7YJ/creative-labs-headphones-51ef0600aa013,https://images-fe.ssl-images-amazon.com/images/I/315MG00l%2BAL.jpg,In Ear,8 Hz - 22 kHz,Yes,No,Closed,Green / White,24.58
Creative Labs HITZ MA350 Green ,https://pcpartpicker.com/product/P7mLrH/creative-labs-headphones-51ef0610aa009,/static/forever/img/no-image.png,In Ear,6 Hz - 23 kHz,Yes,No,Closed,Green / White,
Creative Labs HITZ MA350 Red ,https://pcpartpicker.com/product/XhV48d/creative-labs-headphones-51ef0610aa011,/static/forever/img/no-image.png,In Ear,6 Hz - 23 kHz,Yes,No,Closed,Black / Red,
Creative Labs 51MZ0210AA007,https://pcpartpicker.com/product/nVxfrH/creative-labs-headphones-51mz0210aa007,/static/forever/img/no-image.png,Supra-aural,20 Hz - 20 kHz,No,No,Closed,Black / Silver,
Zalman ZM-DS4FBlack,https://pcpartpicker.com/product/8kxfrH/zalman-headphones-zmds4fblack,https://images-na.ssl-images-amazon.com/images/I/41rsdM-hIhL.jpg,Circumaural,50 Hz - 20 kHz,No,No,Closed,Black,
Zalman ZM-DS4FWhite,https://pcpartpicker.com/product/xmbp99/zalman-headphones-zmds4fwhite,/static/forever/img/no-image.png,Circumaural,50 Hz - 20 kHz,No,No,Closed,White / Black,
Zalman ZM-RS6F,https://pcpartpicker.com/product/qMzv6h/zalman-headphones-zmrs6f,https://m.media-amazon.com/images/I/51Zxnch7kiL.jpg,Circumaural,50 Hz - 20 kHz,No,No,Closed,Black,
Ziotek 190 0282,https://pcpartpicker.com/product/FBMFf7/ziotek-headphones-1900282,/static/forever/img/no-image.png,Supra-aural,,No,No,Closed,Black,
Audiovox 808-HPA88BKG,https://pcpartpicker.com/product/dZh9TW/audiovox-headphones-808hpa88bkg,https://cdna.pcpartpicker.com/static/forever/images/product/fd818cadd234281291b001ea4efd0dc5.med.256p.jpg,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black,
Audiovox 808-HPA88BKM,https://pcpartpicker.com/product/vHXfrH/audiovox-headphones-808hpa88bkm,https://cdna.pcpartpicker.com/static/forever/images/product/57d08398ae4d935a4207f16d7dc570ac.med.256p.jpg,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black,
Audiovox 808-HPA88WHG,https://pcpartpicker.com/product/PZh9TW/audiovox-headphones-808hpa88whg,https://cdna.pcpartpicker.com/static/forever/images/product/6ddcbe58ca4e875f1bce7fd37bd6fc28.med.256p.jpg,Circumaural,20 Hz - 20 kHz,No,No,Closed,White,
Audiovox ARW300,https://pcpartpicker.com/product/yx7wrH/audiovox-headphones-arw300,https://cdna.pcpartpicker.com/static/forever/images/product/d69816ef3ee3ef245e011d86572e1067.med.256p.jpg,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black / Silver,
Audiovox HP335N,https://pcpartpicker.com/product/yqCwrH/audiovox-headphones-hp335n,https://cdna.pcpartpicker.com/static/forever/images/product/88bd05f921c023835bc7421b8058035f.med.256p.jpg,Supra-aural,20 Hz - 20 kHz,No,No,Closed,Black,
Audiovox HP56BK,https://pcpartpicker.com/product/Ny6BD3/audiovox-headphones-hp56bk,https://images-na.ssl-images-amazon.com/images/I/4155NmoQzUL.jpg,Earbud,,No,No,Closed,Black,
Audiovox IR1CFF,https://pcpartpicker.com/product/DmXfrH/audiovox-headphones-ir1cff,https://cdna.pcpartpicker.com/static/forever/images/product/4519d6f54fc52f86244f3eaa356455a7.med.256p.jpg,Supra-aural,,No,Yes,Closed,Black,
Audiovox WHP141B,https://pcpartpicker.com/product/zGphP6/audiovox-headphones-whp141b,https://m.media-amazon.com/images/I/41AxPyYu-fL.jpg,Circumaural,30 Hz - 12.5 kHz,No,Yes,Closed,Black,
Avid Technology DX-992,https://pcpartpicker.com/product/XGphP6/avid-technology-headphones-dx992,/static/forever/img/no-image.png,In Ear,,No,No,Closed,White,
Chester Creek Technologies HP 001 VC,https://pcpartpicker.com/product/6mXfrH/chester-creek-technologies-headphones-hp001vc,https://cdna.pcpartpicker.com/static/forever/images/product/802d8f347435c961bf05f2cbea3c0ca0.256p.jpg,Circumaural,,No,No,Closed,Black,
Chester Creek Technologies HP002VC,https://pcpartpicker.com/product/XgV48d/chester-creek-technologies-headphones-hp002vc,https://m.media-amazon.com/images/I/41+G25TjVYL.jpg,Circumaural,,Yes,No,Closed,Black,
Creative Labs HQ-1600,https://pcpartpicker.com/product/DvBv6h/creative-labs-headphones-51ef0370aa001,https://m.media-amazon.com/images/I/31pPNRLiKGL.jpg,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black / Beige,
Creative Labs WP-300,https://pcpartpicker.com/product/qrdqqs/creative-labs-headphones-51ef0450aa002,https://m.media-amazon.com/images/I/41euWIFwULL.jpg,Circumaural,18 Hz - 22 kHz,No,Yes,Closed,Black,
Creative Labs Hn-900,https://pcpartpicker.com/product/s9V48d/creative-labs-headphones-51ef0540aa002,/static/forever/img/no-image.png,Circumaural,20 Hz - 20 kHz,No,Yes,Closed,Black / Silver,
Ergoguys 2800-BL,https://pcpartpicker.com/product/gPPfrH/ergoguys-headphones-2800bl,/static/forever/img/no-image.png,Supra-aural,20 Hz - 19 kHz,No,No,Closed,Black / Blue,
Ergoguys 2800-RD,https://pcpartpicker.com/product/tWH323/ergoguys-headphones-2800rd,https://cdna.pcpartpicker.com/static/forever/images/product/fbb210c352922a981130917068be9708.256p.jpg,Supra-aural,20 Hz - 20 kHz,No,No,Closed,Black / Red,
Ergoguys 2810-PA,https://pcpartpicker.com/product/p3rG3C/ergoguys-headphones-2810pa,/static/forever/img/no-image.png,Circumaural,20 Hz - 19 kHz,No,No,Closed,Multicolor,
Ergoguys 2924AVPS,https://pcpartpicker.com/product/WmXfrH/ergoguys-headphones-2924avps,https://m.media-amazon.com/images/I/41SbLjjGNTL.jpg,Circumaural,40 Hz - 18 kHz,No,No,Closed,Black / White,
Etymotic Research ER7-MC3-BLACK-I,https://pcpartpicker.com/product/cmbp99/etymotic-research-headphones-er7mc3blacki,https://m.media-amazon.com/images/I/31bPlhDDJVL.jpg,In Ear,20 Hz - 15 kHz,No,No,Closed,Black / Silver,
Harman Kardon HARKAR-BT,https://pcpartpicker.com/product/n4H323/harman-kardon-headphones-harkarbt,https://m.media-amazon.com/images/I/41TlVtCRX5L.jpg,Circumaural,16 Hz - 20 kHz,No,Yes,Closed,Black,
Harman Kardon HARKARAE,https://pcpartpicker.com/product/yTGkcf/harman-kardon-headphones-harkarae,https://m.media-amazon.com/images/I/310Xa11M-AL.jpg,In Ear,,No,No,Closed,Black / Silver,
Harman Kardon HARKARCL,https://pcpartpicker.com/product/dYvRsY/harman-kardon-headphones-harkarcl,https://m.media-amazon.com/images/I/41dzJxVPRXL.jpg,Circumaural,16 Hz - 20 kHz,No,No,Closed,Black / Silver,
Harman Kardon HARKARNI,https://pcpartpicker.com/product/PHPfrH/harman-kardon-headphones-harkarni,https://images-na.ssl-images-amazon.com/images/I/41qXu31X%2BuL.jpg,In Ear,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,
Harman Kardon J22BLK,https://pcpartpicker.com/product/2b7wrH/harman-kardon-headphones-j22blk,https://images-na.ssl-images-amazon.com/images/I/31XjaZcRyGL.jpg,In Ear,18 Hz - 20 kHz,No,No,Closed,Black / Silver,
Harman Kardon J22WHT,https://pcpartpicker.com/product/7pXfrH/harman-kardon-headphones-j22wht,https://images-na.ssl-images-amazon.com/images/I/31myEcPI4pL.jpg,In Ear,18 Hz - 20 kHz,No,No,Closed,White,
Harman Kardon J33BLK,https://pcpartpicker.com/product/kqGkcf/harman-kardon-headphones-j33blk,https://m.media-amazon.com/images/I/310ispFZO7L.jpg,In Ear,10 Hz - 24 kHz,No,No,Closed,Black / Silver,
Harman Kardon J55BLK,https://pcpartpicker.com/product/ZztCmG/harman-kardon-headphones-j55blk,https://cdna.pcpartpicker.com/static/forever/images/product/ee99aecced8c95dab764c15fd08abce7.med.256p.jpg,Supra-aural,10 Hz - 24 kHz,No,No,Closed,Black / Silver,
Harman Kardon J55IWHT,https://pcpartpicker.com/product/BhCwrH/harman-kardon-headphones-j55iwht,https://m.media-amazon.com/images/I/418Bl2l5McL.jpg,Supra-aural,10 Hz - 24 kHz,No,No,Closed,White,
Harman Kardon J55IWOR,https://pcpartpicker.com/product/zF7wrH/harman-kardon-headphones-j55iwor,https://m.media-amazon.com/images/I/31-hDPP-vxL.jpg,Supra-aural,10 Hz - 24 kHz,No,No,Closed,Orange / White,
Harman Kardon J55WHT,https://pcpartpicker.com/product/jNrG3C/harman-kardon-headphones-j55wht,https://m.media-amazon.com/images/I/31mhi1FphzL.jpg,Supra-aural,10 Hz - 24 kHz,No,No,Closed,White,
Harman Kardon J88IWHT,https://pcpartpicker.com/product/kgV48d/harman-kardon-headphones-j88iwht,https://m.media-amazon.com/images/I/41Rer+eolwL.jpg,Circumaural,8 Hz - 24 kHz,Yes,No,Closed,White,
Harman Kardon J88IWOR,https://pcpartpicker.com/product/84xfrH/harman-kardon-headphones-j88iwor,https://images-na.ssl-images-amazon.com/images/I/41v6cYSOtLL.jpg,Circumaural,8 Hz - 24 kHz,Yes,No,Closed,Orange / White,
Harman Kardon J88WHT,https://pcpartpicker.com/product/mF7wrH/harman-kardon-headphones-j88wht,https://m.media-amazon.com/images/I/31tCWWQ7E+L.jpg,Circumaural,8 Hz - 24 kHz,No,No,Closed,White,
Harman Kardon J88WOR,https://pcpartpicker.com/product/xb7wrH/harman-kardon-headphones-j88wor,https://images-na.ssl-images-amazon.com/images/I/319--uITt1L.jpg,Circumaural,8 Hz - 24 kHz,No,No,Closed,Orange / White,
Logitech 981-000415,https://pcpartpicker.com/product/GHPfrH/logitech-headphones-981000415,https://m.media-amazon.com/images/I/117o56A0f1L.jpg,Supra-aural,,Yes,No,Closed,Black / Silver,
Logitech Ultimate Ears 350vm,https://pcpartpicker.com/product/cT2kcf/logitech-headphones-985000359,https://m.media-amazon.com/images/I/41tugJZxhRL.jpg,In Ear,,Yes,No,Closed,Black / Silver,
Logitech Ultimate ears 500vm,https://pcpartpicker.com/product/BrZQzy/logitech-headphones-985000364,https://m.media-amazon.com/images/I/314XMQeEKML.jpg,Earbud,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,
Logitech 200vi,https://pcpartpicker.com/product/JBMFf7/logitech-headphones-985000432,/static/forever/img/no-image.png,Earbud,20 Hz - 20 kHz,Yes,No,Closed,Purple,
Logitech 600vi,https://pcpartpicker.com/product/vsw323/logitech-headphones-985000435,https://cdna.pcpartpicker.com/static/forever/images/product/147dca839a3408c178fae20269c974b7.med.256p.jpg,Earbud,20 Hz - 20 kHz,Yes,No,Closed,Red / Silver,
Astro A30,https://pcpartpicker.com/product/QgkD4D/astro-a30-71-channel-headset-3ah30-hbx9n-080,https://m.media-amazon.com/images/I/31Jo0lCPZJL.jpg,Supra-aural,15 Hz - 28 kHz,Yes,No,Closed,Black / Red,
Astro A30,https://pcpartpicker.com/product/KMLypg/astro-a30-71-channel-headset-3ah30-hbx9w-080,https://m.media-amazon.com/images/I/41Pnsd9Q9gL.jpg,Supra-aural,15 Hz - 28 kHz,Yes,No,Closed,Black / Red,
Astro A40,https://pcpartpicker.com/product/ts9KHx/astro-headphones-3ah42hbx9n139,/static/forever/img/no-image.png,Circumaural,15 Hz - 28 kHz,Yes,No,Closed,Black,
Astro A40,https://pcpartpicker.com/product/3vphP6/astro-headphones-3ah42hbx9w139,https://images-na.ssl-images-amazon.com/images/I/41z2-Sg1joL.jpg,Circumaural,15 Hz - 28 kHz,Yes,No,Closed,Black / White,
Asus Orion Pro,https://pcpartpicker.com/product/JqTmP6/asus-headphones-orionpro,/static/forever/img/no-image.png,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,
Asus Vulcan Pro,https://pcpartpicker.com/product/dtPfrH/asus-headphones-vulcanpro,https://cdna.pcpartpicker.com/static/forever/images/product/214f32fe8ef9de6da7f907b72b8bac21.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,
Corsair Vengeance 1300,https://pcpartpicker.com/product/NDGkcf/corsair-headphones-ca9011111ww,https://m.media-amazon.com/images/I/41bPGpl3RlL.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,
Corsair Vengeance 1500,https://pcpartpicker.com/product/fGrG3C/corsair-headphones-ca9011112ww,https://m.media-amazon.com/images/I/41-bXLfAwFL.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,
Corsair Vengeance 2000,https://pcpartpicker.com/product/CKW9TW/corsair-headphones-ca9011115na,https://images-na.ssl-images-amazon.com/images/I/41T8wBxU5SL.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Blue,
Creative Labs ChatMax HS-420,https://pcpartpicker.com/product/B9bp99/creative-labs-headphones-51ef0400aa001,https://m.media-amazon.com/images/I/41qI7hbw9YL.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,
Creative Labs ChatMax HS-720,https://pcpartpicker.com/product/TDGkcf/creative-labs-headphones-51ef0410aa001,https://m.media-amazon.com/images/I/41czol3SzzL.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,
Creative Labs Sound Blaster Tactic 3D Alpha,https://pcpartpicker.com/product/8XjG3C/creative-labs-headphones-70gh012000003,https://m.media-amazon.com/images/I/514OabVaDsL.jpg,Circumaural,,Yes,No,Closed,Black,
Creative Labs Sound Blaster Tactic 3D Sigma,https://pcpartpicker.com/product/gqTmP6/creative-labs-headphones-70gh014000002,https://m.media-amazon.com/images/I/41gDuf411vL.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,
Creative Labs Tactic3D Wrath Wireless,https://pcpartpicker.com/product/mWNp99/creative-labs-headphones-70gh018000000,https://m.media-amazon.com/images/I/41wgdee6PdL.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Red,
Creative Labs Tactic3D Rage Wireless,https://pcpartpicker.com/product/rPR48d/creative-labs-headphones-70gh022000001,https://m.media-amazon.com/images/I/41LSAc35WaL.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Red,
Creative Labs Tactic3D Rage,https://pcpartpicker.com/product/2Z6BD3/creative-labs-headphones-70gh023000000,https://m.media-amazon.com/images/I/419vHMP4FlL.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,
Logitech B530,https://pcpartpicker.com/product/q7mLrH/logitech-headphones-981000335,https://m.media-amazon.com/images/I/41ZCVilop1L.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black,
Logitech H800,https://pcpartpicker.com/product/xtPfrH/logitech-headphones-981000337,https://m.media-amazon.com/images/I/41Z8ZwrBCuL.jpg,Supra-aural,30 Hz - 15 kHz,Yes,No,Closed,Black,
Logitech H600,https://pcpartpicker.com/product/M6kD4D/logitech-headphones-981000341,https://cdna.pcpartpicker.com/static/forever/images/product/c64eeefd7d0ea0dddaa8debf24ccfff1.256p.jpg,Supra-aural,,Yes,Yes,Closed,Black / Blue,
Logitech H650e,https://pcpartpicker.com/product/7qGkcf/logitech-headphones-981000513,https://cdna.pcpartpicker.com/static/forever/images/product/79914520263bc572c583dedcbf301abe.256p.jpg,Supra-aural,50 Hz - 10 kHz,Yes,No,Closed,Black / Silver,64.98
Logitech G230,https://pcpartpicker.com/product/nMLypg/logitech-headphones-981000541,https://images-na.ssl-images-amazon.com/images/I/31iamFk0PXL.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,
Mad Catz F.R.E.Q. 7,https://pcpartpicker.com/product/XZ6BD3/mad-catz-headphones-mcb434020002021,https://m.media-amazon.com/images/I/41Sd3m-44jL.jpg,Circumaural,,Yes,No,Closed,Black,
Mad Catz F.R.E.Q. 5,https://pcpartpicker.com/product/cFQypg/mad-catz-headphones-mcb434030002021,https://m.media-amazon.com/images/I/31vrWxmlDNL.jpg,Circumaural,,Yes,No,Closed,Black,
Mad Catz MCB434040002/02/1,https://pcpartpicker.com/product/Nx4gXL/mad-catz-headphones-mcb434040002021,https://m.media-amazon.com/images/I/416MMA+YTeL.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black,
