Name,URL,Image,Type,Frequency Response,Microphone,Wireless,Enclosure Type,Color,Price
Lenovo Legion H200,https://pcpartpicker.com/product/QQXV3C/lenovo-legion-h200-headset-gxd1b87065,https://cdna.pcpartpicker.com/static/forever/images/product/b740ff553044b92d45abf1e53bd6f14a.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,
Apple AirPods Max (2024),https://pcpartpicker.com/product/CKyH99/apple-airpods-max-2024-headset-mww73ama,https://cdna.pcpartpicker.com/static/forever/images/product/7bc324bc043d919c6adb82ad48172aaf.256p.jpg,Circumaural,,Yes,Yes,Closed,Orange,511.00
JVC HA-RX500,https://pcpartpicker.com/product/vyjG3C/jvc-headphones-harx500,https://m.media-amazon.com/images/I/41DO0shq2pL.jpg,Circumaural,10 Hz - 22 kHz,No,No,Closed,Black / White,27.82
Tempest GHS301 Barbarian RGB,https://pcpartpicker.com/product/8dqPxr/tempest-ghs301-barbarian-rgb-71-channel-headset-tp-ghrgb-bar,https://cdna.pcpartpicker.com/static/forever/images/product/3749f87e04451524a57062079e2b740c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,
AOC GH401,https://pcpartpicker.com/product/jdwypg/aoc-gh401-headset-gh401,https://m.media-amazon.com/images/I/31ioidMgwSL.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Red / Black,
Panasonic RP-HJE290-P,https://pcpartpicker.com/product/GtvRsY/panasonic-headphones-rphje290p,https://images-na.ssl-images-amazon.com/images/I/31q4mGMpjrL.jpg,In Ear,6 Hz - 24 kHz,No,No,Closed,Pink,11.99
Astro A38,https://pcpartpicker.com/product/dTCrxr/astro-headphones-3ah38hbw9w100,https://m.media-amazon.com/images/I/41cQqBUtUPL.jpg,Supra-aural,15 Hz - 20 kHz,Yes,Yes,Closed,White,
MSI Immerse GH20,https://pcpartpicker.com/product/rGH7YJ/msi-immerse-gh20-headset-immerse-gh20,https://cdna.pcpartpicker.com/static/forever/images/product/0d1b3e04eccb165be37993a3c73ecbc8.256p.jpg,Circumaural,29 Hz - 20 kHz,Yes,No,Closed,Black,
Corsair HS65,https://pcpartpicker.com/product/WFTZxr/corsair-hs65-71-channel-headset-ca-9011286-na,https://cdna.pcpartpicker.com/static/forever/images/product/d3971f2b13f218347755cbf886f78574.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,
SHARKOON SKILLER SGH50,https://pcpartpicker.com/product/dpn9TW/sharkoon-skiller-sgh50-headset-sha-sgh50a,https://cdna.pcpartpicker.com/static/forever/images/product/f6e987a43e746cb2a1d77e30e7f890f8.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,No,Closed,Black,85.20
