Name,URL,Image,Resolution,Connection,Focus Type,Operating System,FOV Angle,Price
Creative Labs Live! Cam Sync 1080p,https://pcpartpicker.com/product/k3GnTW/creative-labs-live-cam-sync-1080p-webcam-03vf086000000,https://cdna.pcpartpicker.com/static/forever/images/product/559d0c014a8ed673269ee19bab60e646.256p.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X",77°,62.80
Logitech C925e,https://pcpartpicker.com/product/mjDkcf/logitech-c925e-webcam-960-001075,https://cdna.pcpartpicker.com/static/forever/images/product/ff4f6037a18e3094582e405b4343ebf1.256p.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X, Linux",78°,119.99
OBSBOT MEET 2,https://pcpartpicker.com/product/BrJp99/obsbot-meet-2-webcam-meet-2-cloud-white,https://cdna.pcpartpicker.com/static/forever/images/product/837cf1eaa26686f4a3032211d660b737.256p.jpg,"4k, 1080p, 720p, 480p",USB 2.0 Type-C,Auto,"Windows, OS X",79.4°,129.00
NexiGo N660P,https://pcpartpicker.com/product/p63NnQ/nexigo-n660p-webcam-n660p-pink,https://m.media-amazon.com/images/I/31R40S8TXRL.jpg,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS",,68.98
Logitech C930e,https://pcpartpicker.com/product/6V9tt6/logitech-c930e-webcam-960-000971,https://cdna.pcpartpicker.com/static/forever/images/product/2a631278e6f31ff2b7e56515a98465d4.256p.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS",90°,74.98
Logitech StreamCam Plus,https://pcpartpicker.com/product/jQsnTW/logitech-streamcam-plus-webcam-960-001280,https://cdna.pcpartpicker.com/static/forever/images/product/e35cd1f2bf8c802838304d97f03d2d51.256p.jpg,"1080p, 720p, 480p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",,159.99
Avermedia Live Streamer CAM 313,https://pcpartpicker.com/product/nhwkcf/avermedia-live-streamer-cam-313-webcam-pw313,https://cdna.pcpartpicker.com/static/forever/images/product/40c54a365eecec3c8a2ed3ed8f8bdba5.256p.jpg,1080p,USB 2.0 Type-A,Fixed,"Windows, OS X",,60.78
Logitech B525,https://pcpartpicker.com/product/rCWBD3/logitech-b525-webcam-960-000841,https://cdna.pcpartpicker.com/static/forever/images/product/cc7558d9e0f09bdad3d7b5b4bc2b6a6a.256p.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X",69°,
OBSBOT Tiny SE,https://pcpartpicker.com/product/gfG2FT/obsbot-tiny-se-webcam-tiny-se,https://m.media-amazon.com/images/I/31i8g466O5L.jpg,"1080p, 720p, 480p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",78°,89.00
Anker B600 Video Bar,https://pcpartpicker.com/product/JDt9TW/anker-b600-video-bar-webcam-a3383,https://cdna.pcpartpicker.com/static/forever/images/product/fb53c5e92f522fcdaa6010f2c0574857.256p.jpg,"2k, 1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",95°,
Dell WB3023,https://pcpartpicker.com/product/csWmP6/dell-wb3023-webcam-wb3023-ddao,https://cdna.pcpartpicker.com/static/forever/images/product/62ca4fa0dffb5cad36155f12e7512d29.256p.jpg,"2k, 1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X",78°,61.40
NexiGo N660P,https://pcpartpicker.com/product/hfYRsY/nexigo-n660p-webcam-n660p,https://m.media-amazon.com/images/I/414OTgioDAL.jpg,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS",,59.99
Logitech Brio 500,https://pcpartpicker.com/product/hjQwrH/logitech-brio-500-webcam-960-001432,https://cdna.pcpartpicker.com/static/forever/images/product/e67b2f6076b6573de314a12cdfd9fc32.256p.jpg,"1080p, 720p",USB 2.0 Type-C,Auto,"Windows, OS X, ChromeOS",90°,127.99
Avermedia PW513,https://pcpartpicker.com/product/NGjBD3/avermedia-pw513-webcam-pw513,https://cdna.pcpartpicker.com/static/forever/images/product/9b3296db77fc58a6c82f0accd32173a9.256p.jpg,"4k, 1080p",USB 3.2 Gen 1 Type-C,Fixed,"Windows, OS X",94°,99.99
Elgato Facecam Premium,https://pcpartpicker.com/product/N9nypg/elgato-facecam-premium-webcam-10waa9901,https://cdna.pcpartpicker.com/static/forever/images/product/5cbc1fbecdd593379e7b61441df163ed.256p.jpg,"1080p, 720p",USB 3.2 Gen 1 Type-A,Manual,"Windows, OS X",82°,
Logitech C615 Portable,https://pcpartpicker.com/product/b6bCmG/logitech-c615-portable-webcam-960-000733,https://cdna.pcpartpicker.com/static/forever/images/product/69265d5978d471b96008706a9a8ce830.256p.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS, Android",78°,
OBSBOT Tiny 4K,https://pcpartpicker.com/product/vDMMnQ/obsbot-tiny-4k-webcam-owb-2105-ce,https://cdna.pcpartpicker.com/static/forever/images/product/b33ef459d60d84878397cfd778895141.256p.jpg,"4k, 1080p, 720p",USB 3.2 Gen 1 Type-A,Auto,"Windows, OS X",90°,
OBSBOT MEET 2,https://pcpartpicker.com/product/jWn9TW/obsbot-meet-2-webcam-meet-2-aurora-green,https://cdna.pcpartpicker.com/static/forever/images/product/f402ac9ba4b6942eaba375bfcaf80609.256p.jpg,"4k, 1080p, 720p, 480p",USB 2.0 Type-C,Auto,"Windows, OS X",79.4°,129.00
Logitech C910,https://pcpartpicker.com/product/2kCFf7/logitech-c910-webcam-960-000597,https://m.media-amazon.com/images/I/31826FTrjHL.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X",78°,60.99
AUKEY PC-LM1,https://pcpartpicker.com/product/R9drxr/aukey-pc-lm1-webcam-pc-lm1,https://m.media-amazon.com/images/I/310SV0HFMPL.jpg,"1080p, 720p, 480p",USB 2.0 Type-A,Manual,"Windows, OS X, Android",55°,
Logitech C505,https://pcpartpicker.com/product/4DzhP6/logitech-c505-webcam-960-001363,https://cdna.pcpartpicker.com/static/forever/images/product/14bd98c81302eaea1d110f7ce601b2e7.256p.jpg,720p,USB 2.0 Type-A,Fixed,"Windows, OS X, ChromeOS",60°,
Green Extreme T1000,https://pcpartpicker.com/product/6gjNnQ/green-extreme-t1000-webcam-gx-t1000,https://cdna.pcpartpicker.com/static/forever/images/product/e410ce7f3958ee615aafc65cbfaaaa92.256p.jpg,1080p,USB 2.0 Type-A,Auto,"Windows, OS X",120°,79.00
Logitech C310,https://pcpartpicker.com/product/xmZzK8/logitech-c310-webcam-960-000585,https://m.media-amazon.com/images/I/31ve3mfHHZL.jpg,720p,USB 2.0 Type-A,Fixed,"Windows, OS X, ChromeOS, Android",60°,
Logitech C525,https://pcpartpicker.com/product/knBhP6/logitech-c525-webcam-960-000715,https://m.media-amazon.com/images/I/412mB0R+4RL.jpg,720p,USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS, Android",69°,69.98
Microsoft LifeCam HD-3000,https://pcpartpicker.com/product/MxqBD3/microsoft-lifecam-hd-3000-webcam-t4h-00002,https://cdna.pcpartpicker.com/static/forever/images/product/4c166ff82cbd102d2cdcb007f5e867e9.256p.jpg,720p,USB 2.0 Type-A,Fixed,"Windows, OS X",,
