Name,URL,Image,Interface,Color,Price
Rosewill RNG-406U,https://pcpartpicker.com/product/GPw323/rosewill-wired-network-card-rng406u,https://m.media-amazon.com/images/I/314iYn6Z9BL.jpg,USB Type-A 3.2 Gen 1,,
StarTech ST100S,https://pcpartpicker.com/product/Dx8Zxr/startech-wired-network-card-st100s,https://m.media-amazon.com/images/I/41HgSSHaVvL.jpg,PCI,,
Supermicro AOC-SG-i2,https://pcpartpicker.com/product/cTGkcf/supermicro-wired-network-card-aocsgi2,https://images-fe.ssl-images-amazon.com/images/I/51Whh3NO%2BsL.jpg,PCIe x4,,
Syba SY-ADA24024,https://pcpartpicker.com/product/b8phP6/syba-wired-network-card-syada24024,https://m.media-amazon.com/images/I/31xR2ZQ9VLL.jpg,USB Type-A 2.0,,
Syba SY-PEX24028,https://pcpartpicker.com/product/fPw323/syba-sy-pex24028-pcie-x1-1-gbits-network-adapter-sy-pex24028,https://m.media-amazon.com/images/I/51+17ow2B+L.jpg,PCIe x1,,
Syba SY-ADA24029,https://pcpartpicker.com/product/YgvRsY/syba-wired-network-card-syada24029,https://m.media-amazon.com/images/I/41w47J2qp0L.jpg,USB Type-A 2.0,,
TRENDnet TE100-PCIWN,https://pcpartpicker.com/product/qmXfrH/trendnet-wired-network-card-te100pciwn,https://images-na.ssl-images-amazon.com/images/I/41eZgPskRJL.jpg,PCI,,
Intel EXPI9402PTBLK-1PK,https://pcpartpicker.com/product/mr4gXL/intel-wired-network-card-expi9402ptblk1pk,https://m.media-amazon.com/images/I/4136my6iDxL.jpg,PCIe x4,,
Intel PWLA8490MTBLK,https://pcpartpicker.com/product/vj6BD3/intel-wired-network-card-pwla8490mtblk,https://m.media-amazon.com/images/I/31UzNNSib3L.jpg,PCI-X,,
Intel PWLA8492MT,https://pcpartpicker.com/product/9r4gXL/intel-wired-network-card-pwla8492mt,https://cdna.pcpartpicker.com/static/forever/images/product/0c757ba709eabd5411d6adc8db85a846.256p.jpg,PCI-X,,132.05
Intel PWLA8492MTBLK5,https://pcpartpicker.com/product/Y94gXL/intel-wired-network-card-pwla8492mtblk5,https://m.media-amazon.com/images/I/41Ib+eppsJL.jpg,PCI-X,,
Rosewill RC-400-LX,https://pcpartpicker.com/product/fy6BD3/rosewill-wired-network-card-rc400lx,https://m.media-amazon.com/images/I/41w-J4FIjdL.jpg,PCI,,
SIIG CN-GP1011-S3,https://pcpartpicker.com/product/894gXL/siig-wired-network-card-cngp1011s3,https://cdna.pcpartpicker.com/static/forever/images/product/aedb2c5ea9c00608782220d0edef8404.256p.jpg,PCI,,
StarTech ST1000SPEXD2,https://pcpartpicker.com/product/dmXfrH/startech-wired-network-card-st1000spexd2,/static/forever/img/no-image.png,PCIe x1,,
Syba SY-ADA24005,https://pcpartpicker.com/product/CdyFf7/syba-sy-ada24005-usb-20-100-mbits-network-adapter-sy-ada24005,https://m.media-amazon.com/images/I/41GEgou76YL.jpg,USB Type-A 2.0,,
Syba SY-ADA24027,https://pcpartpicker.com/product/27tCmG/syba-wired-network-card-syada24027,https://m.media-amazon.com/images/I/41uo-rf7QdL.jpg,USB Type-A 2.0,,
StarTech ST1000SPEX,https://pcpartpicker.com/product/Gc9KHx/startech-wired-network-card-st1000spex,https://m.media-amazon.com/images/I/41XccT5VDQL.jpg,PCIe x1,,
SIIG CN-GP2011-S1,https://pcpartpicker.com/product/PFR48d/siig-wired-network-card-cngp2011s1,https://m.media-amazon.com/images/I/51RFd5jZ0lL.jpg,PCIe x1,,
Asus NX1101,https://pcpartpicker.com/product/CzJwrH/asus-wired-network-card-nx1101,https://images-na.ssl-images-amazon.com/images/I/41I-dipTC1L.jpg,PCI,,
Belkin F4U047-RS,https://pcpartpicker.com/product/H2vRsY/belkin-f4u047-rs-usb-20-100-mbits-network-adapter-f4u047-rs,https://m.media-amazon.com/images/I/31XEPzRR74L.jpg,USB Type-A 2.0,,
Rosewill RC-401-EX,https://pcpartpicker.com/product/shh9TW/rosewill-wired-network-card-rc401ex,https://m.media-amazon.com/images/I/31y0ucq18wL.jpg,PCIe x1,,
Rosewill RC-402,https://pcpartpicker.com/product/jHPfrH/rosewill-wired-network-card-rc402,https://images-fe.ssl-images-amazon.com/images/I/41iTss2QVlL.jpg,PCI,,
Syba SD-PEX24009,https://pcpartpicker.com/product/ZZV48d/syba-wired-network-card-sdpex24009,https://m.media-amazon.com/images/I/3104KbNm5IL.jpg,PCIe x1,,
VisionTek Bigfoot Killer 2100,https://pcpartpicker.com/product/7QmLrH/visiontek-wired-network-card-900317,https://images-na.ssl-images-amazon.com/images/I/41W2KgKu9%2BL.jpg,PCIe x1,,
Edimax EU-4306,https://pcpartpicker.com/product/3x4gXL/edimax-wired-network-card-eu4306,https://cdna.pcpartpicker.com/static/forever/images/product/6085986216be155f42cbbbc16ec2cbbb.256p.jpg,USB Type-A 3.2 Gen 1,,
Netgear GA311,https://pcpartpicker.com/product/DwLypg/netgear-wired-network-card-ga311,https://cdna.pcpartpicker.com/static/forever/images/product/8b87e46e9ca30b8b59f6f9d8a6bcf135.256p.jpg,PCI,,
Syba SD-ADA24032,https://pcpartpicker.com/product/YvBv6h/syba-wired-network-card-sdada24032,https://images-fe.ssl-images-amazon.com/images/I/31RcVcRH9cL.jpg,USB Type-A 3.2 Gen 1,,
Cisco N2XX-ABPCI03-M3=,https://pcpartpicker.com/product/drTmP6/cisco-wired-network-card-n2xxabpci03m3,https://cdna.pcpartpicker.com/static/forever/images/product/b7490a105c6ff65e07e7b77a3255e0d2.256p.jpg,PCIe x4,,
SIIG JU-NE0511-S1,https://pcpartpicker.com/product/xLzv6h/siig-wired-network-card-june0511s1,https://m.media-amazon.com/images/I/311Io32dGUL.jpg,USB Type-A 3.2 Gen 1,,
Syba SI-ADA24037,https://pcpartpicker.com/product/9MqdnQ/syba-wired-network-card-siada24037,https://images-na.ssl-images-amazon.com/images/I/313h0wTjKHL.jpg,USB Type-A 3.2 Gen 1,,
SIIG CN-GP1111-S1,https://pcpartpicker.com/product/rJsKHx/siig-wired-network-card-cngp1111s1,https://m.media-amazon.com/images/I/41OmBzyQ2rL.jpg,PCIe x4,,
StarTech ST10000SPEX,https://pcpartpicker.com/product/PHV48d/startech-wired-network-card-st10000spex,https://m.media-amazon.com/images/I/41LXDvmycXL.jpg,PCIe x4,,
Syba SY-ADA24040,https://pcpartpicker.com/product/mXL7YJ/syba-sy-ada24040-network-adapter-sy-ada24040,https://m.media-amazon.com/images/I/31srvpz1a0L.jpg,USB Type-A 3.2 Gen 1,,
D-Link DUB-1312,https://pcpartpicker.com/product/Zb3H99/d-link-dub-1312-usb-30-1000-mbits-network-adapter-dub-1312,https://cdna.pcpartpicker.com/static/forever/images/product/0814228525bef07cf709bd215eaadc08.256p.jpg,USB Type-A 3.2 Gen 1,Black,19.98
SIIG JU-NE0711-S1,https://pcpartpicker.com/product/yMsmP6/siig-ju-ne0711-s1-usb-30-1000-mbits-network-adapter-ju-ne0711-s1,https://cdna.pcpartpicker.com/static/forever/images/product/5155e6f98a78477852f74abe554d8eb4.256p.jpg,USB Type-A 3.2 Gen 1,Black,27.99
Belkin B2B145-BLK,https://pcpartpicker.com/product/Pkvbt6/belkin-b2b145-blk-usb-type-c-1000-mbits-network-adapter-b2b145-blk,https://cdna.pcpartpicker.com/static/forever/images/product/1756ef18ceff984b78e6d9a6dfcef03a.256p.jpg,USB Type-C 3.2 Gen 1,Black,24.74
Rosewill RNG-408U,https://pcpartpicker.com/product/3jcRsY/rosewill-rng-408u-usb-type-c-1000-mbits-network-adapter-rng-408u,https://cdna.pcpartpicker.com/static/forever/images/product/b8255902320df532e14a1c687154d7ea.256p.jpg,USB Type-C 3.2 Gen 1,Black,
V7 V7UCRJ45-BLK-1N,https://pcpartpicker.com/product/JYsmP6/v7-v7ucrj45-blk-1n-usb-type-c-1000-mbits-network-adapter-v7ucrj45-blk-1n,https://cdna.pcpartpicker.com/static/forever/images/product/77ce3ba7eaf5cb5117b683cdaf43ac5a.256p.jpg,USB Type-C 3.2 Gen 1,Black,
TP-Link UE305,https://pcpartpicker.com/product/CzmFf7/tp-link-ue305-gigabit-ethernet-usb-type-a-network-adapter-ue305,https://m.media-amazon.com/images/I/31nmTwdJwPL.jpg,USB Type-A 3.2 Gen 1,Black,
StarTech USB31000S2,https://pcpartpicker.com/product/HTLFf7/startech-usb31000s2-gigabit-ethernet-usb-type-a-network-adapter-usb31000s2,https://cdna.pcpartpicker.com/static/forever/images/product/d6a11b65e0f616453287f78a6f434eb2.256p.jpg,USB Type-A 3.2 Gen 1,Black / Silver,25.47
SIIG LB-GE0611-S1,https://pcpartpicker.com/product/DXK2FT/siig-lb-ge0611-s1-25-gbs-ethernet-pcie-x1-network-adapter-lb-ge0611-s1,https://m.media-amazon.com/images/I/41-e+e0UU2L.jpg,PCIe x1,Green / Black,47.99
